open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,0.0021060,0.0021070,0.0021040,0.0021050,4773290,1648598459999,10051.6856750,39,481207,1013.9031410,0
1648598460000,0.0021050,0.0021050,0.0020980,0.0020990,3737183,1648598519999,7850.3343560,41,1065442,2239.5594650,0
1648598520000,0.0020990,0.0020990,0.0020980,0.0020980,7192970,1648598579999,15094.2379470,43,3159971,6632.7583010,0
1648598580000,0.0020980,0.0020990,0.0020980,0.0020980,2977004,1648598639999,6245.9827920,42,2647575,5554.8407500,0
1648598640000,0.0020980,0.0021000,0.0020980,0.0021000,990805,1648598699999,2079.7738320,12,983293,2064.0136560,0
1648598700000,0.0021000,0.0021000,0.0020980,0.0020980,1529060,1648598759999,3209.3577030,23,121001,254.0910680,0
1648598760000,0.0020990,0.0020990,0.0020940,0.0020940,5592452,1648598819999,11724.7043060,30,6107,12.8185930,0
1648598820000,0.0020940,0.0020960,0.0020940,0.0020960,887014,1648598879999,1858.2316840,10,819650,1717.1714680,0
1648598880000,0.0020960,0.0020970,0.0020960,0.0020960,147314,1648598939999,308.8388190,12,130996,274.6362910,0
1648598940000,0.0020970,0.0021030,0.0020970,0.0021020,10167279,1648598999999,21357.9597410,40,9756520,20494.1359490,0
1648599000000,0.0021030,0.0021120,0.0021020,0.0021110,24971470,1648599059999,52665.7955310,110,15612155,32918.7642420,0
1648599060000,0.0021110,0.0021150,0.0021100,0.0021100,46844231,1648599119999,98978.3424680,573,14952680,31604.6904670,0
1648599120000,0.0021100,0.0021160,0.0021090,0.0021140,35206259,1648599179999,74378.3045870,331,16868486,35641.6591760,0
1648599180000,0.0021140,0.0021260,0.0021130,0.0021240,38566398,1648599239999,81808.8252550,257,22865151,48484.3117400,0
1648599240000,0.0021240,0.0021310,0.0021220,0.0021310,13016868,1648599299999,27672.7894480,142,2704320,5752.0453610,0
1648599300000,0.0021300,0.0021430,0.0021220,0.0021230,108883439,1648599359999,232362.1119440,631,34269733,73256.3021480,0
1648599360000,0.0021220,0.0021220,0.0021200,0.0021210,4891173,1648599419999,10374.4586060,46,2323787,4929.6832200,0
1648599420000,0.0021200,0.0021200,0.0021150,0.0021190,8091521,1648599479999,17132.0807770,63,5160947,10926.4226700,0
1648599480000,0.0021200,0.0021200,0.0021180,0.0021190,2580118,1648599539999,5467.0526240,21,260588,552.3465600,0
1648599540000,0.0021180,0.0021190,0.0021180,0.0021190,1202218,1648599599999,2546.3025810,13,203924,431.9158890,0
1648599600000,0.0021180,0.0021180,0.0021140,0.0021140,1622298,1648599659999,3431.0323920,27,561738,1187.5927080,0
1648599660000,0.0021140,0.0021140,0.0021120,0.0021130,928442,1648599719999,1961.8891860,21,399150,843.5024630,0
1648599720000,0.0021130,0.0021140,0.0021100,0.0021130,3640386,1648599779999,7690.4310850,41,1459951,3085.4349780,0
1648599780000,0.0021130,0.0021130,0.0021110,0.0021110,966595,1648599839999,2041.3494470,15,585529,1236.8860170,0
1648599840000,0.0021130,0.0021130,0.0021110,0.0021110,355683,1648599899999,751.2331330,7,283828,599.5472280,0
1648599900000,0.0021120,0.0021120,0.0021110,0.0021110,384343,1648599959999,811.5238240,10,175751,371.1861120,0
1648599960000,0.0021110,0.0021110,0.0021090,0.0021100,3081975,1648600019999,6503.2144450,42,271875,573.9281250,0
1648600020000,0.0021110,0.0021110,0.0021070,0.0021090,7093113,1648600079999,14957.8160850,41,1126146,2376.8245840,0
1648600080000,0.0021080,0.0021080,0.0021070,0.0021080,768870,1648600139999,1620.6654930,17,364123,767.5712840,0
1648600140000,0.0021080,0.0021080,0.0021050,0.0021060,4528280,1648600199999,9538.1123330,53,2588851,5453.1440150,0
1648600200000,0.0021060,0.0021070,0.0021040,0.0021060,1097707,1648600259999,2311.9351600,24,421704,888.2904700,0
1648600260000,0.0021060,0.0021060,0.0021000,0.0021000,9516967,1648600319999,19996.5931400,91,1845575,3877.2974800,0
1648600320000,0.0021000,0.0021020,0.0021000,0.0021000,4121723,1648600379999,8658.0274230,56,2124351,4462.1815940,0
1648600380000,0.0021000,0.0021010,0.0020990,0.0021000,6459127,1648600439999,13560.3649110,118,2609646,5479.5808850,0
1648600440000,0.0020980,0.0020980,0.0020960,0.0020980,6561268,1648600499999,13762.5960750,49,1456285,3054.3451270,0
1648600500000,0.0020980,0.0020980,0.0020960,0.0020960,1485513,1648600559999,3115.1953020,15,274408,575.5601220,0
1648600560000,0.0020960,0.0020990,0.0020960,0.0020990,9549523,1648600619999,20025.7021760,37,8436129,17692.0283520,0
1648600620000,0.0020990,0.0020990,0.0020980,0.0020990,902124,1648600679999,1893.5581420,8,901990,1893.2770100,0
1648600680000,0.0020980,0.0021000,0.0020980,0.0021000,283711,1648600739999,595.5318390,6,176907,371.4570470,0
1648600740000,0.0021010,0.0021010,0.0021000,0.0021010,1260771,1648600799999,2648.7949090,9,1175809,2470.3747090,0
1648600800000,0.0021010,0.0021010,0.0021000,0.0021010,1915053,1648600859999,4021.8017730,13,190473,400.1837730,0
1648600860000,0.0021000,0.0021020,0.0020990,0.0021020,6751883,1648600919999,14182.7299270,26,5455811,11461.9227330,0
1648600920000,0.0021030,0.0021040,0.0021020,0.0021030,2680120,1648600979999,5636.3390480,27,2468932,5192.3231010,0
1648600980000,0.0021040,0.0021040,0.0021030,0.0021030,701630,1648601039999,1476.2266520,6,302377,636.2012080,0
1648601040000,0.0021030,0.0021090,0.0021030,0.0021080,2761594,1648601099999,5817.1842070,64,1788179,3767.7645730,0
1648601100000,0.0021090,0.0021090,0.0021070,0.0021070,1968206,1648601159999,4148.4103200,34,1482216,3124.0266690,0
1648601160000,0.0021070,0.0021070,0.0021050,0.0021050,996544,1648601219999,2098.6707900,20,882669,1858.9343290,0
