open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,0.09438,0.09440,0.09408,0.09409,360175,1648598459999,33930.07770,112,54998,5178.26152,0
1648598460000,0.09416,0.09419,0.09375,0.09393,326364,1648598519999,30678.04556,111,99939,9399.38598,0
1648598520000,0.09387,0.09391,0.09371,0.09371,101140,1648598579999,9489.81235,56,52970,4972.26038,0
1648598580000,0.09372,0.09408,0.09369,0.09408,339322,1648598639999,31885.64983,121,311401,29262.89463,0
1648598640000,0.09407,0.09443,0.09407,0.09422,225944,1648598699999,21307.64667,105,154130,14530.32990,0
1648598700000,0.09422,0.09441,0.09422,0.09437,326757,1648598759999,30821.35482,155,233024,21979.47461,0
1648598760000,0.09431,0.09551,0.09431,0.09551,1169016,1648598819999,111153.16143,483,863586,82101.04842,0
1648598820000,0.09551,0.09557,0.09486,0.09486,788689,1648598879999,75038.20787,250,415620,39541.26077,0
1648598880000,0.09486,0.09507,0.09423,0.09435,992399,1648598939999,93945.03344,315,351695,33325.27047,0
1648598940000,0.09436,0.09480,0.09423,0.09441,869866,1648598999999,82199.02481,263,575649,54406.49036,0
1648599000000,0.09448,0.09488,0.09444,0.09468,669381,1648599059999,63393.62782,164,288529,27325.63531,0
1648599060000,0.09473,0.09483,0.09462,0.09480,208139,1648599119999,19713.41107,73,94663,8966.55430,0
1648599120000,0.09477,0.09480,0.09466,0.09466,72730,1648599179999,6889.33401,31,18574,1760.00150,0
1648599180000,0.09474,0.09479,0.09429,0.09429,194772,1648599239999,18415.42061,80,77782,7359.49947,0
1648599240000,0.09433,0.09454,0.09432,0.09454,173423,1648599299999,16375.95853,50,77699,7332.51121,0
1648599300000,0.09458,0.09465,0.09453,0.09454,126614,1648599359999,11974.66117,59,41227,3899.65366,0
1648599360000,0.09455,0.09455,0.09428,0.09430,116459,1648599419999,10986.69262,68,24341,2296.74427,0
1648599420000,0.09430,0.09438,0.09411,0.09438,182814,1648599479999,17219.31848,87,33300,3137.77702,0
1648599480000,0.09436,0.09436,0.09429,0.09431,37266,1648599539999,3514.89144,22,14073,1327.15602,0
