open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,1.8390,1.8395,1.8352,1.8361,18005,1648684859999,33090.5425,137,7589,13950.8849,0
1648684860000,1.8359,1.8387,1.8345,1.8355,15242,1648684919999,27991.3991,133,9159,16821.5495,0
1648684920000,1.8362,1.8400,1.8343,1.8347,27645,1648684979999,50781.5664,192,10469,19237.4496,0
1648684980000,1.8343,1.8384,1.8343,1.8357,24672,1648685039999,45310.8788,193,9798,17988.1785,0
1648685040000,1.8357,1.8368,1.8337,1.8353,20479,1648685099999,37580.5270,202,10749,19722.1492,0
1648685100000,1.8353,1.8361,1.8344,1.8355,8837,1648685159999,16217.8801,127,4425,8120.9812,0
1648685160000,1.8354,1.8388,1.8345,1.8388,11867,1648685219999,21792.8206,119,8932,16405.0860,0
1648685220000,1.8389,1.8419,1.8379,1.8419,18599,1648685279999,34210.9919,141,10315,18976.1631,0
1648685280000,1.8421,1.8429,1.8387,1.8394,22590,1648685339999,41587.2848,184,11161,20547.5800,0
1648685340000,1.8391,1.8418,1.8388,1.8415,11773,1648685399999,21664.8444,111,8195,15080.2779,0
1648685400000,1.8422,1.8463,1.8416,1.8461,35484,1648685459999,65443.3319,226,11791,21744.5574,0
1648685460000,1.8458,1.8489,1.8457,1.8487,12460,1648685519999,23020.1975,141,6627,12245.7766,0
1648685520000,1.8488,1.8515,1.8486,1.8515,8986,1648685579999,16623.9625,103,5584,10329.5527,0
1648685580000,1.8514,1.8539,1.8513,1.8528,34749,1648685639999,64368.8559,174,24013,44482.6379,0
1648685640000,1.8530,1.8538,1.8507,1.8521,12366,1648685699999,22903.2980,126,7126,13199.0047,0
1648685700000,1.8521,1.8534,1.8514,1.8530,13104,1648685759999,24273.9213,149,8182,15157.0841,0
1648685760000,1.8530,1.8530,1.8506,1.8524,14773,1648685819999,27360.2805,177,6798,12590.3386,0
1648685820000,1.8524,1.8528,1.8505,1.8508,4488,1648685879999,8309.7096,69,2222,4114.4240,0
1648685880000,1.8508,1.8515,1.8491,1.8508,8630,1648685939999,15971.0278,79,6800,12585.2039,0
1648685940000,1.8507,1.8536,1.8497,1.8529,28865,1648685999999,53470.0501,155,20047,37134.9448,0
1648686000000,1.8521,1.8560,1.8521,1.8552,19286,1648686059999,35755.6684,211,15428,28604.7512,0
1648686060000,1.8549,1.8565,1.8543,1.8556,16364,1648686119999,30362.4745,138,12194,22625.5069,0
1648686120000,1.8555,1.8568,1.8535,1.8554,23077,1648686179999,42810.7594,153,10107,18753.8363,0
1648686180000,1.8553,1.8561,1.8529,1.8550,14368,1648686239999,26648.9686,99,9672,17942.2076,0
1648686240000,1.8554,1.8575,1.8553,1.8564,12450,1648686299999,23110.0107,114,7500,13921.0773,0
1648686300000,1.8562,1.8575,1.8545,1.8562,9972,1648686359999,18513.8977,78,6711,12459.2086,0
1648686360000,1.8562,1.8562,1.8536,1.8554,16721,1648686419999,31015.3038,126,8202,15213.4200,0
1648686420000,1.8554,1.8561,1.8545,1.8555,3796,1648686479999,7043.1346,59,1740,3228.2994,0
1648686480000,1.8560,1.8579,1.8556,1.8579,6800,1648686539999,12627.2533,65,5185,9628.1733,0
1648686540000,1.8579,1.8591,1.8565,1.8565,21412,1648686599999,39777.1748,190,12123,22523.8410,0
1648686600000,1.8566,1.8594,1.8552,1.8594,24557,1648686659999,45595.5792,155,14287,26526.6187,0
1648686660000,1.8595,1.8630,1.8594,1.8624,18600,1648686719999,34618.5277,163,11097,20653.1660,0
1648686720000,1.8624,1.8677,1.8624,1.8674,48798,1648686779999,91014.1355,336,23257,43378.7303,0
1648686780000,1.8672,1.8679,1.8660,1.8670,21804,1648686839999,40709.5652,154,10773,20113.9452,0
1648686840000,1.8672,1.8683,1.8634,1.8640,16806,1648686899999,31355.8123,167,7912,14761.5498,0
1648686900000,1.8639,1.8688,1.8637,1.8686,10205,1648686959999,19043.7156,123,6835,12754.6147,0
1648686960000,1.8687,1.8690,1.8651,1.8651,15363,1648687019999,28679.7932,146,2460,4594.9957,0
1648687020000,1.8650,1.8650,1.8605,1.8633,37814,1648687079999,70421.1308,180,9583,17847.0797,0
