open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,223.480,223.590,222.600,222.710,1750.2,1648684859999,390487.6500,700,555.7,123910.0240,0
1648684860000,222.710,223.050,222.330,222.590,1433.7,1648684919999,319225.2940,571,375.4,83593.0270,0
1648684920000,222.600,222.940,221.900,221.980,3132.7,1648684979999,697037.1800,961,1850.0,411708.9200,0
1648684980000,222.010,222.380,221.710,221.970,2069.1,1648685039999,459380.1090,807,804.3,178550.1540,0
1648685040000,221.950,221.980,221.600,221.920,1709.8,1648685099999,379176.1510,704,488.3,108304.8930,0
1648685100000,221.930,222.460,221.780,222.380,2718.0,1648685159999,603711.0000,900,1914.9,425325.7290,0
1648685160000,222.380,222.520,221.890,221.990,2195.7,1648685219999,487948.6620,785,1144.2,254256.0190,0
1648685220000,222.000,222.320,221.990,222.280,1256.3,1648685279999,279061.0680,569,704.6,156515.1860,0
1648685280000,222.280,222.990,222.240,222.730,1663.3,1648685339999,370241.1170,805,969.2,215753.0360,0
1648685340000,222.730,223.130,222.450,223.130,917.2,1648685399999,204276.0090,699,567.3,126357.9630,0
1648685400000,223.120,223.980,223.100,223.760,2898.4,1648685459999,648129.8120,1033,2255.0,504210.1420,0
1648685460000,223.750,224.010,223.680,224.000,872.8,1648685519999,195368.3430,429,467.8,104727.7750,0
1648685520000,224.000,224.320,223.930,224.250,1010.8,1648685579999,226532.6440,518,698.0,156434.5470,0
1648685580000,224.260,224.530,224.060,224.400,1326.2,1648685639999,297487.3830,600,747.0,167594.7950,0
1648685640000,224.380,224.450,223.860,223.960,725.5,1648685699999,162601.4280,354,194.4,43572.4340,0
1648685700000,223.970,224.280,223.790,224.000,1117.2,1648685759999,250315.0280,523,318.5,71365.1390,0
1648685760000,223.990,224.230,223.780,224.070,683.8,1648685819999,153152.6830,452,288.5,64611.7440,0
1648685820000,224.000,224.160,223.770,223.770,528.3,1648685879999,118331.3950,302,254.7,57047.1650,0
1648685880000,223.770,223.900,223.240,223.700,1199.3,1648685939999,268061.2350,579,401.9,89833.6060,0
1648685940000,223.700,223.990,223.510,223.590,674.9,1648685999999,150995.8530,321,160.6,35932.5880,0
1648686000000,223.580,223.910,223.450,223.810,856.1,1648686059999,191431.2950,379,588.2,131511.9290,0
1648686060000,223.810,223.890,223.590,223.730,455.0,1648686119999,101807.3170,272,152.1,34039.8390,0
1648686120000,223.730,223.860,223.550,223.590,281.0,1648686179999,62857.4670,197,142.5,31875.1560,0
1648686180000,223.600,223.600,222.450,222.750,2260.7,1648686239999,504037.8720,826,339.9,75785.4290,0
1648686240000,222.750,223.090,222.750,222.890,543.9,1648686299999,121250.1180,370,293.3,65384.5640,0
