open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,1.16970,1.17230,1.16690,1.17180,135603,1648512059999,158535.53300,458,70813,82788.25180,0
1648512060000,1.17170,1.17430,1.16780,1.17390,199647,1648512119999,233792.85690,518,96386,112915.85300,0
1648512120000,1.17370,1.17580,1.17220,1.17580,127812,1648512179999,150018.75490,450,71135,83510.83030,0
1648512180000,1.17540,1.17580,1.17230,1.17480,116504,1648512239999,136819.44180,313,58315,68478.52560,0
1648512240000,1.17480,1.17530,1.17290,1.17300,80289,1648512299999,94276.05550,208,32373,38034.34220,0
1648512300000,1.17320,1.17460,1.17310,1.17390,25199,1648512359999,29578.37970,124,12909,15155.33200,0
1648512360000,1.17400,1.17420,1.16980,1.17130,106989,1648512419999,125269.68900,403,45317,53038.17880,0
1648512420000,1.17130,1.17400,1.16980,1.16980,78049,1648512479999,91496.05410,290,34210,40107.67520,0
1648512480000,1.16970,1.17790,1.16970,1.17770,129089,1648512539999,151560.63810,501,75139,88227.26410,0
1648512540000,1.17780,1.17920,1.17740,1.17880,126894,1648512599999,149502.95290,369,51441,60605.23610,0
1648512600000,1.17890,1.18030,1.17830,1.17890,153650,1648512659999,181240.75870,418,90779,107087.03380,0
1648512660000,1.17900,1.18170,1.17720,1.18140,70847,1648512719999,83561.15690,262,45196,53335.62270,0
1648512720000,1.18140,1.18140,1.17760,1.17970,341162,1648512779999,402492.19680,543,182155,214907.12980,0
1648512780000,1.17960,1.18010,1.17750,1.17860,69208,1648512839999,81582.41070,279,33579,39594.11960,0
1648512840000,1.17840,1.17850,1.17550,1.17810,54985,1648512899999,64720.66300,209,19096,22462.42000,0
1648512900000,1.17810,1.18020,1.17620,1.18010,53991,1648512959999,63621.75710,210,25763,30360.53410,0
1648512960000,1.18010,1.18370,1.17970,1.18330,105349,1648513019999,124490.07770,347,47312,55903.23120,0
1648513020000,1.18320,1.18340,1.17910,1.18000,77531,1648513079999,91579.00590,273,40106,47365.24660,0
1648513080000,1.18010,1.18070,1.17870,1.17980,35164,1648513139999,41483.46670,200,10514,12406.05460,0
1648513140000,1.17990,1.17990,1.17910,1.17970,16447,1648513199999,19401.80400,78,10364,12226.23110,0
1648513200000,1.17970,1.17990,1.17830,1.17830,81811,1648513259999,96442.40340,217,42456,50045.44150,0
1648513260000,1.17830,1.18150,1.17830,1.18150,35778,1648513319999,42231.47130,145,28393,33514.16340,0
1648513320000,1.18160,1.18290,1.18110,1.18290,64759,1648513379999,76562.49270,221,25985,30727.30690,0
1648513380000,1.18290,1.18340,1.18130,1.18190,68025,1648513439999,80433.77490,144,29359,34716.57750,0
1648513440000,1.18190,1.18400,1.18190,1.18400,73394,1648513499999,86835.49210,151,35443,41916.90550,0
1648513500000,1.18390,1.18590,1.18350,1.18590,67554,1648513559999,80030.93110,262,51079,60513.91390,0
1648513560000,1.18590,1.18610,1.18340,1.18500,98115,1648513619999,116223.91210,296,48466,57406.96150,0
