open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,1.16930,1.17230,1.16650,1.17150,1456735,1648512059999,1703349.88990,1784,752381,879731.71370,0
1648512060000,1.17150,1.17420,1.16710,1.17330,960991,1648512119999,1124994.63500,1660,539549,631756.81330,0
1648512120000,1.17340,1.17570,1.17170,1.17550,1215661,1648512179999,1427048.42020,1642,645328,757566.06040,0
1648512180000,1.17530,1.17580,1.17200,1.17460,947046,1648512239999,1111911.81440,1369,351017,412014.59480,0
1648512240000,1.17460,1.17510,1.17260,1.17280,915935,1648512299999,1075171.74540,1221,242381,284561.99310,0
1648512300000,1.17280,1.17480,1.17280,1.17390,468027,1648512359999,549358.55020,1000,328223,385281.91300,0
1648512360000,1.17400,1.17400,1.16920,1.17120,1011960,1648512419999,1184657.17580,1311,572439,670044.68280,0
1648512420000,1.17110,1.17380,1.16920,1.16920,468393,1648512479999,548945.29020,951,200058,234531.99370,0
1648512480000,1.16930,1.17820,1.16890,1.17760,1372907,1648512539999,1613301.61500,1782,957678,1125583.52410,0
1648512540000,1.17770,1.17910,1.17700,1.17880,1091803,1648512599999,1285996.60880,1482,490007,577190.00320,0
1648512600000,1.17900,1.18070,1.17830,1.17870,1289824,1648512659999,1521151.22830,1675,734057,865724.09990,0
1648512660000,1.17880,1.18150,1.17620,1.18130,1004545,1648512719999,1184234.69930,1298,534625,630558.84400,0
1648512720000,1.18130,1.18140,1.17730,1.17920,2183455,1648512779999,2575448.72790,1977,885211,1044229.80990,0
1648512780000,1.17920,1.18000,1.17710,1.17850,717008,1648512839999,845107.05350,937,404645,477000.83990,0
1648512840000,1.17850,1.17850,1.17500,1.17780,405071,1648512899999,476618.49520,710,125068,147150.18100,0
1648512900000,1.17780,1.18010,1.17590,1.17990,545284,1648512959999,642540.34340,799,376295,443397.66760,0
1648512960000,1.18000,1.18370,1.17930,1.18320,1175801,1648513019999,1389444.66150,1228,847096,1001040.93140,0
1648513020000,1.18300,1.18400,1.17860,1.18000,712988,1648513079999,842597.67360,1111,340509,402584.77830,0
1648513080000,1.17990,1.18070,1.17840,1.18010,547081,1648513139999,645486.83170,671,202991,239482.79530,0
1648513140000,1.18000,1.18000,1.17870,1.17970,234188,1648513199999,276228.66900,423,90596,106870.40550,0
1648513200000,1.17980,1.18000,1.17790,1.17800,638970,1648513259999,753197.29020,782,224881,265136.13340,0
1648513260000,1.17800,1.18160,1.17790,1.18160,269659,1648513319999,318153.66250,591,180724,213215.32560,0
1648513320000,1.18150,1.18280,1.18080,1.18270,626022,1648513379999,739993.27960,694,384364,454364.66690,0
1648513380000,1.18270,1.18300,1.18090,1.18150,472638,1648513439999,558779.86560,602,210687,249109.55630,0
1648513440000,1.18150,1.18390,1.18150,1.18380,481605,1648513499999,569825.38330,598,291756,345174.43220,0
1648513500000,1.18370,1.18570,1.18310,1.18560,1056458,1648513559999,1251567.97460,1225,622837,737928.66600,0
1648513560000,1.18570,1.18600,1.18300,1.18510,906986,1648513619999,1074337.44670,1028,481871,570766.22750,0
1648513620000,1.18500,1.18500,1.18070,1.18240,1166936,1648513679999,1379641.28110,1064,239960,283655.40890,0
1648513680000,1.18230,1.18580,1.18190,1.18500,518167,1648513739999,613650.99550,635,445035,527090.70360,0
1648513740000,1.18500,1.18530,1.18360,1.18370,285860,1648513799999,338578.83460,458,159461,188854.45080,0
1648513800000,1.18370,1.18560,1.18370,1.18500,210555,1648513859999,249441.09880,531,109490,129709.07370,0
1648513860000,1.18490,1.18610,1.18440,1.18520,305838,1648513919999,362489.56620,520,124737,147860.96510,0
1648513920000,1.18530,1.18620,1.18400,1.18510,807658,1648513979999,957526.48320,646,666871,790697.90350,0
1648513980000,1.18500,1.18570,1.18400,1.18510,152674,1648514039999,180898.17400,424,60124,71242.84670,0
1648514040000,1.18510,1.18540,1.18390,1.18390,257239,1648514099999,304752.79290,401,34809,41243.60590,0
1648514100000,1.18390,1.18560,1.18320,1.18500,274846,1648514159999,325499.91100,540,137959,163406.92920,0
1648514160000,1.18500,1.18670,1.18500,1.18600,358838,1648514219999,425482.95060,585,249387,295707.44630,0
1648514220000,1.18590,1.18700,1.18530,1.18670,314547,1648514279999,373110.73960,449,218387,259081.75590,0
1648514280000,1.18680,1.18710,1.18520,1.18680,500618,1648514339999,593740.34260,499,276423,327834.20780,0
1648514340000,1.18670,1.18760,1.18590,1.18620,550873,1648514399999,653757.83400,552,163587,194141.83610,0
1648514400000,1.18630,1.18700,1.18580,1.18640,370667,1648514459999,439741.63900,463,154005,182701.76260,0
1648514460000,1.18650,1.18760,1.18650,1.18690,222572,1648514519999,264215.02200,326,138251,164128.52240,0
1648514520000,1.18700,1.18700,1.18470,1.18540,331970,1648514579999,393580.69450,525,102684,121750.83890,0
1648514580000,1.18550,1.18640,1.18470,1.18550,492765,1648514639999,584124.60850,488,165723,196443.26430,0
1648514640000,1.18540,1.19470,1.18520,1.19420,4998365,1648514699999,5950968.97080,4441,3127141,3722469.59500,0
1648514700000,1.19420,1.19580,1.19200,1.19570,1630373,1648514759999,1945897.59920,1861,846602,1010575.43490,0
1648514760000,1.19570,1.19570,1.19280,1.19300,760360,1648514819999,907763.05420,1151,466756,557238.26940,0
1648514820000,1.19290,1.19380,1.19080,1.19090,528486,1648514879999,630216.25370,932,241585,288143.03340,0
1648514880000,1.19080,1.19240,1.19080,1.19180,389654,1648514939999,464308.19500,627,256586,305761.04980,0
1648514940000,1.19180,1.19210,1.19120,1.19180,245799,1648514999999,292904.30640,568,132216,157557.22830,0
1648515000000,1.19180,1.19190,1.18880,1.18920,711837,1648515059999,847357.72540,911,139593,166165.48880,0
1648515060000,1.18920,1.19130,1.18860,1.19020,234693,1648515119999,279302.01340,493,155633,185236.20020,0
1648515120000,1.19020,1.19030,1.18860,1.18860,206346,1648515179999,245498.72510,366,74229,88312.08610,0
1648515180000,1.18860,1.19000,1.18810,1.19000,174848,1648515239999,207856.25420,435,101991,121254.53290,0
1648515240000,1.18990,1.18990,1.18850,1.18870,120218,1648515299999,142939.88050,326,31851,37869.73470,0
1648515300000,1.18870,1.18870,1.18720,1.18810,484972,1648515359999,575990.19900,640,157877,187496.20380,0
1648515360000,1.18800,1.18900,1.18740,1.18850,337786,1648515419999,401284.36300,458,131282,155991.89840,0
1648515420000,1.18840,1.18870,1.18730,1.18750,223948,1648515479999,266033.90890,422,89372,106171.60200,0
1648515480000,1.18770,1.18830,1.18710,1.18810,114762,1648515539999,136290.44020,261,70151,83311.38020,0
1648515540000,1.18810,1.18850,1.18750,1.18800,203545,1648515599999,241827.13960,363,64168,76237.00050,0
1648515600000,1.18790,1.19020,1.18740,1.18980,304937,1648515659999,362633.06650,511,226434,269288.06040,0
