open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,0.01402,0.01402,0.01394,0.01397,4287962,1648598459999,59900.94047,218,872990,12199.79531,0
1648598460000,0.01396,0.01397,0.01393,0.01395,3155577,1648598519999,44036.26632,113,340948,4755.72338,0
1648598520000,0.01394,0.01395,0.01390,0.01390,2875272,1648598579999,40064.01733,158,880126,12271.58545,0
1648598580000,0.01390,0.01394,0.01389,0.01392,3879760,1648598639999,53993.89793,200,2006818,27934.67027,0
1648598640000,0.01392,0.01397,0.01392,0.01396,1034910,1648598699999,14436.66196,115,831212,11593.36585,0
1648598700000,0.01396,0.01397,0.01394,0.01395,1500546,1648598759999,20938.44481,175,923513,12888.31527,0
1648598760000,0.01395,0.01397,0.01395,0.01395,752281,1648598819999,10502.67514,100,494162,6899.34172,0
1648598820000,0.01396,0.01397,0.01395,0.01397,579880,1648598879999,8093.92206,87,383578,5355.24083,0
1648598880000,0.01396,0.01403,0.01396,0.01402,1404742,1648598939999,19672.63050,110,1314117,18404.05169,0
1648598940000,0.01402,0.01406,0.01401,0.01405,3201020,1648598999999,44942.17629,245,2357914,33107.34713,0
1648599000000,0.01405,0.01409,0.01405,0.01409,2386725,1648599059999,33603.78325,174,1741232,24517.20973,0
1648599060000,0.01409,0.01413,0.01409,0.01412,1412439,1648599119999,19923.95438,132,958969,13529.35373,0
1648599120000,0.01412,0.01412,0.01408,0.01409,2088879,1648599179999,29464.27217,108,221251,3121.99542,0
1648599180000,0.01409,0.01410,0.01406,0.01409,1223023,1648599239999,17220.80264,90,935655,13176.13836,0
1648599240000,0.01409,0.01421,0.01409,0.01419,4314956,1648599299999,61104.56933,425,3476545,49241.87521,0
1648599300000,0.01419,0.01438,0.01419,0.01429,40078867,1648599359999,572033.99040,2237,22712935,324223.24823,0
1648599360000,0.01429,0.01429,0.01425,0.01427,8805460,1648599419999,125634.79832,486,5932424,84656.85721,0
1648599420000,0.01427,0.01435,0.01425,0.01429,14921169,1648599479999,213143.80643,492,12295295,175616.48540,0
1648599480000,0.01429,0.01436,0.01428,0.01435,3941379,1648599539999,56412.48477,267,3197413,45764.78339,0
1648599540000,0.01435,0.01439,0.01433,0.01434,3798447,1648599599999,54543.00014,251,1532239,22007.18150,0
1648599600000,0.01433,0.01437,0.01430,0.01437,3774142,1648599659999,54088.23932,261,1694057,24296.37082,0
1648599660000,0.01436,0.01439,0.01435,0.01436,3138601,1648599719999,45084.92545,198,1895635,27234.25611,0
1648599720000,0.01437,0.01438,0.01435,0.01437,2533438,1648599779999,36413.40087,151,2022209,29071.37978,0
