open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,0.9297,0.9330,0.9295,0.9303,341809.5,1648771259999,318394.91910,514,225418.3,210017.78128,0
1648771260000,0.9299,0.9306,0.9273,0.9274,161899.0,1648771319999,150435.95118,298,22705.1,21091.73161,0
1648771320000,0.9278,0.9322,0.9266,0.9321,184443.2,1648771379999,171299.37967,330,100755.4,93643.68750,0
1648771380000,0.9324,0.9331,0.9302,0.9317,143476.0,1648771439999,133631.64165,359,65700.1,61208.18886,0
1648771440000,0.9314,0.9332,0.9310,0.9330,118355.5,1648771499999,110357.69431,293,66008.0,61553.00136,0
1648771500000,0.9331,0.9343,0.9324,0.9337,81835.7,1648771559999,76382.41949,290,31698.2,29589.89560,0
1648771560000,0.9336,0.9348,0.9330,0.9330,113860.4,1648771619999,106353.56672,338,69805.0,65209.40824,0
1648771620000,0.9332,0.9360,0.9330,0.9357,111264.9,1648771679999,103984.08989,334,63152.7,59025.35132,0
1648771680000,0.9354,0.9357,0.9335,0.9346,152500.4,1648771739999,142542.69569,285,81388.3,76097.23683,0
1648771740000,0.9342,0.9382,0.9333,0.9382,113376.6,1648771799999,106123.64421,288,83308.8,78006.97443,0
1648771800000,0.9382,0.9382,0.9339,0.9344,128441.9,1648771859999,120170.42140,235,31087.3,29118.83063,0
1648771860000,0.9347,0.9369,0.9342,0.9357,78335.1,1648771919999,73281.73351,232,48371.4,45260.06873,0
1648771920000,0.9357,0.9385,0.9357,0.9384,272146.6,1648771979999,255007.76906,356,111769.3,104771.95321,0
1648771980000,0.9381,0.9392,0.9376,0.9379,200755.7,1648772039999,188367.05245,297,70470.0,66126.82780,0
1648772040000,0.9380,0.9393,0.9369,0.9387,145897.4,1648772099999,136936.79740,236,104531.1,98134.78932,0
1648772100000,0.9387,0.9397,0.9366,0.9394,301504.2,1648772159999,282914.20149,453,242025.6,227120.92398,0
1648772160000,0.9390,0.9408,0.9373,0.9403,560321.7,1648772219999,526156.78902,957,347835.2,326670.63755,0
1648772220000,0.9404,0.9415,0.9392,0.9411,183115.9,1648772279999,172160.66942,380,44630.3,41973.06233,0
1648772280000,0.9411,0.9413,0.9379,0.9379,193620.9,1648772339999,181901.33478,322,49353.3,46402.81083,0
1648772340000,0.9379,0.9380,0.9357,0.9374,281430.3,1648772399999,263645.14360,393,48072.9,45042.96346,0
1648772400000,0.9372,0.9381,0.9365,0.9378,58234.5,1648772459999,54579.60744,170,42502.9,39832.31390,0
1648772460000,0.9379,0.9408,0.9377,0.9406,276154.3,1648772519999,259457.57354,578,214273.4,201318.90385,0
1648772520000,0.9406,0.9419,0.9402,0.9417,76274.5,1648772579999,71794.15971,178,48491.8,45649.84236,0
1648772580000,0.9416,0.9437,0.9412,0.9437,183461.5,1648772639999,172933.11863,361,113087.3,106617.31437,0
1648772640000,0.9434,0.9459,0.9434,0.9459,198297.1,1648772699999,187299.45087,517,106229.6,100358.69354,0
