open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,7.656,7.660,7.651,7.656,10313.0,1648425659999,78951.9809,197,3092.8,23680.3319,0
1648425660000,7.655,7.660,7.643,7.644,10283.1,1648425719999,78685.9743,243,4406.5,33737.0959,0
1648425720000,7.646,7.661,7.643,7.657,19470.9,1648425779999,149058.9082,274,13405.8,102630.3896,0
1648425780000,7.656,7.657,7.631,7.631,6679.4,1648425839999,51041.8689,192,2197.9,16796.8200,0
1648425840000,7.633,7.640,7.612,7.613,30592.6,1648425899999,233318.2426,390,12086.4,92231.6437,0
1648425900000,7.613,7.626,7.610,7.616,12425.5,1648425959999,94647.5545,251,6918.1,52708.0856,0
1648425960000,7.616,7.621,7.603,7.605,12077.2,1648426019999,91971.1710,241,7982.7,60805.4227,0
1648426020000,7.607,7.607,7.584,7.596,36154.5,1648426079999,274525.5047,523,9815.2,74536.2431,0
1648426080000,7.598,7.608,7.580,7.594,20203.5,1648426139999,153417.7861,312,7279.1,55290.7150,0
1648426140000,7.594,7.613,7.594,7.603,10598.1,1648426199999,80604.8500,200,7487.4,56945.8642,0
1648426200000,7.602,7.606,7.592,7.606,11998.7,1648426259999,91153.1141,175,3501.5,26608.1878,0
1648426260000,7.606,7.616,7.605,7.609,7824.8,1648426319999,59569.2425,184,5154.8,39247.4655,0
1648426320000,7.610,7.610,7.596,7.599,6806.7,1648426379999,51759.5943,145,3304.4,25131.0104,0
1648426380000,7.598,7.608,7.598,7.599,7947.1,1648426439999,60409.8443,157,903.3,6866.9390,0
1648426440000,7.599,7.604,7.596,7.602,5495.7,1648426499999,41765.8442,130,2908.1,22103.9832,0
1648426500000,7.601,7.613,7.592,7.597,12401.2,1648426559999,94271.5925,231,7788.0,59208.2101,0
1648426560000,7.597,7.606,7.594,7.594,7938.0,1648426619999,60323.5053,153,4711.0,35799.9190,0
1648426620000,7.594,7.608,7.594,7.599,8597.9,1648426679999,65344.3806,173,4762.0,36189.8080,0
1648426680000,7.602,7.611,7.596,7.606,7182.9,1648426739999,54620.8893,167,3496.9,26594.5763,0
1648426740000,7.606,7.616,7.603,7.609,7422.4,1648426799999,56500.3115,144,4159.4,31664.4243,0
1648426800000,7.611,7.615,7.607,7.612,8231.6,1648426859999,62650.5460,149,6049.1,46043.1379,0
1648426860000,7.611,7.615,7.604,7.610,3934.6,1648426919999,29942.4816,112,2132.7,16230.5518,0
1648426920000,7.609,7.618,7.608,7.618,4823.8,1648426979999,36722.1437,132,3577.0,27233.3614,0
1648426980000,7.616,7.624,7.612,7.619,11290.9,1648427039999,86022.3895,225,6608.9,50352.3718,0
1648427040000,7.618,7.620,7.611,7.613,5407.1,1648427099999,41167.9402,138,2400.1,18275.9415,0
1648427100000,7.616,7.618,7.595,7.605,25467.6,1648427159999,193730.5977,321,3702.8,28151.2375,0
1648427160000,7.605,7.617,7.605,7.615,8486.3,1648427219999,64600.5225,190,5905.2,44951.2151,0
1648427220000,7.615,7.617,7.608,7.616,5008.7,1648427279999,38125.9562,128,1963.6,14949.1269,0
1648427280000,7.616,7.622,7.614,7.616,4868.4,1648427339999,37089.7641,147,1760.5,13413.0520,0
1648427340000,7.615,7.615,7.607,7.615,4913.0,1648427399999,37394.2038,139,2159.7,16439.0585,0
1648427400000,7.615,7.617,7.608,7.617,5392.2,1648427459999,41055.3439,140,4662.8,35504.1345,0
1648427460000,7.616,7.638,7.616,7.637,9194.6,1648427519999,70134.1990,214,6401.2,48821.3873,0
1648427520000,7.636,7.658,7.632,7.651,36293.2,1648427579999,277657.4829,566,20577.1,157441.6097,0
1648427580000,7.650,7.682,7.648,7.678,18886.2,1648427639999,144764.0765,403,14450.1,110776.8674,0
1648427640000,7.682,7.691,7.654,7.663,63166.3,1648427699999,484734.8946,1023,24665.7,189379.6873,0
1648427700000,7.661,7.674,7.658,7.664,29243.3,1648427759999,224146.2809,492,11076.3,84906.3114,0
1648427760000,7.664,7.673,7.656,7.668,13425.6,1648427819999,102909.0977,289,7043.0,53996.3023,0
1648427820000,7.672,7.672,7.662,7.667,10175.0,1648427879999,78010.8410,219,5821.2,44634.4614,0
1648427880000,7.667,7.675,7.662,7.671,15958.7,1648427939999,122385.7641,269,9627.7,73842.0582,0
1648427940000,7.673,7.683,7.661,7.676,22142.1,1648427999999,169913.4058,279,19013.1,145915.2926,0
1648428000000,7.676,7.686,7.668,7.678,12505.6,1648428059999,96036.0464,273,8532.6,65530.4014,0
1648428060000,7.680,7.684,7.666,7.672,10514.7,1648428119999,80672.1278,204,2844.1,21818.6242,0
1648428120000,7.674,7.674,7.661,7.668,5272.7,1648428179999,40423.2291,166,2722.1,20868.8821,0
1648428180000,7.668,7.674,7.661,7.668,7083.6,1648428239999,54312.3736,163,2649.6,20319.1710,0
1648428240000,7.668,7.669,7.653,7.657,9097.3,1648428299999,69680.9802,206,3284.5,25154.1918,0
1648428300000,7.657,7.657,7.608,7.608,24116.9,1648428359999,184023.8800,413,2741.1,20924.5231,0
1648428360000,7.608,7.624,7.598,7.615,34842.8,1648428419999,265297.8751,446,17031.2,129702.0696,0
1648428420000,7.618,7.632,7.617,7.621,11487.6,1648428479999,87589.3959,192,8226.0,62722.6464,0
1648428480000,7.623,7.626,7.618,7.623,9410.3,1648428539999,71723.6669,162,5011.3,38201.0608,0
1648428540000,7.623,7.627,7.619,7.627,7056.9,1648428599999,53798.1347,149,2402.4,18315.1212,0
1648428600000,7.629,7.629,7.610,7.616,10275.0,1648428659999,78256.8446,230,1984.3,15108.0575,0
1648428660000,7.616,7.629,7.613,7.626,5149.1,1648428719999,39238.2645,114,2931.6,22346.7178,0
1648428720000,7.626,7.632,7.621,7.632,1772.2,1648428779999,13519.3239,101,1226.8,9359.7434,0
1648428780000,7.631,7.635,7.621,7.635,8389.2,1648428839999,64006.0900,139,5675.6,43309.1723,0
1648428840000,7.635,7.636,7.625,7.625,3171.8,1648428899999,24204.7140,136,981.4,7490.6710,0
1648428900000,7.625,7.630,7.612,7.612,3932.3,1648428959999,29978.6144,147,385.8,2940.0930,0
1648428960000,7.612,7.621,7.605,7.621,3255.4,1648429019999,24777.3821,125,1583.3,12052.0215,0
1648429020000,7.621,7.627,7.619,7.622,6696.6,1648429079999,51044.9365,214,5135.0,39142.6781,0
1648429080000,7.622,7.633,7.617,7.631,2828.3,1648429139999,21576.9209,121,2148.2,16391.0904,0
1648429140000,7.631,7.635,7.627,7.634,5825.1,1648429199999,44451.9526,155,3107.0,23711.7709,0
1648429200000,7.632,7.633,7.619,7.622,4705.7,1648429259999,35885.4602,168,2431.2,18544.6624,0
1648429260000,7.621,7.624,7.619,7.620,2634.2,1648429319999,20075.5414,124,800.6,6101.6249,0
1648429320000,7.620,7.620,7.612,7.620,6702.3,1648429379999,51048.5014,158,4566.6,34782.1021,0
1648429380000,7.618,7.625,7.618,7.620,2958.5,1648429439999,22546.6645,130,1353.0,10310.6685,0
1648429440000,7.621,7.638,7.620,7.634,14656.8,1648429499999,111840.7270,217,9923.8,75708.7722,0
1648429500000,7.636,7.646,7.633,7.638,7491.7,1648429559999,57234.3804,162,4561.4,34856.8371,0
1648429560000,7.637,7.641,7.634,7.638,1930.6,1648429619999,14745.7160,121,1038.4,7930.9918,0
1648429620000,7.637,7.637,7.625,7.632,5315.6,1648429679999,40565.2538,145,2323.3,17728.5134,0
1648429680000,7.635,7.650,7.635,7.649,7643.8,1648429739999,58432.9027,162,5999.0,45857.0611,0
1648429740000,7.648,7.660,7.645,7.658,13772.5,1648429799999,105408.2804,365,9784.1,74884.9030,0
1648429800000,7.656,7.675,7.651,7.675,14058.9,1648429859999,107732.8041,286,11066.7,84809.2062,0
1648429860000,7.673,7.680,7.671,7.678,13551.4,1648429919999,104027.2431,232,9880.2,75845.1956,0
1648429920000,7.679,7.684,7.675,7.678,10378.3,1648429979999,79715.8291,263,4642.1,35660.4028,0
1648429980000,7.680,7.688,7.680,7.685,3869.4,1648430039999,29732.1927,148,1735.0,13331.4636,0
1648430040000,7.686,7.700,7.685,7.693,13525.7,1648430099999,104059.9225,357,9318.9,71697.9540,0
1648430100000,7.694,7.704,7.690,7.696,16494.3,1648430159999,126948.3807,294,7052.9,54287.9904,0
1648430160000,7.697,7.701,7.681,7.682,30450.7,1648430219999,234235.0836,324,7747.5,59609.6163,0
1648430220000,7.681,7.682,7.666,7.668,9858.6,1648430279999,75663.9689,197,1253.5,9624.8406,0
1648430280000,7.668,7.675,7.661,7.674,5302.3,1648430339999,40666.8217,142,4160.4,31909.6866,0
1648430340000,7.673,7.681,7.669,7.679,6488.6,1648430399999,49807.3059,114,5530.9,42460.5042,0
1648430400000,7.681,7.681,7.670,7.670,4482.1,1648430459999,34404.6680,125,853.1,6546.7955,0
1648430460000,7.671,7.678,7.671,7.677,5296.6,1648430519999,40647.5196,117,3470.6,26635.7212,0
1648430520000,7.676,7.676,7.667,7.668,3154.2,1648430579999,24197.1940,164,745.2,5717.4394,0
1648430580000,7.668,7.681,7.668,7.681,6614.0,1648430639999,50778.3183,107,6018.0,46203.1021,0
1648430640000,7.681,7.684,7.673,7.673,1888.4,1648430699999,14505.1743,108,1097.0,8426.8335,0
1648430700000,7.672,7.676,7.669,7.674,2322.5,1648430759999,17818.7605,69,1601.3,12285.6471,0
1648430760000,7.674,7.676,7.663,7.663,4242.4,1648430819999,32534.9984,138,607.9,4660.4880,0
1648430820000,7.662,7.663,7.657,7.659,4251.9,1648430879999,32570.5721,120,2241.0,17168.8928,0
1648430880000,7.659,7.660,7.645,7.645,14971.5,1648430939999,114537.6244,224,1696.7,12984.8903,0
1648430940000,7.645,7.656,7.641,7.656,3586.2,1648430999999,27425.7253,176,2553.4,19529.0714,0
