open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,0.37240,0.37260,0.36990,0.37090,345833,1648598459999,128220.94720,418,97431,36121.38150,0
1648598460000,0.37090,0.37120,0.36850,0.36870,411677,1648598519999,152152.93330,432,121836,45058.04400,0
1648598520000,0.36860,0.36930,0.36830,0.36850,223695,1648598579999,82498.96580,261,150891,55654.87010,0
1648598580000,0.36840,0.37030,0.36830,0.37030,158177,1648598639999,58449.06850,200,116550,43078.52020,0
1648598640000,0.37040,0.37120,0.37010,0.37100,120932,1648598699999,44813.67910,141,96683,35826.57680,0
1648598700000,0.37110,0.37130,0.36980,0.37010,194924,1648598759999,72215.51510,187,48660,18014.78840,0
1648598760000,0.37030,0.37060,0.36950,0.36960,114089,1648598819999,42220.48740,174,52414,19402.03180,0
1648598820000,0.36970,0.36990,0.36880,0.36970,74770,1648598879999,27617.57620,98,28182,10408.48270,0
1648598880000,0.36970,0.37110,0.36970,0.37100,73558,1648598939999,27251.02040,99,62051,22990.83940,0
1648598940000,0.37090,0.37190,0.37080,0.37170,58387,1648598999999,21690.02070,93,41276,15333.36990,0
1648599000000,0.37190,0.37270,0.37170,0.37270,166315,1648599059999,61930.32010,166,124020,46190.90190,0
1648599060000,0.37270,0.37350,0.37250,0.37310,114057,1648599119999,42540.16230,199,53465,19944.87970,0
1648599120000,0.37300,0.37390,0.37280,0.37300,196858,1648599179999,73502.10980,301,65100,24309.85940,0
1648599180000,0.37310,0.37310,0.37140,0.37210,266567,1648599239999,99190.11080,217,76600,28488.69290,0
1648599240000,0.37210,0.37390,0.37210,0.37390,184080,1648599299999,68685.04320,354,127894,47719.10460,0
1648599300000,0.37380,0.37510,0.37370,0.37390,264179,1648599359999,98925.20060,427,152943,57284.89380,0
1648599360000,0.37380,0.37380,0.37270,0.37320,164713,1648599419999,61464.47860,190,107394,40081.63070,0
1648599420000,0.37300,0.37430,0.37270,0.37380,56048,1648599479999,20937.39400,95,22661,8471.64650,0
1648599480000,0.37380,0.37440,0.37300,0.37300,127333,1648599539999,47573.27040,147,43806,16376.55790,0
1648599540000,0.37310,0.37350,0.37280,0.37280,106089,1648599599999,39587.97300,93,55943,20873.44110,0
1648599600000,0.37270,0.37290,0.37140,0.37140,133056,1648599659999,49540.05910,146,31982,11915.99180,0
1648599660000,0.37180,0.37200,0.37090,0.37130,102022,1648599719999,37880.67840,125,27314,10148.57950,0
1648599720000,0.37140,0.37160,0.37030,0.37030,42792,1648599779999,15866.42190,111,5849,2169.97060,0
1648599780000,0.37030,0.37050,0.36960,0.36990,100563,1648599839999,37207.73800,148,12216,4521.79500,0
1648599840000,0.37000,0.37010,0.36950,0.36990,63976,1648599899999,23660.43460,89,16609,6142.85540,0
1648599900000,0.36990,0.37010,0.36900,0.36930,159458,1648599959999,58886.93780,179,33596,12408.48330,0
