open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,2.4850,2.4900,2.4820,2.4880,29741.0,1648425659999,73941.42210,164,18434.1,45851.94060,0
1648425660000,2.4880,2.4920,2.4860,2.4890,12361.6,1648425719999,30768.76750,121,6295.5,15674.28400,0
1648425720000,2.4890,2.4960,2.4880,2.4960,29567.5,1648425779999,73699.35680,177,18875.2,47063.29070,0
1648425780000,2.4950,2.4960,2.4890,2.4890,11717.5,1648425839999,29200.14620,97,1966.5,4902.59070,0
1648425840000,2.4890,2.4920,2.4860,2.4900,24847.6,1648425899999,61816.00340,120,5585.6,13907.73400,0
1648425900000,2.4890,2.4900,2.4870,2.4880,8773.1,1648425959999,21829.84180,79,1401.7,3489.49060,0
1648425960000,2.4890,2.4920,2.4890,2.4900,7824.9,1648426019999,19487.83270,103,5777.2,14389.72520,0
1648426020000,2.4910,2.4970,2.4900,2.4960,30017.4,1648426079999,74861.74100,162,25770.3,64275.54370,0
1648426080000,2.4960,2.4980,2.4930,2.4980,30319.0,1648426139999,75681.80690,176,12683.7,31674.46970,0
1648426140000,2.4980,2.5020,2.4960,2.5000,18585.9,1648426199999,46450.01890,153,11037.5,27590.10990,0
1648426200000,2.5010,2.5080,2.5010,2.5080,36148.3,1648426259999,90491.50290,307,20195.6,50576.35350,0
1648426260000,2.5070,2.5090,2.5010,2.5080,34861.1,1648426319999,87305.78210,208,17422.9,43648.58040,0
1648426320000,2.5070,2.5100,2.5000,2.5040,35103.6,1648426379999,87937.86250,202,19281.6,48317.56920,0
1648426380000,2.5040,2.5050,2.5020,2.5030,13709.5,1648426439999,34319.75040,78,3289.0,8237.06620,0
1648426440000,2.5030,2.5050,2.5020,2.5050,12039.3,1648426499999,30140.34660,178,3636.0,9106.36770,0
1648426500000,2.5040,2.5050,2.5020,2.5050,12918.0,1648426559999,32338.50650,107,5075.8,12712.87670,0
