open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,0.095330,0.095580,0.094750,0.094750,1342903,1648771259999,127859.242310,581,392776,37485.630050,0
1648771260000,0.094750,0.094820,0.094390,0.094520,1164485,1648771319999,110152.849850,446,247810,23449.855780,0
1648771320000,0.094530,0.095930,0.094530,0.095860,1840774,1648771379999,175297.366570,597,1324372,126241.940020,0
1648771380000,0.095840,0.095880,0.095330,0.095530,1787925,1648771439999,171012.929140,667,798342,76391.423100,0
1648771440000,0.095520,0.096000,0.095390,0.095870,1587658,1648771499999,151943.996800,539,694842,66562.074630,0
1648771500000,0.095900,0.096050,0.095010,0.095890,2061297,1648771559999,196925.865880,799,872027,83423.130370,0
1648771560000,0.095880,0.095940,0.095230,0.095250,1104357,1648771619999,105552.488890,355,439863,42039.743150,0
1648771620000,0.095230,0.095600,0.095200,0.095410,621069,1648771679999,59283.206140,198,410392,39179.628580,0
1648771680000,0.095380,0.095410,0.095050,0.095270,556935,1648771739999,53014.039920,237,255126,24288.957030,0
1648771740000,0.095230,0.095610,0.094930,0.095520,870138,1648771799999,82869.817810,320,455332,43362.261330,0
1648771800000,0.095530,0.095550,0.095000,0.095180,614550,1648771859999,58506.867430,271,252584,24046.875730,0
1648771860000,0.095180,0.095520,0.095180,0.095410,299538,1648771919999,28577.816060,139,231711,22107.429120,0
1648771920000,0.095430,0.095730,0.095430,0.095600,949223,1648771979999,90749.120280,301,572238,54706.990500,0
1648771980000,0.095580,0.095740,0.095400,0.095550,687941,1648772039999,65739.323150,235,284906,27230.617900,0
1648772040000,0.095530,0.096010,0.095490,0.095800,514042,1648772099999,49233.106500,256,332142,31807.348880,0
1648772100000,0.095800,0.095950,0.095630,0.095790,439264,1648772159999,42091.486820,128,169689,16249.970690,0
1648772160000,0.095720,0.096350,0.095650,0.096310,2063500,1648772219999,198162.519800,565,1578905,151649.715920,0
1648772220000,0.096270,0.096420,0.096040,0.096380,666412,1648772279999,64125.751710,256,312943,30133.589670,0
1648772280000,0.096380,0.096400,0.095930,0.095990,726089,1648772339999,69793.891760,251,287077,27589.163070,0
1648772340000,0.095980,0.096380,0.095860,0.096230,771178,1648772399999,74092.645850,295,320820,30848.226960,0
1648772400000,0.096180,0.096410,0.096140,0.096310,1080263,1648772459999,103986.524710,388,328218,31588.934020,0
1648772460000,0.096300,0.096530,0.096300,0.096510,1396520,1648772519999,134637.279700,401,728968,70299.629730,0
1648772520000,0.096480,0.096800,0.096480,0.096680,3532292,1648772579999,341371.004270,573,2054398,198534.643180,0
1648772580000,0.096690,0.096870,0.096300,0.096850,1628586,1648772639999,157209.834170,417,686366,66253.596470,0
1648772640000,0.096850,0.097030,0.096800,0.097000,1130010,1648772699999,109505.831440,319,502854,48740.436250,0
