open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,13.6030,13.6040,13.5500,13.5650,35182,1648598459999,477350.8640,860,10953,148597.9640,0
1648598460000,13.5670,13.5760,13.4690,13.5030,104622,1648598519999,1413771.8940,2251,28473,384765.9740,0
1648598520000,13.5030,13.5460,13.4930,13.5310,38349,1648598579999,518572.5300,772,24846,335986.6030,0
1648598580000,13.5320,13.5950,13.5270,13.5790,55954,1648598639999,759362.1100,939,42052,570777.4370,0
1648598640000,13.5790,13.6080,13.5790,13.5850,19982,1648598699999,271637.4910,521,13210,179571.3370,0
1648598700000,13.5850,13.5860,13.5290,13.5290,29291,1648598759999,397466.0040,649,12332,167448.8660,0
1648598760000,13.5300,13.5620,13.5190,13.5250,17035,1648598819999,230676.1760,496,7561,102402.1460,0
1648598820000,13.5250,13.5450,13.5100,13.5400,16236,1648598879999,219600.6100,420,6149,83175.0440,0
1648598880000,13.5370,13.6370,13.5350,13.6210,43818,1648598939999,595792.8450,988,38363,521599.5520,0
1648598940000,13.6220,13.6610,13.6200,13.6420,48128,1648598999999,656458.8290,1155,18931,258263.6510,0
1648599000000,13.6430,13.6930,13.6420,13.6900,44656,1648599059999,610753.4920,1044,29660,405634.4110,0
1648599060000,13.6890,13.7100,13.6830,13.6990,39134,1648599119999,536054.7340,776,16977,232580.0480,0
1648599120000,13.6980,13.7100,13.6640,13.6650,27472,1648599179999,376140.1960,654,11770,161209.4610,0
1648599180000,13.6650,13.6780,13.6520,13.6600,18070,1648599239999,246895.5220,550,9584,130973.0890,0
1648599240000,13.6600,13.7190,13.6600,13.7180,22437,1648599299999,307189.4750,546,12643,173173.3880,0
1648599300000,13.7200,13.7470,13.7010,13.7340,38656,1648599359999,530666.0880,885,20165,276821.9570,0
1648599360000,13.7340,13.7410,13.7210,13.7300,21613,1648599419999,296780.8400,545,6872,94372.3170,0
1648599420000,13.7310,13.7740,13.7240,13.7560,32403,1648599479999,445448.2450,923,19683,270608.1910,0
1648599480000,13.7580,13.8050,13.7530,13.7940,52178,1648599539999,719178.4850,1369,33289,458844.6940,0
1648599540000,13.7950,13.8480,13.7860,13.8130,70628,1648599599999,976102.8700,1740,43842,605942.6780,0
1648599600000,13.8140,13.8200,13.7890,13.7890,29630,1648599659999,409043.6460,738,10826,149471.4830,0
1648599660000,13.7920,13.7950,13.7080,13.7330,48178,1648599719999,662164.3000,1222,11790,162043.7520,0
1648599720000,13.7330,13.7570,13.7290,13.7350,13193,1648599779999,181340.4790,358,8400,115468.2470,0
1648599780000,13.7360,13.7510,13.7110,13.7190,17674,1648599839999,242706.9010,373,7597,104337.8810,0
1648599840000,13.7200,13.7270,13.6700,13.6700,27326,1648599899999,374168.3070,723,7635,104550.0930,0
1648599900000,13.6720,13.7030,13.6190,13.6480,69349,1648599959999,946718.6430,1329,17898,244458.4670,0
1648599960000,13.6470,13.6690,13.6340,13.6370,28417,1648600019999,388070.5680,476,7335,100192.8700,0
1648600020000,13.6410,13.6940,13.6410,13.6890,20374,1648600079999,278569.6860,532,14977,204743.4760,0
1648600080000,13.6900,13.6960,13.6380,13.6380,21382,1648600139999,292465.2260,462,10153,138928.5240,0
1648600140000,13.6370,13.6490,13.5900,13.5950,33577,1648600199999,457282.5420,801,12325,167910.9580,0
1648600200000,13.5940,13.6570,13.5900,13.6150,34979,1648600259999,476701.4880,751,18397,250775.9010,0
1648600260000,13.6140,13.6250,13.5670,13.5690,42934,1648600319999,583676.4890,766,16231,220692.9180,0
1648600320000,13.5700,13.5780,13.5500,13.5530,26799,1648600379999,363352.0080,696,10725,145447.8260,0
1648600380000,13.5520,13.5550,13.5130,13.5140,39685,1648600439999,537157.4780,998,20183,273247.7450,0
1648600440000,13.5150,13.5680,13.5110,13.5540,41759,1648600499999,565107.5610,864,29403,397962.1960,0
1648600500000,13.5530,13.6160,13.5500,13.5620,40188,1648600559999,545720.1440,1072,23297,316335.9330,0
