open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,37.637,37.703,37.596,37.596,1024.0,1648425659999,38549.5191,130,496.6,18699.6467,0
1648425660000,37.598,37.598,37.420,37.447,1548.6,1648425719999,58072.4874,321,339.7,12738.9584,0
1648425720000,37.438,37.501,37.410,37.464,1053.1,1648425779999,39449.4275,159,323.1,12106.0264,0
1648425780000,37.465,37.470,37.308,37.355,3265.3,1648425839999,122032.1146,401,727.9,27201.6763,0
1648425840000,37.357,37.430,37.311,37.391,1505.5,1648425899999,56279.7265,284,967.6,36171.7353,0
1648425900000,37.389,37.431,37.300,37.323,1983.0,1648425959999,74059.6883,320,637.4,23801.9513,0
1648425960000,37.323,37.394,37.241,37.275,2618.3,1648426019999,97664.5703,299,869.7,32461.9141,0
1648426020000,37.265,37.271,37.170,37.208,1697.6,1648426079999,63184.0370,254,374.1,13930.2072,0
1648426080000,37.206,37.271,37.157,37.247,1751.9,1648426139999,65195.5491,200,1126.6,41938.1071,0
1648426140000,37.246,37.331,37.240,37.268,937.9,1648426199999,34972.5986,139,161.6,6025.6559,0
1648426200000,37.268,37.339,37.263,37.339,439.8,1648426259999,16403.3044,70,242.6,9047.7239,0
1648426260000,37.339,37.386,37.305,37.386,567.9,1648426319999,21202.4405,88,308.5,11517.1702,0
1648426320000,37.375,37.387,37.201,37.253,1416.8,1648426379999,52795.1610,175,171.1,6382.2900,0
1648426380000,37.256,37.273,37.214,37.217,711.2,1648426439999,26493.8581,133,287.2,10699.8895,0
1648426440000,37.218,37.259,37.184,37.255,1475.4,1648426499999,54929.2315,181,1028.1,38280.7660,0
1648426500000,37.253,37.288,37.197,37.212,1404.7,1648426559999,52309.9920,141,671.9,25033.3499,0
1648426560000,37.216,37.271,37.143,37.145,1693.2,1648426619999,62984.4704,222,461.7,17184.8491,0
1648426620000,37.143,37.143,37.055,37.128,2680.4,1648426679999,99430.1092,349,855.1,31727.3166,0
1648426680000,37.125,37.135,37.079,37.114,745.3,1648426739999,27656.2844,148,328.6,12196.0129,0
1648426740000,37.106,37.142,37.088,37.119,557.9,1648426799999,20703.6752,91,242.7,9006.8473,0
1648426800000,37.119,37.119,37.093,37.109,670.2,1648426859999,24866.5910,99,83.1,3083.8295,0
1648426860000,37.111,37.244,37.111,37.238,1261.6,1648426919999,46905.6890,165,1170.0,43499.3558,0
1648426920000,37.234,37.264,37.208,37.233,954.6,1648426979999,35546.0192,116,232.4,8654.8813,0
1648426980000,37.224,37.275,37.215,37.252,327.6,1648427039999,12201.2603,83,141.2,5259.9146,0
1648427040000,37.247,37.257,37.157,37.168,612.0,1648427099999,22776.6372,124,128.5,4784.4639,0
1648427100000,37.175,37.208,37.105,37.123,1345.3,1648427159999,49958.4229,163,147.4,5476.1962,0
1648427160000,37.123,37.166,37.115,37.156,516.5,1648427219999,19183.3658,91,175.7,6527.4060,0
1648427220000,37.157,37.180,37.121,37.180,473.8,1648427279999,17602.6673,108,281.6,10464.0516,0
1648427280000,37.184,37.195,37.123,37.164,640.9,1648427339999,23816.2613,101,103.9,3863.1741,0
1648427340000,37.151,37.162,37.127,37.144,255.9,1648427399999,9504.2179,80,94.5,3509.8967,0
1648427400000,37.142,37.198,37.142,37.168,538.2,1648427459999,20005.8833,110,315.7,11736.5524,0
