open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,0.4397,0.4424,0.4381,0.4420,247038,1648512059999,108721.9138,286,146621,64571.9886,0
1648512060000,0.4413,0.4414,0.4397,0.4409,93217,1648512119999,41062.9988,198,61377,27036.5321,0
1648512120000,0.4411,0.4421,0.4402,0.4417,113599,1648512179999,50112.5133,220,78514,34653.4712,0
1648512180000,0.4417,0.4422,0.4399,0.4421,107943,1648512239999,47573.2173,186,35981,15870.2897,0
1648512240000,0.4422,0.4436,0.4419,0.4423,96713,1648512299999,42817.2041,173,79094,35022.6213,0
1648512300000,0.4423,0.4437,0.4420,0.4434,127474,1648512359999,56487.5561,243,88164,39083.7570,0
1648512360000,0.4435,0.4435,0.4406,0.4420,128907,1648512419999,56919.8550,185,46533,20549.8907,0
1648512420000,0.4420,0.4431,0.4415,0.4417,68518,1648512479999,30309.6680,142,39878,17643.3807,0
1648512480000,0.4416,0.4446,0.4416,0.4439,99634,1648512539999,44182.7476,193,88623,39293.6323,0
1648512540000,0.4437,0.4452,0.4437,0.4446,75875,1648512599999,33740.6609,209,60533,26920.1111,0
1648512600000,0.4446,0.4451,0.4445,0.4447,32182,1648512659999,14313.1738,99,15106,6718.9963,0
1648512660000,0.4447,0.4450,0.4439,0.4448,64869,1648512719999,28834.4098,166,32993,14667.4973,0
1648512720000,0.4449,0.4452,0.4439,0.4446,47177,1648512779999,20972.6722,78,26071,11593.4280,0
1648512780000,0.4445,0.4453,0.4437,0.4443,72397,1648512839999,32174.9397,123,26105,11605.1085,0
1648512840000,0.4443,0.4444,0.4431,0.4440,27382,1648512899999,12141.2133,51,5167,2292.2146,0
1648512900000,0.4441,0.4456,0.4437,0.4456,26875,1648512959999,11948.9714,93,19241,8556.6933,0
1648512960000,0.4456,0.4467,0.4455,0.4466,100014,1648513019999,44617.3668,242,67928,30304.9227,0
1648513020000,0.4463,0.4465,0.4446,0.4454,26604,1648513079999,11852.7023,99,11373,5067.7975,0
1648513080000,0.4456,0.4457,0.4447,0.4450,39728,1648513139999,17686.8703,118,27331,12169.5749,0
1648513140000,0.4450,0.4452,0.4445,0.4452,7896,1648513199999,3512.6154,34,5450,2424.3970,0
1648513200000,0.4450,0.4450,0.4441,0.4441,19516,1648513259999,8669.9766,52,1894,841.7333,0
1648513260000,0.4442,0.4449,0.4441,0.4449,43051,1648513319999,19128.0877,48,40604,18039.9708,0
1648513320000,0.4450,0.4460,0.4450,0.4460,14640,1648513379999,6525.0758,56,10345,4611.4819,0
1648513380000,0.4459,0.4460,0.4452,0.4452,12799,1648513439999,5702.8668,41,4959,2210.9008,0
1648513440000,0.4453,0.4461,0.4453,0.4461,6543,1648513499999,2917.0366,39,3324,1482.0247,0
1648513500000,0.4460,0.4467,0.4458,0.4461,27689,1648513559999,12355.2739,103,13163,5875.0639,0
1648513560000,0.4462,0.4463,0.4448,0.4457,173403,1648513619999,77230.3411,222,75933,33841.1301,0
1648513620000,0.4458,0.4459,0.4452,0.4453,6148,1648513679999,2740.1940,25,3554,1583.9394,0
1648513680000,0.4454,0.4464,0.4449,0.4464,18327,1648513739999,8172.1361,45,15522,6922.6630,0
1648513740000,0.4464,0.4465,0.4458,0.4458,15769,1648513799999,7037.2519,48,3526,1573.5073,0
1648513800000,0.4458,0.4465,0.4458,0.4462,35302,1648513859999,15748.9727,77,29543,13178.1996,0
1648513860000,0.4461,0.4466,0.4460,0.4463,21030,1648513919999,9385.5119,62,13737,6131.6902,0
1648513920000,0.4463,0.4464,0.4459,0.4459,10062,1648513979999,4488.1683,29,3153,1406.8792,0
1648513980000,0.4458,0.4467,0.4457,0.4466,18130,1648514039999,8086.4211,79,15985,7129.1866,0
1648514040000,0.4465,0.4466,0.4459,0.4459,8777,1648514099999,3915.7859,31,1708,762.3721,0
1648514100000,0.4459,0.4461,0.4457,0.4459,13242,1648514159999,5904.8579,38,9576,4270.0481,0
1648514160000,0.4459,0.4467,0.4456,0.4464,18678,1648514219999,8330.6295,58,11171,4984.6150,0
1648514220000,0.4463,0.4480,0.4463,0.4475,117463,1648514279999,52542.5782,218,107952,48288.1659,0
1648514280000,0.4475,0.4477,0.4463,0.4463,27131,1648514339999,12122.1700,69,2657,1188.7488,0
1648514340000,0.4463,0.4466,0.4460,0.4462,76643,1648514399999,34193.5901,83,30660,13678.1338,0
1648514400000,0.4461,0.4464,0.4460,0.4463,35771,1648514459999,15959.9717,65,28353,12650.4269,0
1648514460000,0.4463,0.4467,0.4460,0.4467,33834,1648514519999,15104.2712,99,25597,11429.8949,0
1648514520000,0.4463,0.4465,0.4457,0.4461,37050,1648514579999,16523.5811,69,8748,3903.4254,0
1648514580000,0.4460,0.4462,0.4456,0.4461,14461,1648514639999,6446.8273,40,5907,2634.2974,0
1648514640000,0.4462,0.4469,0.4461,0.4466,54498,1648514699999,24326.9581,81,11078,4947.9157,0
1648514700000,0.4469,0.4482,0.4467,0.4482,30324,1648514759999,13569.4098,67,18544,8300.1797,0
1648514760000,0.4481,0.4481,0.4471,0.4478,67234,1648514819999,30112.7604,75,9242,4138.0588,0
1648514820000,0.4480,0.4482,0.4469,0.4473,39866,1648514879999,17830.9072,57,3611,1616.6977,0
1648514880000,0.4472,0.4482,0.4472,0.4482,32382,1648514939999,14502.2584,65,31704,14198.9771,0
1648514940000,0.4481,0.4493,0.4481,0.4484,114965,1648514999999,51569.5834,139,91125,40870.7253,0
1648515000000,0.4482,0.4482,0.4470,0.4470,19061,1648515059999,8530.8673,34,1347,602.7851,0
1648515060000,0.4468,0.4478,0.4465,0.4475,19772,1648515119999,8838.4260,59,10107,4519.5969,0
1648515120000,0.4474,0.4476,0.4467,0.4469,60417,1648515179999,27014.7957,122,43238,19335.6184,0
1648515180000,0.4467,0.4469,0.4461,0.4466,40588,1648515239999,18111.2358,66,2429,1085.1476,0
1648515240000,0.4466,0.4467,0.4461,0.4461,6415,1648515299999,2863.3247,36,3345,1493.2409,0
1648515300000,0.4464,0.4467,0.4461,0.4465,17548,1648515359999,7832.8433,32,4758,2124.6527,0
