open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,29.359,29.453,29.298,29.433,21912.54,1648512059999,643392.71915,1015,10389.06,305043.91664,0
1648512060000,29.434,29.500,29.364,29.488,21022.59,1648512119999,618813.92745,1120,12240.52,360466.98800,0
1648512120000,29.487,29.614,29.477,29.595,36045.47,1648512179999,1064944.53377,1489,26810.53,792064.33407,0
1648512180000,29.595,29.650,29.550,29.647,28112.49,1648512239999,831928.85149,1309,19061.35,564101.43475,0
1648512240000,29.647,29.654,29.555,29.591,16500.08,1648512299999,488558.25460,794,10163.95,300957.91294,0
1648512300000,29.590,29.617,29.580,29.611,5284.09,1648512359999,156384.69470,429,3064.49,90689.04703,0
1648512360000,29.612,29.619,29.506,29.519,11682.65,1648512419999,345199.15978,731,3408.35,100714.85329,0
1648512420000,29.512,29.588,29.504,29.533,5890.85,1648512479999,174100.96967,463,3219.70,95167.12042,0
1648512480000,29.534,29.624,29.527,29.616,8840.99,1648512539999,261512.91541,595,4934.25,145947.75055,0
1648512540000,29.617,29.674,29.604,29.660,11079.37,1648512599999,328448.29153,728,5063.28,150100.01579,0
1648512600000,29.666,29.685,29.649,29.681,14448.25,1648512659999,428645.87229,706,9401.64,278939.15439,0
1648512660000,29.681,29.749,29.659,29.746,16646.73,1648512719999,494626.46606,879,6046.61,179687.07469,0
1648512720000,29.747,29.821,29.747,29.794,23570.76,1648512779999,701928.14044,1168,13450.00,400477.48537,0
1648512780000,29.792,29.802,29.720,29.751,9797.55,1648512839999,291528.19249,656,5304.37,157832.36870,0
1648512840000,29.752,29.756,29.687,29.723,5679.92,1648512899999,168791.04171,417,2732.82,81204.09066,0
1648512900000,29.723,29.808,29.691,29.808,9083.40,1648512959999,270399.18061,556,6640.36,197687.02980,0
1648512960000,29.807,29.845,29.789,29.840,14677.01,1648513019999,437592.22084,700,6287.03,187425.53038,0
1648513020000,29.839,29.839,29.723,29.755,9346.87,1648513079999,278347.04957,588,4578.94,136338.98773,0
1648513080000,29.759,29.782,29.729,29.763,7899.56,1648513139999,235077.91367,419,5514.15,164106.66966,0
1648513140000,29.762,29.763,29.741,29.746,6620.07,1648513199999,196989.70331,318,4313.84,128367.84587,0
1648513200000,29.747,29.747,29.716,29.718,2803.16,1648513259999,83348.82323,272,1263.31,37566.12830,0
1648513260000,29.716,29.790,29.715,29.783,8428.09,1648513319999,250701.53858,377,3651.02,108622.12136,0
1648513320000,29.783,29.809,29.777,29.798,5288.20,1648513379999,157556.92813,366,2503.50,74590.18286,0
1648513380000,29.799,29.801,29.770,29.780,7055.14,1648513439999,210130.25988,296,1431.88,42655.05969,0
1648513440000,29.779,29.830,29.760,29.820,7831.98,1648513499999,233340.77869,419,3661.02,109097.45969,0
1648513500000,29.820,29.834,29.808,29.819,4790.95,1648513559999,142867.97027,340,2550.74,76064.56771,0
1648513560000,29.819,29.863,29.802,29.858,12580.23,1648513619999,375310.92473,541,9744.11,290705.52380,0
1648513620000,29.859,29.863,29.796,29.814,12517.81,1648513679999,373310.37567,419,1047.90,31260.49855,0
1648513680000,29.815,29.832,29.792,29.831,6973.05,1648513739999,207859.42361,332,3004.80,89582.39371,0
1648513740000,29.824,29.824,29.794,29.794,4401.89,1648513799999,131226.20063,233,824.57,24583.58138,0
1648513800000,29.793,29.836,29.793,29.821,8914.71,1648513859999,265755.60075,418,5064.19,150967.83196,0
1648513860000,29.821,29.837,29.821,29.837,5637.05,1648513919999,168152.72424,245,3656.03,109053.22248,0
1648513920000,29.834,29.834,29.806,29.811,2386.88,1648513979999,71179.72587,224,870.59,25960.18544,0
1648513980000,29.812,29.841,29.801,29.840,3729.83,1648514039999,111197.13363,183,2080.97,62048.27833,0
1648514040000,29.839,29.843,29.825,29.827,2724.68,1648514099999,81291.46583,208,1131.85,33765.72077,0
1648514100000,29.826,29.841,29.803,29.821,4794.65,1648514159999,142965.05510,223,1824.37,54399.24723,0
1648514160000,29.821,29.865,29.814,29.847,4036.97,1648514219999,120471.76942,278,2296.82,68538.29924,0
1648514220000,29.847,29.875,29.846,29.864,3486.68,1648514279999,104133.48661,293,1160.93,34671.12948,0
1648514280000,29.865,29.870,29.816,29.820,9753.73,1648514339999,291024.33685,466,4253.71,126941.98766,0
1648514340000,29.820,29.837,29.808,29.832,6176.15,1648514399999,184210.96184,322,3268.75,97494.44915,0
1648514400000,29.832,29.899,29.831,29.875,17515.93,1648514459999,523070.37503,664,11913.95,355696.28089,0
1648514460000,29.884,29.903,29.875,29.894,7529.59,1648514519999,225082.18666,332,2257.08,67469.17954,0
1648514520000,29.892,29.892,29.835,29.857,5182.90,1648514579999,154754.22980,318,1986.16,59298.32175,0
1648514580000,29.857,29.881,29.842,29.866,5209.43,1648514639999,155550.06120,289,1389.24,41483.85478,0
1648514640000,29.867,29.920,29.867,29.899,5701.41,1648514699999,170504.67578,420,2913.12,87123.60915,0
1648514700000,29.901,29.930,29.893,29.924,10937.49,1648514759999,327183.33375,536,4759.51,142373.09204,0
1648514760000,29.928,29.930,29.880,29.906,10696.10,1648514819999,319916.19091,552,6945.36,207724.97656,0
1648514820000,29.907,29.911,29.880,29.902,6979.67,1648514879999,208675.37525,304,1522.22,45512.32283,0
1648514880000,29.901,29.929,29.888,29.915,5073.17,1648514939999,151737.17969,269,1610.33,48178.95812,0
1648514940000,29.913,29.930,29.902,29.916,1192.05,1648514999999,35664.00496,131,370.81,11094.77511,0
1648515000000,29.921,29.921,29.895,29.897,3317.73,1648515059999,99223.54121,214,1345.30,40233.87585,0
1648515060000,29.898,29.937,29.897,29.920,2755.12,1648515119999,82443.46911,244,2134.18,63859.71620,0
1648515120000,29.919,29.919,29.886,29.896,1808.30,1648515179999,54065.54674,209,792.43,23688.83385,0
1648515180000,29.896,29.896,29.830,29.875,13606.77,1648515239999,406263.76919,574,8584.01,256317.74660,0
1648515240000,29.876,29.899,29.852,29.863,3500.10,1648515299999,104569.87703,233,1247.45,37259.67271,0
1648515300000,29.862,29.862,29.816,29.833,3697.13,1648515359999,110302.80913,259,625.00,18646.01153,0
1648515360000,29.833,29.859,29.833,29.855,1569.15,1648515419999,46824.17180,183,1095.60,32692.28353,0
1648515420000,29.855,29.855,29.826,29.826,1865.53,1648515479999,55669.01625,217,737.01,21993.77623,0
1648515480000,29.822,29.850,29.820,29.832,12694.74,1648515539999,378810.75639,338,9909.88,295713.53582,0
1648515540000,29.833,29.844,29.815,29.835,2451.07,1648515599999,73112.55708,196,768.33,22915.64237,0
1648515600000,29.821,29.858,29.814,29.858,3506.40,1648515659999,104587.74066,254,2006.06,59836.95315,0
1648515660000,29.859,29.892,29.852,29.852,4381.97,1648515719999,130930.75425,407,1895.99,56656.21730,0
1648515720000,29.853,29.860,29.838,29.845,1356.49,1648515779999,40490.93768,204,591.26,17648.97412,0
1648515780000,29.845,29.845,29.803,29.810,3155.89,1648515839999,94106.21131,302,854.65,25485.64295,0
1648515840000,29.811,29.811,29.752,29.763,9233.81,1648515899999,274928.50657,536,937.12,27905.53817,0
1648515900000,29.765,29.812,29.758,29.809,3374.80,1648515959999,100487.21172,284,1802.93,53688.49898,0
1648515960000,29.810,29.819,29.788,29.811,3353.56,1648516019999,99949.84473,268,1399.54,41707.13357,0
1648516020000,29.814,29.848,29.814,29.846,2929.74,1648516079999,87415.40056,249,1470.02,43861.28275,0
1648516080000,29.847,29.866,29.835,29.864,2178.66,1648516139999,65026.16036,220,885.66,26431.79863,0
