open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,1.2057,1.2058,1.1984,1.1989,123062,1648684859999,147792.3826,390,37009,44453.3489,0
1648684860000,1.1987,1.1992,1.1961,1.1965,13895,1648684919999,16635.9817,90,4766,5702.6651,0
1648684920000,1.1973,1.1985,1.1928,1.1937,66649,1648684979999,79713.4067,325,25586,30617.7973,0
1648684980000,1.1936,1.1962,1.1915,1.1953,47351,1648685039999,56502.5006,220,20459,24431.8028,0
1648685040000,1.1950,1.1955,1.1906,1.1923,45669,1648685099999,54435.8954,251,10923,13023.5640,0
1648685100000,1.1925,1.1925,1.1871,1.1911,114508,1648685159999,136204.3885,530,43710,52015.4798,0
1648685160000,1.1911,1.1919,1.1892,1.1913,26239,1648685219999,31244.1068,126,15270,18185.2803,0
1648685220000,1.1916,1.1919,1.1891,1.1914,39281,1648685279999,46757.6200,148,18396,21908.1901,0
1648685280000,1.1914,1.1939,1.1911,1.1937,11239,1648685339999,13405.1516,62,6480,7727.1990,0
1648685340000,1.1927,1.1944,1.1926,1.1944,11372,1648685399999,13569.9236,102,5780,6898.3667,0
1648685400000,1.1943,1.1980,1.1943,1.1980,40920,1648685459999,48952.6739,201,18851,22554.2212,0
1648685460000,1.1975,1.2005,1.1974,1.2004,32425,1648685519999,38873.0364,161,24715,29633.0302,0
1648685520000,1.2005,1.2020,1.1956,1.2017,96145,1648685579999,115297.3702,378,37597,45102.2860,0
1648685580000,1.2017,1.2053,1.2003,1.2053,70007,1648685639999,84232.4817,391,36619,44073.4445,0
1648685640000,1.2048,1.2076,1.2037,1.2060,42125,1648685699999,50806.5943,337,26661,32153.1503,0
1648685700000,1.2066,1.2114,1.2050,1.2104,113544,1648685759999,137268.3428,356,52523,63475.4962,0
1648685760000,1.2110,1.2182,1.2100,1.2170,141094,1648685819999,171385.7973,622,87961,106853.1101,0
1648685820000,1.2169,1.2169,1.2115,1.2118,39580,1648685879999,48027.1133,210,8798,10669.0826,0
1648685880000,1.2116,1.2125,1.2077,1.2118,72510,1648685939999,87712.8833,280,23705,28686.0228,0
1648685940000,1.2115,1.2160,1.2110,1.2148,52847,1648685999999,64126.5189,258,34381,41730.7616,0
1648686000000,1.2156,1.2157,1.2106,1.2130,22913,1648686059999,27785.2684,140,6345,7694.5942,0
1648686060000,1.2129,1.2153,1.2116,1.2150,60919,1648686119999,73920.0491,235,39718,48203.6903,0
1648686120000,1.2150,1.2152,1.2083,1.2117,108711,1648686179999,131668.5787,372,21133,25607.0552,0
1648686180000,1.2116,1.2123,1.2084,1.2106,34176,1648686239999,41349.4506,143,4000,4841.4116,0
