open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,68.22000,68.26000,68.14000,68.16000,7689,1648425659999,524365.25000,568,3213,219182.92000,0
1648425660000,68.15000,68.21000,68.06000,68.08000,7249,1648425719999,493802.23000,570,2108,143626.57000,0
1648425720000,68.08000,68.09000,67.65000,67.68000,25484,1648425779999,1730421.84000,1544,3326,225970.58000,0
1648425780000,67.69000,67.91000,67.65000,67.79000,12827,1648425839999,869675.96000,756,7993,541949.11000,0
1648425840000,67.79000,67.82000,67.73000,67.78000,11837,1648425899999,802237.81000,686,5332,361408.62000,0
1648425900000,67.76000,67.87000,67.51000,67.57000,12848,1648425959999,869715.24000,843,4453,301720.78000,0
1648425960000,67.56000,67.59000,67.32000,67.38000,15598,1648426019999,1051711.41000,1074,5127,345680.36000,0
1648426020000,67.39000,67.51000,67.33000,67.50000,6927,1648426079999,467004.95000,534,4214,284187.81000,0
1648426080000,67.51000,67.66000,67.45000,67.56000,7999,1648426139999,540367.01000,588,4267,288355.97000,0
1648426140000,67.55000,67.72000,67.50000,67.52000,6067,1648426199999,410243.33000,472,2566,173531.85000,0
1648426200000,67.52000,67.70000,67.43000,67.70000,6712,1648426259999,453308.96000,431,3534,238817.79000,0
1648426260000,67.70000,67.73000,67.57000,67.62000,8363,1648426319999,565760.85000,518,2364,159993.15000,0
1648426320000,67.62000,67.64000,67.39000,67.39000,6902,1648426379999,466102.87000,573,2440,164911.80000,0
1648426380000,67.39000,67.54000,67.36000,67.43000,8302,1648426439999,559617.42000,532,3010,202955.44000,0
1648426440000,67.43000,67.56000,67.42000,67.45000,4513,1648426499999,304521.67000,386,1929,130149.53000,0
1648426500000,67.45000,67.59000,67.41000,67.48000,5910,1648426559999,398900.53000,471,2215,149501.46000,0
1648426560000,67.47000,67.60000,67.43000,67.47000,5001,1648426619999,337548.94000,465,2516,169809.92000,0
1648426620000,67.47000,67.51000,67.44000,67.50000,2164,1648426679999,146018.20000,235,697,47035.75000,0
1648426680000,67.49000,67.54000,67.46000,67.51000,3237,1648426739999,218531.92000,283,2715,183298.26000,0
1648426740000,67.50000,67.61000,67.50000,67.56000,3302,1648426799999,223078.61000,262,2297,155191.38000,0
1648426800000,67.54000,67.60000,67.51000,67.55000,2054,1648426859999,138753.95000,198,1125,76001.52000,0
1648426860000,67.55000,67.66000,67.52000,67.62000,3116,1648426919999,210664.61000,269,1552,104945.06000,0
1648426920000,67.61000,67.67000,67.57000,67.64000,1457,1648426979999,98541.87000,188,861,58239.04000,0
1648426980000,67.65000,67.70000,67.65000,67.66000,1410,1648427039999,95412.97000,162,715,48384.64000,0
1648427040000,67.66000,67.66000,67.50000,67.52000,2386,1648427099999,161217.91000,274,726,49044.69000,0
1648427100000,67.52000,67.57000,67.50000,67.52000,1548,1648427159999,104541.72000,187,611,41267.56000,0
1648427160000,67.52000,67.58000,67.47000,67.56000,3299,1648427219999,222730.52000,299,1746,117896.24000,0
1648427220000,67.58000,67.58000,67.37000,67.50000,7685,1648427279999,518551.76000,533,1962,132376.13000,0
1648427280000,67.48000,67.56000,67.48000,67.56000,2757,1648427339999,186171.95000,222,833,56256.74000,0
1648427340000,67.57000,67.57000,67.44000,67.44000,3518,1648427399999,237481.26000,317,878,59265.90000,0
1648427400000,67.44000,67.50000,67.32000,67.49000,5128,1648427459999,345548.40000,420,1811,122070.11000,0
