open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,0.7470,0.7471,0.7431,0.7461,81092,1648598459999,60384.0062,207,13273,9894.8487,0
1648598460000,0.7461,0.7461,0.7429,0.7448,60930,1648598519999,45362.6463,140,22683,16886.3965,0
1648598520000,0.7447,0.7450,0.7434,0.7434,61447,1648598579999,45746.9069,163,31026,23106.0991,0
1648598580000,0.7434,0.7449,0.7432,0.7443,46296,1648598639999,34446.4221,122,28310,21061.1443,0
1648598640000,0.7442,0.7455,0.7439,0.7443,37862,1648598699999,28191.3611,107,21583,16073.2588,0
1648598700000,0.7443,0.7443,0.7427,0.7429,11858,1648598759999,8810.2396,64,9001,6686.9284,0
1648598760000,0.7429,0.7441,0.7426,0.7427,44486,1648598819999,33070.7990,132,23756,17662.9728,0
1648598820000,0.7427,0.7441,0.7420,0.7438,42450,1648598879999,31539.5777,109,27833,20687.5990,0
1648598880000,0.7437,0.7490,0.7437,0.7465,182048,1648598939999,135891.6083,314,128381,95813.0121,0
1648598940000,0.7466,0.7514,0.7458,0.7493,144776,1648598999999,108385.6628,276,96158,72006.2134,0
1648599000000,0.7495,0.7519,0.7493,0.7508,87375,1648599059999,65583.8700,208,62280,46758.6204,0
1648599060000,0.7508,0.7517,0.7506,0.7510,31812,1648599119999,23898.8579,93,7215,5419.9167,0
1648599120000,0.7510,0.7521,0.7488,0.7489,71756,1648599179999,53837.1781,147,15223,11438.4542,0
1648599180000,0.7489,0.7490,0.7467,0.7472,71786,1648599239999,53671.3219,172,15851,11845.5098,0
1648599240000,0.7472,0.7512,0.7472,0.7512,47002,1648599299999,35199.5644,138,37123,27796.8788,0
1648599300000,0.7511,0.7522,0.7498,0.7500,58782,1648599359999,44153.6399,136,25782,19368.7747,0
1648599360000,0.7497,0.7497,0.7480,0.7482,60150,1648599419999,45034.9261,141,16544,12391.2905,0
1648599420000,0.7481,0.7502,0.7469,0.7490,87737,1648599479999,65653.2125,206,48758,36497.4346,0
1648599480000,0.7488,0.7497,0.7476,0.7494,33110,1648599539999,24788.4301,114,12788,9576.0984,0
1648599540000,0.7487,0.7496,0.7481,0.7483,58434,1648599599999,43746.9669,146,22853,17113.4898,0
1648599600000,0.7484,0.7487,0.7466,0.7467,18413,1648599659999,13761.9446,76,2302,1721.7683,0
1648599660000,0.7466,0.7471,0.7457,0.7463,19162,1648599719999,14300.6358,85,9424,7033.3657,0
1648599720000,0.7463,0.7463,0.7454,0.7456,3993,1648599779999,2977.9717,44,1060,790.7589,0
1648599780000,0.7456,0.7461,0.7445,0.7446,19589,1648599839999,14598.0511,91,3695,2755.6411,0
1648599840000,0.7446,0.7451,0.7445,0.7448,11203,1648599899999,8343.9137,55,5961,4439.8882,0
1648599900000,0.7450,0.7452,0.7438,0.7439,8790,1648599959999,6543.4600,53,2864,2132.4167,0
1648599960000,0.7439,0.7445,0.7436,0.7443,29293,1648600019999,21802.7384,86,6168,4590.7592,0
1648600020000,0.7445,0.7466,0.7445,0.7465,54093,1648600079999,40342.0375,99,46368,34578.4957,0
1648600080000,0.7466,0.7466,0.7446,0.7460,47911,1648600139999,35726.6647,135,16172,12054.2857,0
1648600140000,0.7457,0.7464,0.7450,0.7450,44434,1648600199999,33131.0052,85,2474,1845.5339,0
1648600200000,0.7450,0.7456,0.7432,0.7436,42588,1648600259999,31684.0355,70,13123,9772.2236,0
1648600260000,0.7434,0.7439,0.7408,0.7412,135483,1648600319999,100581.0056,240,31104,23092.4634,0
1648600320000,0.7410,0.7416,0.7382,0.7391,91907,1648600379999,67961.7787,240,30799,22786.1073,0
1648600380000,0.7392,0.7396,0.7366,0.7366,101660,1648600439999,75065.3896,235,52159,38534.9701,0
1648600440000,0.7365,0.7388,0.7362,0.7372,47061,1648600499999,34722.8961,129,30461,22484.4777,0
1648600500000,0.7370,0.7387,0.7363,0.7368,74462,1648600559999,54939.9275,197,52411,38673.3791,0
1648600560000,0.7372,0.7387,0.7364,0.7383,26842,1648600619999,19805.8988,104,15947,11769.9814,0
1648600620000,0.7384,0.7386,0.7364,0.7364,30672,1648600679999,22622.6988,105,8387,6191.3836,0
1648600680000,0.7362,0.7410,0.7360,0.7410,63945,1648600739999,47241.8355,137,57670,42611.0306,0
1648600740000,0.7411,0.7418,0.7398,0.7401,36119,1648600799999,26754.2320,104,13428,9949.6705,0
1648600800000,0.7399,0.7409,0.7398,0.7401,20901,1648600859999,15472.8694,64,10573,7825.2140,0
1648600860000,0.7398,0.7407,0.7398,0.7405,7806,1648600919999,5779.1892,42,2872,2126.6026,0
1648600920000,0.7405,0.7411,0.7400,0.7403,23573,1648600979999,17461.0290,54,15852,11743.5474,0
1648600980000,0.7403,0.7408,0.7399,0.7408,17432,1648601039999,12907.6930,42,1972,1459.8460,0
1648601040000,0.7405,0.7431,0.7400,0.7427,29770,1648601099999,22086.5658,91,25294,18764.7995,0
1648601100000,0.7424,0.7428,0.7405,0.7409,64759,1648601159999,48038.7940,146,21958,16296.0589,0
1648601160000,0.7408,0.7410,0.7380,0.7398,104293,1648601219999,77124.5084,202,35011,25900.7546,0
1648601220000,0.7398,0.7403,0.7385,0.7392,41052,1648601279999,30362.1300,90,17164,12697.2433,0
1648601280000,0.7393,0.7406,0.7393,0.7406,11630,1648601339999,8602.8331,58,7484,5537.0596,0
1648601340000,0.7411,0.7414,0.7388,0.7400,33126,1648601399999,24533.4414,95,19843,14697.5085,0
1648601400000,0.7403,0.7409,0.7379,0.7409,35664,1648601459999,26378.5921,111,20891,15454.2202,0
1648601460000,0.7411,0.7433,0.7409,0.7430,50032,1648601519999,37127.3970,110,39530,29335.7472,0
1648601520000,0.7433,0.7463,0.7432,0.7463,56319,1648601579999,41940.8689,150,31828,23703.1956,0
1648601580000,0.7462,0.7475,0.7458,0.7459,29017,1648601639999,21660.0327,111,9135,6821.2570,0
1648601640000,0.7460,0.7473,0.7443,0.7446,41308,1648601699999,30805.4282,113,15206,11352.0182,0
1648601700000,0.7446,0.7473,0.7443,0.7470,52109,1648601759999,38879.1229,137,40464,30185.3861,0
1648601760000,0.7460,0.7460,0.7439,0.7441,51717,1648601819999,38536.7317,100,9155,6817.7446,0
1648601820000,0.7440,0.7440,0.7415,0.7415,19780,1648601879999,14700.0233,87,2964,2203.6613,0
