open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,14.611,14.628,14.571,14.596,13192.5,1648598459999,192702.6500,378,5227.0,76410.3171,0
1648598460000,14.598,14.600,14.550,14.569,3069.4,1648598519999,44720.3536,261,922.0,13433.1262,0
1648598520000,14.564,14.567,14.513,14.515,3210.2,1648598579999,46706.3906,159,1964.0,28579.2325,0
1648598580000,14.515,14.536,14.507,14.524,3618.9,1648598639999,52565.7527,135,2382.3,34603.4789,0
1648598640000,14.529,14.593,14.529,14.566,5415.7,1648598699999,78852.7609,194,4570.8,66542.0400,0
1648598700000,14.567,14.573,14.523,14.531,1017.0,1648598759999,14785.4619,68,310.0,4506.8131,0
1648598760000,14.529,14.552,14.510,14.511,1674.9,1648598819999,24330.7419,101,403.3,5863.9385,0
1648598820000,14.512,14.513,14.484,14.509,1160.6,1648598879999,16824.3086,58,235.4,3413.9107,0
1648598880000,14.510,14.563,14.510,14.562,1507.7,1648598939999,21926.5789,86,832.4,12109.7460,0
1648598940000,14.562,14.589,14.561,14.585,796.3,1648598999999,11607.5006,82,579.4,8445.7344,0
1648599000000,14.584,14.593,14.577,14.591,464.8,1648599059999,6779.1959,49,285.3,4161.1838,0
1648599060000,14.595,14.630,14.595,14.613,2235.8,1648599119999,32668.9842,102,1225.7,17911.8933,0
1648599120000,14.609,14.611,14.573,14.580,1776.7,1648599179999,25929.0833,102,132.8,1936.1219,0
1648599180000,14.583,14.583,14.552,14.566,3205.4,1648599239999,46689.3217,174,2054.7,29928.2357,0
1648599240000,14.565,14.617,14.565,14.613,2972.1,1648599299999,43357.7008,173,1747.4,25491.2051,0
1648599300000,14.618,14.634,14.608,14.608,2115.5,1648599359999,30926.7264,93,340.0,4973.0818,0
1648599360000,14.602,14.602,14.566,14.579,1335.1,1648599419999,19469.1411,127,510.7,7444.5202,0
1648599420000,14.577,14.626,14.571,14.592,2699.5,1648599479999,39426.1260,158,1642.4,23981.9629,0
1648599480000,14.599,14.616,14.589,14.608,1699.7,1648599539999,24819.7577,78,1107.6,16179.3864,0
1648599540000,14.604,14.616,14.601,14.604,123.8,1648599599999,1808.7239,25,39.9,582.9602,0
1648599600000,14.607,14.607,14.568,14.568,1612.2,1648599659999,23528.5372,80,349.5,5099.5828,0
1648599660000,14.567,14.583,14.564,14.570,1118.3,1648599719999,16298.8593,81,797.9,11630.5591,0
1648599720000,14.572,14.586,14.570,14.570,941.7,1648599779999,13729.9401,84,858.5,12517.2172,0
1648599780000,14.574,14.574,14.540,14.541,777.0,1648599839999,11312.0280,64,200.0,2912.2813,0
1648599840000,14.544,14.544,14.525,14.525,918.7,1648599899999,13349.8231,58,26.8,389.4724,0
1648599900000,14.524,14.535,14.511,14.517,432.8,1648599959999,6283.2028,55,104.1,1512.1906,0
1648599960000,14.517,14.530,14.517,14.525,131.4,1648600019999,1907.8363,22,128.5,1865.7058,0
1648600020000,14.525,14.545,14.525,14.545,289.2,1648600079999,4203.5194,63,253.9,3690.4675,0
1648600080000,14.543,14.545,14.507,14.507,470.1,1648600139999,6833.0180,37,76.5,1112.0398,0
1648600140000,14.506,14.518,14.501,14.501,932.8,1648600199999,13534.7854,31,911.0,13218.5433,0
1648600200000,14.501,14.520,14.468,14.481,2749.1,1648600259999,39851.0675,140,494.1,7165.0882,0
1648600260000,14.484,14.490,14.450,14.450,1442.6,1648600319999,20872.9757,102,587.7,8505.3064,0
1648600320000,14.454,14.454,14.420,14.421,1772.6,1648600379999,25583.8252,105,932.4,13453.0855,0
1648600380000,14.417,14.425,14.341,14.345,3384.8,1648600439999,48616.6469,152,265.6,3821.2013,0
1648600440000,14.343,14.404,14.342,14.378,3060.2,1648600499999,43984.5149,161,2290.5,32923.9923,0
1648600500000,14.377,14.424,14.372,14.390,1866.7,1648600559999,26886.7066,104,1237.4,17820.5053,0
1648600560000,14.393,14.409,14.376,14.403,481.8,1648600619999,6936.4168,46,267.4,3849.9017,0
1648600620000,14.400,14.400,14.374,14.376,1030.2,1648600679999,14823.4855,65,260.8,3753.0593,0
1648600680000,14.373,14.450,14.373,14.450,775.5,1648600739999,11175.0265,60,647.1,9326.1653,0
1648600740000,14.451,14.467,14.433,14.433,1785.8,1648600799999,25800.5719,81,736.3,10637.2017,0
1648600800000,14.438,14.458,14.438,14.443,486.2,1648600859999,7025.9721,40,274.0,3960.8621,0
1648600860000,14.432,14.442,14.427,14.438,393.9,1648600919999,5685.4272,40,118.7,1713.9021,0
1648600920000,14.450,14.455,14.431,14.448,260.6,1648600979999,3764.6294,35,225.0,3250.4156,0
1648600980000,14.445,14.460,14.434,14.454,370.3,1648601039999,5347.5997,38,136.7,1973.8566,0
1648601040000,14.452,14.492,14.452,14.480,812.3,1648601099999,11761.3372,50,443.9,6425.3479,0
1648601100000,14.485,14.501,14.461,14.472,4004.3,1648601159999,58022.4931,135,2254.4,32671.4255,0
1648601160000,14.474,14.474,14.430,14.436,855.6,1648601219999,12361.3161,76,410.9,5938.1349,0
1648601220000,14.428,14.442,14.416,14.440,851.6,1648601279999,12288.7053,57,628.9,9075.8040,0
1648601280000,14.439,14.457,14.439,14.457,216.2,1648601339999,3123.3457,45,170.7,2466.0638,0
1648601340000,14.458,14.463,14.418,14.432,617.5,1648601399999,8914.6476,61,372.4,5376.1757,0
1648601400000,14.434,14.467,14.395,14.460,1835.0,1648601459999,26461.4145,108,1063.4,15341.8570,0
1648601460000,14.460,14.524,14.460,14.501,2336.3,1648601519999,33856.5261,153,1100.1,15940.7724,0
1648601520000,14.504,14.556,14.504,14.552,5322.5,1648601579999,77368.9218,212,3628.8,52748.2868,0
1648601580000,14.555,14.578,14.553,14.564,594.1,1648601639999,8652.7338,74,396.0,5767.6803,0
1648601640000,14.564,14.569,14.539,14.539,868.1,1648601699999,12635.5890,54,225.4,3282.2757,0
1648601700000,14.534,14.570,14.534,14.566,884.9,1648601759999,12873.9909,46,619.6,9012.7528,0
1648601760000,14.563,14.563,14.521,14.521,542.8,1648601819999,7889.4642,45,117.9,1713.0004,0
1648601820000,14.519,14.524,14.436,14.443,9154.3,1648601879999,132609.8904,281,943.9,13665.1071,0
1648601880000,14.443,14.534,14.443,14.525,2809.2,1648601939999,40739.0178,118,2580.5,37429.4144,0
1648601940000,14.519,14.519,14.457,14.479,4388.2,1648601999999,63550.3993,145,640.0,9272.9059,0
1648602000000,14.478,14.478,14.458,14.473,896.7,1648602059999,12973.4219,60,410.2,5934.1488,0
1648602060000,14.474,14.484,14.449,14.471,2419.5,1648602119999,34990.6147,95,826.9,11970.8273,0
1648602120000,14.473,14.480,14.417,14.417,1473.5,1648602179999,21296.7953,104,977.1,14125.4750,0
1648602180000,14.416,14.419,14.376,14.401,1880.8,1648602239999,27080.0664,129,885.9,12757.7237,0
1648602240000,14.401,14.417,14.387,14.408,452.8,1648602299999,6522.0859,42,286.0,4119.7065,0
1648602300000,14.421,14.445,14.420,14.443,261.7,1648602359999,3778.6558,31,117.5,1695.9926,0
1648602360000,14.444,14.467,14.437,14.462,476.1,1648602419999,6880.7818,41,387.8,5604.4278,0
1648602420000,14.462,14.471,14.448,14.457,1416.7,1648602479999,20479.9858,48,1158.7,16749.7443,0
1648602480000,14.450,14.450,14.410,14.426,486.3,1648602539999,7015.6987,44,152.8,2204.5426,0
