open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,4.8898,4.9058,4.8872,4.8879,7753.0,1648771259999,37962.34547,182,2457.3,12040.69189,0
1648771260000,4.8868,4.8880,4.8633,4.8655,6221.6,1648771319999,30360.02556,168,3627.2,17704.56564,0
1648771320000,4.8638,4.9026,4.8634,4.9026,10370.3,1648771379999,50582.03803,201,7924.2,38652.92502,0
1648771380000,4.9029,4.9077,4.8872,4.8922,7015.4,1648771439999,34362.02068,214,2146.8,10514.83968,0
1648771440000,4.8922,4.9051,4.8922,4.9033,3220.3,1648771499999,15779.31413,122,2639.3,12933.50214,0
1648771500000,4.9045,4.9083,4.9000,4.9051,3256.1,1648771559999,15973.04933,144,1484.2,7283.20871,0
1648771560000,4.9053,4.9079,4.9002,4.9019,6606.8,1648771619999,32401.33335,163,4713.1,23114.11883,0
1648771620000,4.9015,4.9074,4.8984,4.9052,3977.9,1648771679999,19507.07661,106,1921.7,9426.22310,0
1648771680000,4.9046,4.9072,4.8910,4.9072,4642.1,1648771739999,22749.42604,150,2407.2,11796.68264,0
1648771740000,4.9029,4.9190,4.8969,4.9165,8369.5,1648771799999,41088.76184,232,6166.5,30277.39070,0
1648771800000,4.9165,4.9165,4.8936,4.9022,8301.6,1648771859999,40693.52563,176,1935.3,9482.35397,0
1648771860000,4.9009,4.9093,4.8965,4.9068,5238.5,1648771919999,25683.75331,76,1451.4,7120.13243,0
1648771920000,4.9050,4.9172,4.9044,4.9172,1640.5,1648771979999,8056.22266,77,417.4,2050.30028,0
1648771980000,4.9151,4.9197,4.9120,4.9135,4257.5,1648772039999,20931.17867,99,1427.0,7015.92227,0
1648772040000,4.9116,4.9191,4.9116,4.9162,1107.6,1648772099999,5445.41586,53,475.8,2338.72124,0
1648772100000,4.9147,4.9177,4.9043,4.9078,3650.4,1648772159999,17922.29319,95,1172.5,5756.74247,0
1648772160000,4.9055,4.9121,4.8989,4.9097,5112.1,1648772219999,25069.76460,134,3463.7,16988.98494,0
1648772220000,4.9113,4.9215,4.9046,4.9206,6071.6,1648772279999,29860.00205,138,4704.0,23137.79016,0
1648772280000,4.9206,4.9236,4.9024,4.9031,2252.1,1648772339999,11069.49936,89,1444.4,7101.75529,0
1648772340000,4.9021,4.9021,4.8934,4.8954,3875.5,1648772399999,18979.23092,82,1651.1,8084.38925,0
1648772400000,4.8959,4.9017,4.8955,4.8999,836.3,1648772459999,4096.60660,54,361.7,1771.78562,0
1648772460000,4.8994,4.9016,4.8928,4.9005,1159.1,1648772519999,5675.53087,64,475.0,2326.16666,0
1648772520000,4.9000,4.9056,4.9000,4.9036,1907.9,1648772579999,9354.09061,75,1136.5,5572.87545,0
1648772580000,4.9052,4.9166,4.9024,4.9146,3593.8,1648772639999,17654.28373,112,2177.2,10695.65168,0
1648772640000,4.9161,4.9300,4.9145,4.9177,9012.1,1648772699999,44340.90196,193,6148.7,30248.77932,0
1648772700000,4.9184,4.9260,4.9164,4.9196,1313.9,1648772759999,6467.34000,67,555.6,2735.12392,0
1648772760000,4.9183,4.9327,4.9180,4.9312,7939.3,1648772819999,39124.54212,134,4967.5,24478.33210,0
1648772820000,4.9326,4.9326,4.9267,4.9311,863.2,1648772879999,4254.92137,55,575.4,2836.41498,0
1648772880000,4.9311,4.9374,4.9274,4.9334,8813.2,1648772939999,43481.71814,160,2341.7,11551.98906,0
1648772940000,4.9333,4.9393,4.9302,4.9326,4322.7,1648772999999,21329.23841,131,1912.3,9440.97177,0
1648773000000,4.9325,4.9410,4.9102,4.9128,5426.1,1648773059999,26732.54784,167,1800.1,8868.74378,0
1648773060000,4.9136,4.9275,4.9122,4.9124,7514.3,1648773119999,36968.68916,151,4101.0,20180.22355,0
1648773120000,4.9140,4.9140,4.8828,4.8840,6044.8,1648773179999,29598.77812,169,708.7,3465.19093,0
1648773180000,4.8845,4.9006,4.8826,4.8957,4919.5,1648773239999,24074.64991,120,3881.7,18997.40298,0
1648773240000,4.8945,4.8993,4.8925,4.8993,1640.1,1648773299999,8029.87282,59,1573.9,7705.88628,0
1648773300000,4.8971,4.9211,4.8931,4.9012,3131.7,1648773359999,15379.51211,117,1894.2,9300.54756,0
1648773360000,4.9003,4.9362,4.9003,4.9346,6380.3,1648773419999,31412.00774,127,5868.1,28891.52341,0
1648773420000,4.9351,4.9411,4.9308,4.9352,4374.4,1648773479999,21590.79284,141,1743.9,8610.06894,0
1648773480000,4.9354,4.9389,4.9339,4.9366,3941.4,1648773539999,19454.24046,97,1164.5,5749.48383,0
1648773540000,4.9344,4.9417,4.9339,4.9394,1596.2,1648773599999,7883.12107,80,1105.0,5457.21529,0
1648773600000,4.9406,4.9429,4.9371,4.9407,4693.4,1648773659999,23186.85217,114,3431.2,16951.41459,0
1648773660000,4.9402,4.9428,4.9358,4.9424,3991.8,1648773719999,19712.40601,79,770.6,3806.45618,0
1648773720000,4.9428,4.9476,4.9379,4.9455,1606.9,1648773779999,7945.08635,93,1345.0,6649.92466,0
1648773780000,4.9450,4.9480,4.9417,4.9480,3272.7,1648773839999,16184.69412,91,2750.3,13602.05334,0
1648773840000,4.9477,4.9498,4.9436,4.9436,777.4,1648773899999,3846.04621,76,179.7,889.18159,0
1648773900000,4.9446,4.9525,4.9426,4.9490,3089.1,1648773959999,15285.05393,105,1647.3,8151.87903,0
1648773960000,4.9497,4.9517,4.9455,4.9482,1820.8,1648774019999,9010.65383,84,913.3,4520.62617,0
1648774020000,4.9473,4.9521,4.9362,4.9429,6697.4,1648774079999,33099.33696,93,895.5,4423.73021,0
1648774080000,4.9428,4.9466,4.9384,4.9388,2543.1,1648774139999,12568.77321,64,1797.3,8883.68937,0
1648774140000,4.9381,4.9514,4.9370,4.9450,1909.2,1648774199999,9443.86168,83,1242.2,6143.59872,0
1648774200000,4.9476,4.9552,4.9451,4.9527,3855.5,1648774259999,19092.35680,91,2508.1,12420.05011,0
1648774260000,4.9504,4.9563,4.9496,4.9510,2392.8,1648774319999,11851.66679,72,1596.9,7909.28235,0
1648774320000,4.9551,4.9567,4.9501,4.9536,1874.0,1648774379999,9282.80677,58,414.0,2050.78554,0
1648774380000,4.9539,4.9579,4.9472,4.9475,3200.9,1648774439999,15853.10189,99,1437.5,7120.45929,0
1648774440000,4.9488,4.9556,4.9467,4.9490,1147.1,1648774499999,5680.08298,78,661.4,3274.64529,0
1648774500000,4.9490,4.9609,4.9420,4.9609,33572.5,1648774559999,166028.53986,451,6640.1,32878.92092,0
1648774560000,4.9608,4.9630,4.9549,4.9601,3735.9,1648774619999,18530.14592,126,1355.6,6724.33779,0
1648774620000,4.9601,4.9601,4.9520,4.9523,6806.4,1648774679999,33746.46966,111,2026.4,10044.68752,0
1648774680000,4.9532,4.9599,4.9467,4.9582,3456.6,1648774739999,17117.81808,93,1390.9,6890.29947,0
1648774740000,4.9581,4.9728,4.9579,4.9629,38766.9,1648774799999,192488.91826,549,29892.3,148456.79633,0
1648774800000,4.9642,4.9662,4.9556,4.9572,4602.4,1648774859999,22840.54446,99,1315.8,6529.20172,0
1648774860000,4.9575,4.9653,4.9527,4.9653,7390.6,1648774919999,36645.81346,151,3639.6,18053.00206,0
1648774920000,4.9676,4.9676,4.9532,4.9532,2601.2,1648774979999,12904.02111,82,633.2,3141.94320,0
1648774980000,4.9531,4.9554,4.9404,4.9460,5860.5,1648775039999,28980.38085,179,1123.4,5556.23389,0
1648775040000,4.9477,4.9477,4.9421,4.9440,1580.4,1648775099999,7813.03128,66,219.3,1084.43644,0
1648775100000,4.9462,4.9462,4.9319,4.9355,4009.0,1648775159999,19792.49962,113,853.9,4215.20119,0
1648775160000,4.9348,4.9428,4.9241,4.9262,6142.1,1648775219999,30293.09934,125,2441.4,12047.53883,0
1648775220000,4.9273,4.9293,4.9196,4.9212,5234.8,1648775279999,25770.45385,131,1753.6,8634.40818,0
1648775280000,4.9243,4.9243,4.9164,4.9230,4342.5,1648775339999,21364.92406,177,2467.3,12140.25785,0
1648775340000,4.9191,4.9239,4.9166,4.9198,4903.0,1648775399999,24124.79621,178,3518.9,17316.29925,0
1648775400000,4.9175,4.9189,4.8979,4.9064,7799.3,1648775459999,38266.27610,206,2395.5,11750.14817,0
1648775460000,4.9053,4.9121,4.9036,4.9097,2230.9,1648775519999,10951.90092,102,1062.1,5214.91775,0
1648775520000,4.9096,4.9174,4.9060,4.9108,2646.2,1648775579999,12998.34253,83,1487.2,7305.13764,0
1648775580000,4.9109,4.9156,4.9076,4.9138,3293.7,1648775639999,16178.61178,75,1554.5,7636.26398,0
1648775640000,4.9137,4.9264,4.9135,4.9258,3026.2,1648775699999,14886.34954,83,1301.3,6400.52481,0
1648775700000,4.9247,4.9400,4.9171,4.9373,5928.6,1648775759999,29226.42114,138,4289.5,21149.71301,0
1648775760000,4.9373,4.9421,4.9328,4.9372,4178.0,1648775819999,20629.87463,104,1803.7,8907.51369,0
1648775820000,4.9377,4.9436,4.9350,4.9403,878.6,1648775879999,4340.95647,68,393.5,1944.41538,0
1648775880000,4.9414,4.9436,4.9335,4.9342,1936.1,1648775939999,9559.72585,86,1019.0,5033.38368,0
1648775940000,4.9334,4.9416,4.9290,4.9358,5260.0,1648775999999,25957.92142,137,3761.0,18558.32838,0
1648776000000,4.9345,4.9438,4.9314,4.9406,5997.6,1648776059999,29616.94529,174,2972.2,14677.04285,0
1648776060000,4.9419,4.9419,4.9336,4.9376,1995.6,1648776119999,9853.39060,86,873.6,4314.51254,0
1648776120000,4.9397,4.9397,4.9314,4.9387,3099.8,1648776179999,15295.75455,113,1587.3,7834.20093,0
1648776180000,4.9393,4.9410,4.9349,4.9382,2412.5,1648776239999,11913.91800,65,949.4,4689.77576,0
1648776240000,4.9364,4.9386,4.9324,4.9372,1735.5,1648776299999,8565.02524,88,359.2,1772.76592,0
1648776300000,4.9357,4.9388,4.9187,4.9187,7753.0,1648776359999,38245.28172,98,781.5,3854.26188,0
1648776360000,4.9202,4.9215,4.9025,4.9043,5641.5,1648776419999,27705.12561,190,928.2,4555.42655,0
1648776420000,4.9038,4.9038,4.8877,4.8877,2381.7,1648776479999,11662.95757,119,860.3,4215.10755,0
1648776480000,4.8876,4.8955,4.8805,4.8810,6309.3,1648776539999,30833.45073,160,3299.9,16132.67220,0
1648776540000,4.8826,4.8897,4.8804,4.8835,3028.4,1648776599999,14791.41525,95,2001.6,9774.45005,0
1648776600000,4.8828,4.8992,4.8828,4.8948,4570.3,1648776659999,22350.07157,104,3077.6,15050.46625,0
1648776660000,4.8948,4.9047,4.8903,4.8995,3743.7,1648776719999,18347.88414,110,1873.8,9184.57665,0
1648776720000,4.9001,4.9095,4.8805,4.8870,9176.5,1648776779999,44859.73149,162,1552.6,7605.16530,0
