open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,0.18628,0.18734,0.18605,0.18631,610585,1648771259999,114059.77565,405,377833,70570.95060,0
1648771260000,0.18632,0.18642,0.18535,0.18559,311455,1648771319999,57934.44964,232,58771,10933.91905,0
1648771320000,0.18562,0.18763,0.18556,0.18754,295594,1648771379999,55203.60834,236,266514,49797.41808,0
1648771380000,0.18764,0.18785,0.18689,0.18734,241952,1648771439999,45344.81551,230,89513,16796.95806,0
1648771440000,0.18726,0.18805,0.18720,0.18790,123307,1648771499999,23147.67866,146,105165,19741.81724,0
1648771500000,0.18792,0.18840,0.18777,0.18827,89220,1648771559999,16785.25513,154,35403,6661.20285,0
1648771560000,0.18822,0.18857,0.18797,0.18797,91611,1648771619999,17254.09988,146,39303,7407.55086,0
1648771620000,0.18796,0.18846,0.18795,0.18833,63127,1648771679999,11885.07313,77,34082,6416.60958,0
1648771680000,0.18827,0.18827,0.18765,0.18784,34947,1648771739999,6565.92952,59,10971,2061.11905,0
1648771740000,0.18791,0.18865,0.18774,0.18865,62877,1648771799999,11824.64695,74,46669,8779.55029,0
1648771800000,0.18867,0.18870,0.18756,0.18765,148152,1648771859999,27849.28963,118,25760,4844.82904,0
1648771860000,0.18763,0.18794,0.18742,0.18777,43778,1648771919999,8217.24394,76,10589,1988.63570,0
1648771920000,0.18783,0.18841,0.18783,0.18836,41873,1648771979999,7876.71135,55,27186,5113.55882,0
1648771980000,0.18837,0.18857,0.18820,0.18822,48815,1648772039999,9193.49055,70,11435,2154.60497,0
1648772040000,0.18830,0.18865,0.18810,0.18853,46869,1648772099999,8833.24415,72,34553,6513.30028,0
1648772100000,0.18860,0.18868,0.18822,0.18834,56101,1648772159999,10566.07573,54,24887,4687.52400,0
1648772160000,0.18834,0.18834,0.18795,0.18822,20607,1648772219999,3875.81136,52,13610,2559.71530,0
1648772220000,0.18829,0.18876,0.18800,0.18873,125468,1648772279999,23610.24069,94,17472,3295.43618,0
1648772280000,0.18874,0.18874,0.18777,0.18778,73165,1648772339999,13773.89133,71,20748,3912.96961,0
1648772340000,0.18775,0.18790,0.18740,0.18757,191404,1648772399999,35904.37031,137,19480,3655.03300,0
1648772400000,0.18758,0.18782,0.18748,0.18781,39019,1648772459999,7321.48717,58,27088,5083.31923,0
1648772460000,0.18778,0.18786,0.18760,0.18780,16574,1648772519999,3111.75004,36,2722,511.06667,0
1648772520000,0.18781,0.18817,0.18781,0.18810,59875,1648772579999,11261.73302,53,35548,6686.64760,0
1648772580000,0.18807,0.18840,0.18805,0.18830,26300,1648772639999,4950.86633,36,23965,4511.15039,0
1648772640000,0.18830,0.18861,0.18830,0.18848,31859,1648772699999,6003.23788,33,27915,5259.92941,0
1648772700000,0.18857,0.18865,0.18847,0.18855,25504,1648772759999,4808.69246,44,10899,2055.15742,0
1648772760000,0.18854,0.18887,0.18847,0.18869,77686,1648772819999,14662.02567,78,71726,13538.31412,0
1648772820000,0.18867,0.18872,0.18811,0.18857,145327,1648772879999,27384.95860,100,78284,14757.07179,0
1648772880000,0.18856,0.18868,0.18829,0.18850,117057,1648772939999,22072.65521,57,87752,16549.10056,0
1648772940000,0.18848,0.18863,0.18842,0.18857,35294,1648772999999,6654.22898,52,30164,5686.79720,0
1648773000000,0.18857,0.18872,0.18797,0.18798,36547,1648773059999,6887.05362,78,25081,4726.64675,0
1648773060000,0.18799,0.18819,0.18745,0.18761,218560,1648773119999,41046.64140,167,50814,9548.72945,0
1648773120000,0.18757,0.18757,0.18631,0.18683,455761,1648773179999,85206.81717,256,150673,28155.93693,0
1648773180000,0.18659,0.18715,0.18652,0.18691,68701,1648773239999,12838.24489,79,58943,11015.31162,0
1648773240000,0.18688,0.18707,0.18670,0.18690,78345,1648773299999,14639.53518,54,5725,1070.55000,0
1648773300000,0.18678,0.18784,0.18673,0.18708,46554,1648773359999,8724.66894,76,24702,4630.66720,0
1648773360000,0.18703,0.18848,0.18703,0.18848,50645,1648773419999,9520.00003,66,35805,6728.59419,0
1648773420000,0.18836,0.18840,0.18807,0.18807,29275,1648773479999,5512.20457,46,17805,3352.88022,0
1648773480000,0.18809,0.18856,0.18809,0.18833,88707,1648773539999,16717.65076,49,77677,14639.03067,0
1648773540000,0.18833,0.18877,0.18833,0.18864,45561,1648773599999,8594.18277,64,36050,6800.54279,0
1648773600000,0.18877,0.18891,0.18854,0.18885,52589,1648773659999,9923.19997,81,11057,2087.02056,0
1648773660000,0.18876,0.18886,0.18856,0.18878,45178,1648773719999,8528.18599,54,37712,7119.48292,0
1648773720000,0.18880,0.18903,0.18846,0.18896,90875,1648773779999,17170.55208,52,80167,15150.50586,0
1648773780000,0.18900,0.18908,0.18867,0.18908,24920,1648773839999,4708.43319,59,8956,1692.39176,0
1648773840000,0.18907,0.18925,0.18889,0.18897,179778,1648773899999,33995.32346,114,117656,22251.20894,0
1648773900000,0.18896,0.18925,0.18885,0.18910,52982,1648773959999,10016.62983,104,20804,3933.55136,0
1648773960000,0.18898,0.18930,0.18891,0.18917,128689,1648774019999,24344.61488,87,104395,19752.26658,0
1648774020000,0.18911,0.18924,0.18882,0.18900,59726,1648774079999,11290.35200,34,12144,2295.63858,0
1648774080000,0.18906,0.18921,0.18885,0.18896,29286,1648774139999,5536.06455,60,19221,3633.80590,0
1648774140000,0.18894,0.18932,0.18894,0.18925,60405,1648774199999,11426.78584,75,43682,8262.67832,0
1648774200000,0.18931,0.18954,0.18922,0.18934,54205,1648774259999,10268.92685,63,44919,8510.18267,0
1648774260000,0.18933,0.18941,0.18901,0.18909,42125,1648774319999,7972.10254,58,11424,2162.19619,0
1648774320000,0.18925,0.18925,0.18896,0.18910,32703,1648774379999,6182.26226,41,2653,501.50154,0
1648774380000,0.18917,0.18934,0.18872,0.18872,20550,1648774439999,3883.08007,36,2052,388.18876,0
1648774440000,0.18874,0.18912,0.18874,0.18886,32813,1648774499999,6199.78262,67,11984,2264.60629,0
1648774500000,0.18886,0.18931,0.18833,0.18906,170078,1648774559999,32119.86210,119,90395,17084.52924,0
1648774560000,0.18914,0.18914,0.18882,0.18882,12976,1648774619999,2451.61310,74,2498,472.07058,0
1648774620000,0.18883,0.18883,0.18843,0.18849,20315,1648774679999,3831.28451,43,1926,363.18015,0
1648774680000,0.18844,0.18879,0.18834,0.18854,60794,1648774739999,11463.79434,58,18827,3551.82887,0
1648774740000,0.18861,0.18923,0.18856,0.18898,104344,1648774799999,19718.24008,71,70213,13270.09803,0
1648774800000,0.18895,0.18898,0.18856,0.18860,57061,1648774859999,10767.52744,76,24953,4708.29703,0
1648774860000,0.18852,0.18897,0.18850,0.18897,81253,1648774919999,15343.23636,78,75974,14347.23517,0
1648774920000,0.18897,0.18903,0.18881,0.18885,44326,1648774979999,8374.34959,55,9032,1706.41126,0
1648774980000,0.18875,0.18893,0.18852,0.18879,35032,1648775039999,6608.34874,51,8823,1665.44958,0
1648775040000,0.18879,0.18890,0.18864,0.18872,12555,1648775099999,2369.76382,55,3195,603.11128,0
1648775100000,0.18873,0.18878,0.18850,0.18872,86825,1648775159999,16382.94527,56,59173,11167.32092,0
1648775160000,0.18869,0.18925,0.18833,0.18854,217922,1648775219999,41142.23082,116,103224,19503.91336,0
1648775220000,0.18843,0.18864,0.18813,0.18856,101202,1648775279999,19065.97890,88,48082,9066.04407,0
1648775280000,0.18856,0.18877,0.18847,0.18875,13208,1648775339999,2491.50592,44,6366,1201.13958,0
1648775340000,0.18871,0.18885,0.18836,0.18836,70372,1648775399999,13271.47604,57,20999,3962.46355,0
1648775400000,0.18834,0.18847,0.18811,0.18811,111618,1648775459999,21016.20611,89,55270,10409.11401,0
1648775460000,0.18825,0.18841,0.18800,0.18829,64884,1648775519999,12206.74958,86,16395,3087.01818,0
1648775520000,0.18828,0.18845,0.18812,0.18820,28629,1648775579999,5390.33464,48,16471,3102.17819,0
1648775580000,0.18804,0.18813,0.18793,0.18811,25814,1648775639999,4853.26822,36,8088,1520.88296,0
1648775640000,0.18816,0.18853,0.18801,0.18852,45179,1648775699999,8504.72598,45,16795,3160.87507,0
1648775700000,0.18841,0.18906,0.18825,0.18898,79043,1648775759999,14901.14444,52,53133,10019.71857,0
1648775760000,0.18902,0.18920,0.18902,0.18914,13195,1648775819999,2495.70931,40,9834,1860.01431,0
1648775820000,0.18917,0.18949,0.18901,0.18924,11702,1648775879999,2214.24778,31,10988,2079.18962,0
1648775880000,0.18925,0.18928,0.18888,0.18906,9697,1648775939999,1833.94465,31,6923,1309.59708,0
1648775940000,0.18905,0.18918,0.18863,0.18863,18433,1648775999999,3483.12220,19,9446,1785.69980,0
1648776000000,0.18875,0.18888,0.18853,0.18866,18124,1648776059999,3420.97212,37,11077,2090.89206,0
1648776060000,0.18859,0.18859,0.18827,0.18836,18286,1648776119999,3444.83142,35,4549,857.34553,0
1648776120000,0.18851,0.18862,0.18796,0.18808,13393,1648776179999,2523.08216,34,11509,2168.80500,0
1648776180000,0.18812,0.18842,0.18804,0.18805,16799,1648776239999,3161.55426,36,12420,2337.78408,0
