open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,434.400,434.400,433.630,434.050,135.62,1648598459999,58837.46900,190,71.05,30821.96070,0
1648598460000,434.060,434.060,433.220,433.430,186.90,1648598519999,80997.28940,148,45.43,19688.45880,0
1648598520000,433.300,433.360,432.890,432.900,83.84,1648598579999,36308.32930,139,63.19,27364.04430,0
1648598580000,432.900,433.340,432.890,433.340,28.33,1648598639999,12266.35200,29,20.85,9026.63160,0
1648598640000,433.340,433.540,433.340,433.370,53.42,1648598699999,23155.38220,36,28.40,12310.25960,0
1648598700000,433.370,433.370,432.810,432.810,76.68,1648598759999,33220.08390,63,20.25,8773.74540,0
1648598760000,432.810,432.930,432.760,432.770,69.76,1648598819999,30192.53300,21,28.93,12521.16970,0
1648598820000,432.760,432.810,432.640,432.810,27.00,1648598879999,11682.40020,39,16.82,7277.18060,0
1648598880000,432.830,433.350,432.830,433.320,31.01,1648598939999,13433.80560,50,26.90,11653.76350,0
1648598940000,433.320,433.650,433.320,433.640,32.70,1648598999999,14177.92820,64,16.49,7149.35130,0
1648599000000,433.640,433.830,433.640,433.830,31.14,1648599059999,13506.99320,48,31.14,13506.99320,0
1648599060000,433.830,434.110,433.830,434.110,8.92,1648599119999,3871.05080,53,8.92,3871.05080,0
1648599120000,434.110,434.110,433.610,433.680,36.90,1648599179999,16005.29840,32,26.80,11622.73890,0
1648599180000,433.650,433.650,433.360,433.380,12.93,1648599239999,5605.32840,37,1.94,841.19020,0
1648599240000,433.370,433.880,433.370,433.880,31.21,1648599299999,13528.25290,47,30.14,13064.54700,0
1648599300000,433.900,434.370,433.900,434.180,20.53,1648599359999,8911.16480,78,20.46,8880.76020,0
1648599360000,434.120,434.120,433.430,433.600,104.59,1648599419999,45353.04350,96,8.94,3877.06100,0
1648599420000,433.490,433.940,433.430,433.860,53.96,1648599479999,23394.75500,93,43.80,18990.81980,0
1648599480000,433.920,433.920,433.830,433.890,7.23,1648599539999,3136.72710,8,3.16,1371.03540,0
1648599540000,433.910,433.960,433.850,433.960,15.98,1648599599999,6933.98440,7,7.49,3250.08650,0
1648599600000,433.850,433.850,433.320,433.320,68.22,1648599659999,29571.95850,63,0.71,307.95200,0
1648599660000,433.320,433.340,433.250,433.250,6.25,1648599719999,2707.99150,20,3.39,1468.87580,0
1648599720000,433.260,433.260,433.030,433.030,77.70,1648599779999,33659.37940,45,2.21,957.15550,0
1648599780000,433.030,433.110,433.010,433.010,9.09,1648599839999,3936.33980,24,4.80,2078.59570,0
1648599840000,433.020,433.020,432.910,432.910,5.03,1648599899999,2177.93960,36,0.61,264.13860,0
1648599900000,432.910,432.910,432.850,432.850,14.05,1648599959999,6082.12130,20,4.12,1783.45640,0
1648599960000,432.850,432.850,432.840,432.840,8.08,1648600019999,3497.40470,10,0.02,8.65680,0
1648600020000,432.840,433.050,432.840,432.990,32.58,1648600079999,14102.31180,12,32.50,14067.67260,0
1648600080000,432.960,432.960,432.680,432.710,93.08,1648600139999,40287.19620,40,59.01,25541.45860,0
1648600140000,432.700,432.700,432.380,432.430,46.25,1648600199999,20007.12040,102,1.73,748.32370,0
1648600200000,432.390,432.510,431.970,432.090,152.20,1648600259999,65773.90900,145,56.93,24603.83460,0
1648600260000,432.080,432.130,431.560,431.560,99.17,1648600319999,42831.30690,115,23.01,9941.53020,0
1648600320000,431.570,431.660,431.360,431.360,40.30,1648600379999,17389.82950,83,15.22,6567.62910,0
1648600380000,431.360,431.360,430.660,430.660,178.85,1648600439999,77083.89190,232,7.48,3222.52520,0
