open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,442.170,442.240,441.200,441.260,1619.31,1648684859999,715062.94570,672,664.79,293640.02060,0
1648684860000,441.320,441.420,440.750,441.250,2092.68,1648684919999,922953.70823,942,698.76,308168.57480,0
1648684920000,441.280,441.680,440.920,440.980,1293.53,1648684979999,570671.54130,513,326.62,144130.91030,0
1648684980000,440.980,441.330,440.960,441.030,644.91,1648685039999,284502.20720,359,414.30,182768.55240,0
1648685040000,441.040,441.040,440.580,440.770,712.91,1648685099999,314207.99500,664,257.93,113676.38810,0
1648685100000,440.770,440.800,440.350,440.680,1986.57,1648685159999,875153.78830,686,918.67,404770.47570,0
1648685160000,440.680,440.870,440.450,440.870,936.84,1648685219999,412857.23820,418,727.10,320436.29250,0
1648685220000,440.860,441.300,440.860,441.300,569.94,1648685279999,251367.99080,374,478.94,211230.33250,0
1648685280000,441.310,441.600,441.200,441.320,617.10,1648685339999,272415.17520,452,285.70,126127.21500,0
1648685340000,441.320,441.780,441.210,441.780,917.96,1648685399999,405342.57920,374,812.53,358800.21030,0
1648685400000,441.780,442.210,441.770,442.140,620.16,1648685459999,274118.78770,525,409.69,181089.48990,0
1648685460000,442.140,442.420,442.010,442.370,502.19,1648685519999,222094.42240,371,412.15,182274.79060,0
1648685520000,442.420,442.950,442.350,442.940,304.42,1648685579999,134714.52970,377,112.75,49898.10180,0
1648685580000,442.940,443.160,442.910,443.120,496.33,1648685639999,219884.15450,448,290.07,128507.63970,0
1648685640000,443.120,443.900,442.980,443.730,2117.26,1648685699999,938463.69640,739,1546.40,685417.74610,0
1648685700000,443.760,444.420,443.600,444.000,2346.28,1648685759999,1041763.69290,870,1720.82,764079.33080,0
1648685760000,444.000,444.690,443.900,444.440,888.69,1648685819999,394872.92700,624,562.64,249987.26650,0
1648685820000,444.430,445.380,444.270,444.650,3843.95,1648685879999,1710376.48550,1029,3012.77,1340642.14160,0
1648685880000,444.640,444.890,444.460,444.810,701.42,1648685939999,311928.89250,392,358.29,159327.16210,0
1648685940000,444.810,444.980,444.580,444.710,445.40,1648685999999,198121.00470,286,173.06,76974.65550,0
1648686000000,444.720,445.200,444.720,445.090,809.34,1648686059999,360119.10270,479,456.54,203132.23330,0
1648686060000,445.040,445.500,445.040,445.450,379.56,1648686119999,169041.99890,297,271.69,121009.39180,0
