open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,1237.3,1238.2,1237.3,1237.8,4.743,1648598459999,5868.9064,13,3.027,3745.6098,0
1648598460000,1237.9,1239.7,1237.9,1239.6,2.861,1648598519999,3544.3126,24,2.199,2724.3356,0
1648598520000,1239.6,1239.8,1238.7,1239.8,10.905,1648598579999,13512.8553,104,1.537,1904.9060,0
1648598580000,1239.6,1239.6,1239.1,1239.1,0.351,1648598639999,435.0876,5,0.334,414.0144,0
1648598640000,1239.1,1239.3,1239.1,1239.3,4.862,1648598699999,6025.2395,10,4.845,6004.1748,0
1648598700000,1239.8,1240.3,1239.8,1240.1,3.646,1648598759999,4521.5467,23,2.614,3241.8480,0
1648598760000,1240.1,1240.4,1240.1,1240.4,2.004,1648598819999,2485.2769,11,0.986,1222.8529,0
1648598820000,1240.5,1240.6,1240.5,1240.6,0.592,1648598879999,734.4142,7,0.592,734.4142,0
1648598880000,1240.4,1240.4,1240.4,1240.4,0.377,1648598939999,467.6308,2,0.377,467.6308,0
1648598940000,1240.1,1240.1,1240.0,1240.0,0.220,1648598999999,272.8181,2,0.181,224.4581,0
1648599000000,1240.0,1240.0,1239.3,1239.3,0.479,1648599059999,593.8492,11,0.335,415.3082,0
1648599060000,1239.1,1239.1,1239.0,1239.0,0.163,1648599119999,201.9713,10,0.143,177.1913,0
1648599120000,1239.0,1240.1,1239.0,1239.8,0.798,1648599179999,988.8343,10,0.748,926.8468,0
1648599180000,1239.9,1240.2,1239.9,1239.9,0.219,1648599239999,271.5780,5,0.056,69.4344,0
1648599240000,1239.9,1240.4,1239.3,1239.3,5.089,1648599299999,6311.6098,16,5.069,6286.8118,0
1648599300000,1239.2,1239.2,1238.9,1239.0,1.552,1648599359999,1923.0944,12,0.498,617.0220,0
1648599360000,1239.5,1240.0,1239.5,1239.7,0.267,1648599419999,331.0079,13,0.117,145.0684,0
1648599420000,1239.8,1240.0,1239.8,1239.9,0.356,1648599479999,441.3922,9,0.044,54.5567,0
1648599480000,1239.6,1239.6,1239.5,1239.5,0.183,1648599539999,226.8418,5,0.133,164.8668,0
1648599540000,1239.5,1239.5,1239.5,1239.5,0.010,1648599599999,12.3950,2,0.000,0.0000,0
1648599600000,1239.6,1240.1,1239.6,1240.0,0.339,1648599659999,420.3276,5,0.050,61.9800,0
1648599660000,1240.1,1240.7,1240.1,1240.7,0.366,1648599719999,453.9739,6,0.344,426.6785,0
1648599720000,1240.8,1241.1,1240.8,1241.1,2.281,1648599779999,2830.6801,10,2.281,2830.6801,0
1648599780000,1241.1,1241.3,1241.0,1241.0,0.274,1648599839999,340.0639,8,0.141,175.0109,0
1648599840000,1241.1,1241.4,1241.1,1241.1,0.055,1648599899999,68.2693,5,0.055,68.2693,0
1648599900000,1241.0,1241.0,1241.0,1241.0,0.177,1648599959999,219.6570,2,0.000,0.0000,0
1648599960000,1241.0,1241.0,1241.0,1241.0,0.005,1648600019999,6.2050,1,0.000,0.0000,0
1648600020000,1240.8,1241.2,1240.8,1241.2,0.582,1648600079999,722.3067,9,0.566,702.4507,0
1648600080000,1241.2,1241.2,1240.9,1240.9,1.022,1648600139999,1268.4503,6,0.000,0.0000,0
1648600140000,1241.0,1241.1,1241.0,1241.1,0.424,1648600199999,526.2222,7,0.042,52.1220,0
1648600200000,1241.2,1241.3,1241.2,1241.3,1.002,1648600259999,1243.7809,6,0.061,75.7176,0
1648600260000,1241.4,1242.4,1241.4,1242.4,2.772,1648600319999,3442.6295,30,2.128,2642.7644,0
1648600320000,1242.5,1243.0,1242.5,1243.0,6.228,1648600379999,7740.1580,23,6.228,7740.1580,0
1648600380000,1243.2,1244.2,1243.2,1244.2,6.861,1648600439999,8532.6645,26,6.861,8532.6645,0
1648600440000,1244.3,1244.4,1242.7,1242.7,11.156,1648600499999,13876.1217,26,7.024,8739.9797,0
1648600500000,1243.1,1243.1,1242.8,1243.0,0.195,1648600559999,242.3806,6,0.024,29.8344,0
1648600560000,1243.1,1243.7,1243.0,1243.0,1.668,1648600619999,2073.9537,12,1.160,1442.2852,0
1648600620000,1243.2,1243.8,1243.2,1243.8,0.850,1648600679999,1057.1212,7,0.850,1057.1212,0
1648600680000,1243.6,1243.6,1243.0,1243.0,0.446,1648600739999,554.4270,5,0.288,357.9840,0
1648600740000,1243.1,1243.1,1242.7,1242.7,0.665,1648600799999,826.4513,9,0.390,484.6845,0
1648600800000,1243.0,1243.4,1243.0,1243.4,0.364,1648600859999,452.5544,10,0.123,152.9030,0
1648600860000,1243.4,1243.4,1243.1,1243.1,0.028,1648600919999,34.8127,5,0.000,0.0000,0
1648600920000,1242.9,1243.6,1242.9,1243.6,0.633,1648600979999,787.1066,11,0.582,723.7157,0
1648600980000,1243.6,1243.8,1243.6,1243.7,2.648,1648601039999,3293.2415,12,2.238,2783.3245,0
