open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,46820.90,46825.10,46790.00,46794.90,584.534,1648425659999,27359491.44970,3367,201.257,9419980.66580,0
1648425660000,46794.90,46816.90,46780.00,46816.90,361.837,1648425719999,16931787.42960,2357,80.710,3777238.54230,0
1648425720000,46816.80,46900.00,46816.80,46888.90,675.440,1648425779999,31662258.83184,5040,443.238,20777604.07074,0
1648425780000,46888.80,46888.90,46770.00,46781.30,722.182,1648425839999,33805127.86811,3752,132.837,6220722.37830,0
1648425840000,46781.30,46815.90,46770.00,46776.70,627.971,1648425899999,29377189.26990,3663,345.343,16156740.92470,0
1648425900000,46776.80,46791.70,46770.00,46770.10,276.363,1648425959999,12927062.68680,1892,51.173,2393819.92730,0
1648425960000,46770.00,46784.90,46730.10,46743.00,541.244,1648426019999,25309392.92094,2847,114.423,5350065.04180,0
1648426020000,46742.90,46743.00,46687.30,46723.20,639.479,1648426079999,29874507.65215,3860,151.732,7088386.27250,0
1648426080000,46723.20,46754.20,46687.30,46712.80,386.740,1648426139999,18067811.87290,2783,192.023,8971609.04320,0
1648426140000,46712.80,46751.00,46712.80,46744.40,183.672,1648426199999,8584089.45410,1608,119.531,5586344.09500,0
1648426200000,46744.40,46744.40,46721.00,46737.60,80.499,1648426259999,3761937.29460,1083,25.997,1214866.81390,0
1648426260000,46737.70,46793.90,46737.60,46790.10,327.529,1648426319999,15318942.57451,2156,263.763,12336589.06381,0
1648426320000,46790.20,46790.20,46739.00,46751.40,153.910,1648426379999,7197375.36540,1439,78.881,3688927.43790,0
1648426380000,46751.40,46755.00,46727.00,46727.00,105.018,1648426439999,4908877.27780,1065,29.613,1384209.78300,0
1648426440000,46727.00,46727.10,46706.70,46711.30,146.119,1648426499999,6826309.34620,1421,47.058,2198453.00800,0
1648426500000,46711.30,46725.80,46679.30,46685.70,150.087,1648426559999,7009953.10390,1590,29.974,1400125.81880,0
1648426560000,46685.70,46716.80,46653.80,46660.80,417.557,1648426619999,19492234.22480,2728,90.161,4209059.85190,0
1648426620000,46660.80,46746.40,46651.20,46742.90,417.918,1648426679999,19515966.76640,2611,307.747,14373834.22710,0
1648426680000,46742.80,46780.00,46694.40,46721.50,277.654,1648426739999,12977778.43641,2482,157.068,7341812.74031,0
1648426740000,46721.60,46770.30,46721.50,46746.40,138.536,1648426799999,6476003.78320,1543,94.771,4430107.49380,0
1648426800000,46746.40,46746.50,46738.30,46740.70,74.520,1648426859999,3483183.16190,916,21.442,1002236.43980,0
1648426860000,46740.60,46769.90,46728.30,46760.20,166.038,1648426919999,7762167.12850,1419,91.041,4256581.55800,0
1648426920000,46760.20,46768.60,46741.40,46761.20,102.815,1648426979999,4807297.07790,1078,64.235,3003564.22950,0
1648426980000,46761.20,46765.80,46750.20,46758.80,79.829,1648427039999,3732712.44570,996,35.618,1665471.33830,0
1648427040000,46758.90,46758.90,46698.80,46705.40,252.085,1648427099999,11779365.02680,1704,40.617,1898130.04040,0
1648427100000,46706.50,46756.40,46700.60,46756.00,121.800,1648427159999,5691153.26550,1434,65.392,3055564.59450,0
