open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,47659.5,47659.5,47613.5,47613.5,0.803,1648684859999,38237.9425,12,0.010,476.4570,0
1648684860000,47593.5,47608.5,47582.6,47588.4,1.361,1648684919999,64768.7497,15,0.084,3998.3405,0
1648684920000,47584.8,47638.3,47584.8,47608.5,1.118,1648684979999,53219.3379,35,0.194,9236.6762,0
1648684980000,47607.5,47643.1,47607.5,47613.3,0.739,1648685039999,35202.2985,21,0.557,26533.5680,0
1648685040000,47605.2,47616.7,47605.2,47616.7,0.010,1648685099999,476.0635,2,0.009,428.4468,0
1648685100000,47599.8,47599.8,47561.4,47561.4,0.552,1648685159999,26262.4969,9,0.000,0.0000,0
1648685160000,47567.2,47593.1,47566.8,47593.1,0.617,1648685219999,29349.9221,13,0.083,3948.1438,0
1648685220000,47597.8,47605.4,47596.0,47600.7,0.318,1648685279999,15137.4850,12,0.300,14280.6889,0
1648685280000,47619.5,47620.2,47617.7,47617.7,0.118,1648685339999,5619.1061,8,0.004,190.4708,0
1648685340000,47604.2,47635.9,47599.9,47635.9,0.345,1648685399999,16424.5472,23,0.192,9140.7809,0
1648685400000,47653.4,47673.3,47649.5,47673.3,0.118,1648685459999,5623.2887,10,0.104,4956.0275,0
1648685460000,47661.3,47667.0,47654.7,47667.0,0.021,1648685519999,1000.8782,5,0.010,476.6040,0
1648685520000,47669.1,47704.9,47665.2,47702.5,0.190,1648685579999,9060.5412,12,0.096,4576.3139,0
1648685580000,47725.0,47739.7,47720.2,47733.8,1.229,1648685639999,58664.3341,15,0.771,36800.6079,0
1648685640000,47740.1,47741.6,47720.2,47741.6,0.260,1648685699999,12410.8333,13,0.028,1336.2505,0
1648685700000,47736.8,47736.8,47729.9,47731.0,0.076,1648685759999,3627.5829,6,0.003,143.2104,0
1648685760000,47720.1,47747.7,47719.7,47747.7,0.129,1648685819999,6157.6837,9,0.070,3342.2115,0
1648685820000,47742.2,47742.2,47740.5,47740.6,0.048,1648685879999,2291.5553,5,0.043,2052.8448,0
1648685880000,47722.9,47722.9,47719.0,47720.4,0.042,1648685939999,2004.2628,4,0.024,1145.2896,0
1648685940000,47715.1,47715.1,47710.0,47710.0,2.096,1648685999999,100000.2890,15,2.028,96755.8800,0
1648686000000,47726.7,47730.1,47726.7,47730.1,0.003,1648686059999,143.1869,2,0.002,95.4602,0
1648686060000,47724.8,47746.7,47720.0,47746.7,0.438,1648686119999,20903.3703,15,0.427,20378.3986,0
1648686120000,47743.9,47750.8,47735.5,47735.5,0.511,1648686179999,24395.5568,25,0.400,19096.6227,0
1648686180000,47729.8,47743.2,47728.0,47738.4,0.250,1648686239999,11933.9661,7,0.041,1957.4686,0
1648686240000,47734.1,47734.1,47731.6,47731.6,0.024,1648686299999,1145.6084,2,0.020,954.6820,0
1648686300000,47727.3,47733.5,47717.6,47733.5,0.181,1648686359999,8637.7779,9,0.079,3770.2381,0
1648686360000,47728.3,47728.3,47713.9,47715.0,0.202,1648686419999,9640.1210,4,0.000,0.0000,0
1648686420000,47724.2,47734.1,47723.7,47734.1,0.299,1648686479999,14270.6859,6,0.020,954.4840,0
1648686480000,47734.4,47754.9,47734.4,47754.9,0.117,1648686539999,5586.6957,6,0.081,3868.1445,0
1648686540000,47754.9,47774.6,47735.2,47774.6,2.511,1648686599999,119885.5603,38,0.364,17383.5934,0
1648686600000,47767.2,47790.8,47757.3,47790.8,2.186,1648686659999,104447.4436,31,2.135,102011.3164,0
1648686660000,47753.0,47800.0,47753.0,47788.4,0.548,1648686719999,26187.0897,24,0.184,8790.7855,0
1648686720000,47786.3,47787.1,47783.5,47787.1,0.331,1648686779999,15817.2397,3,0.164,7837.0844,0
1648686780000,47780.7,47786.8,47780.7,47783.4,0.128,1648686839999,6115.9546,3,0.007,334.4838,0
1648686840000,47792.3,47795.2,47792.3,47794.3,0.056,1648686899999,2676.4370,7,0.030,1433.7776,0
1648686900000,47794.3,47812.3,47794.3,47812.3,0.171,1648686959999,8174.5196,13,0.054,2581.2471,0
1648686960000,47818.5,47819.1,47808.1,47808.1,0.247,1648687019999,11811.1586,13,0.185,8846.4342,0
1648687020000,47807.1,47807.1,47807.1,47807.1,0.020,1648687079999,956.1420,1,0.000,0.0000,0
