open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,0.02676,0.02676,0.02672,0.02674,602700,1648425659999,16113.95360,45,117431,3139.29950,0
1648425660000,0.02673,0.02674,0.02671,0.02673,351924,1648425719999,9404.96992,41,141147,3772.01002,0
1648425720000,0.02674,0.02681,0.02674,0.02677,700445,1648425779999,18764.18680,99,567654,15208.85845,0
1648425780000,0.02676,0.02676,0.02670,0.02670,279240,1648425839999,7464.97141,51,187744,5018.21947,0
1648425840000,0.02669,0.02670,0.02666,0.02666,840582,1648425899999,22420.63439,58,76441,2038.89373,0
1648425900000,0.02666,0.02668,0.02663,0.02663,126583,1648425959999,3375.21456,29,39946,1065.60003,0
1648425960000,0.02664,0.02665,0.02661,0.02663,202819,1648426019999,5402.45234,43,101082,2692.99230,0
1648426020000,0.02661,0.02661,0.02657,0.02659,218557,1648426079999,5812.20142,50,68846,1831.91334,0
1648426080000,0.02658,0.02662,0.02658,0.02659,122853,1648426139999,3267.96342,25,44260,1176.80039,0
1648426140000,0.02660,0.02663,0.02660,0.02663,92958,1648426199999,2475.44447,16,33391,889.19770,0
1648426200000,0.02662,0.02667,0.02660,0.02667,323760,1648426259999,8624.12131,39,196512,5234.27063,0
1648426260000,0.02668,0.02671,0.02667,0.02670,126118,1648426319999,3365.81735,31,67129,1791.43584,0
1648426320000,0.02669,0.02669,0.02667,0.02667,80622,1648426379999,2151.38504,14,19639,523.77213,0
1648426380000,0.02667,0.02669,0.02667,0.02667,119707,1648426439999,3192.92281,19,110833,2956.07575,0
1648426440000,0.02667,0.02669,0.02667,0.02668,171413,1648426499999,4573.46216,23,127007,3388.61351,0
1648426500000,0.02668,0.02668,0.02662,0.02662,239889,1648426559999,6390.52121,33,31666,844.46667,0
1648426560000,0.02663,0.02667,0.02661,0.02664,217578,1648426619999,5794.47446,35,125258,3335.79792,0
1648426620000,0.02663,0.02666,0.02663,0.02666,146623,1648426679999,3905.34877,18,146623,3905.34877,0
1648426680000,0.02666,0.02667,0.02664,0.02664,38872,1648426739999,1036.46836,20,20484,546.10344,0
1648426740000,0.02665,0.02669,0.02665,0.02669,125439,1648426799999,3343.57041,16,125168,3336.34013,0
1648426800000,0.02669,0.02669,0.02667,0.02667,66091,1648426859999,1763.67166,23,42957,1146.50251,0
