open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,1.6910,1.6914,1.6892,1.6905,20180,1648425659999,34107.6873,132,9459,15991.4324,0
1648425660000,1.6906,1.6939,1.6892,1.6938,27827,1648425719999,47055.5512,173,12219,20670.8907,0
1648425720000,1.6931,1.7046,1.6930,1.7026,84497,1648425779999,143651.6023,513,50702,86192.5053,0
1648425780000,1.7024,1.7049,1.6989,1.6989,54434,1648425839999,92626.3144,355,27119,46175.2797,0
1648425840000,1.6989,1.7018,1.6934,1.7014,101752,1648425899999,172800.5494,397,26914,45709.1164,0
1648425900000,1.7015,1.7081,1.7013,1.7067,39721,1648425959999,67737.2788,382,18400,31378.3961,0
1648425960000,1.7068,1.7083,1.7019,1.7024,32542,1648426019999,55521.8476,237,10269,17528.3855,0
1648426020000,1.7024,1.7031,1.6954,1.6959,30173,1648426079999,51278.6891,217,5334,9069.3646,0
1648426080000,1.6968,1.6995,1.6904,1.6906,31868,1648426139999,53995.7663,261,9894,16782.0124,0
1648426140000,1.6906,1.6960,1.6879,1.6926,35369,1648426199999,59812.5192,284,12670,21446.2132,0
1648426200000,1.6921,1.6949,1.6906,1.6944,8946,1648426259999,15141.8798,83,4117,6967.6022,0
1648426260000,1.6941,1.6955,1.6927,1.6927,14024,1648426319999,23757.4036,97,2292,3883.9729,0
1648426320000,1.6932,1.6938,1.6818,1.6824,62123,1648426379999,104829.0196,463,13090,22107.6157,0
1648426380000,1.6825,1.6857,1.6770,1.6845,101242,1648426439999,170212.4308,709,45183,75988.6962,0
1648426440000,1.6841,1.6870,1.6839,1.6859,10241,1648426499999,17262.5806,95,3095,5217.1940,0
1648426500000,1.6860,1.6863,1.6821,1.6830,15947,1648426559999,26866.0246,151,3865,6512.5556,0
1648426560000,1.6834,1.6871,1.6834,1.6838,14971,1648426619999,25227.3739,163,9291,15653.4359,0
1648426620000,1.6833,1.6848,1.6783,1.6806,27333,1648426679999,45945.0481,233,6046,10162.6378,0
1648426680000,1.6806,1.6833,1.6795,1.6833,10004,1648426739999,16823.3545,109,6341,10664.5769,0
1648426740000,1.6831,1.6872,1.6819,1.6857,18973,1648426799999,31961.3386,136,9808,16525.4318,0
1648426800000,1.6861,1.6870,1.6853,1.6856,5664,1648426859999,9550.9898,71,1618,2728.4717,0
1648426860000,1.6857,1.6923,1.6857,1.6919,20631,1648426919999,34857.1035,158,19918,33653.1817,0
1648426920000,1.6919,1.6933,1.6911,1.6913,11641,1648426979999,19701.7686,105,8872,15017.3172,0
1648426980000,1.6912,1.6925,1.6890,1.6920,11227,1648427039999,18981.7574,98,7070,11951.7352,0
1648427040000,1.6920,1.6931,1.6906,1.6913,5911,1648427099999,9999.8898,78,3239,5480.0422,0
1648427100000,1.6915,1.6949,1.6913,1.6941,6949,1648427159999,11768.2857,79,4289,7263.8175,0
1648427160000,1.6944,1.6955,1.6938,1.6954,11282,1648427219999,19117.0677,99,5341,9050.2182,0
1648427220000,1.6949,1.6955,1.6940,1.6949,9708,1648427279999,16455.8194,81,3284,5566.3647,0
1648427280000,1.6947,1.6972,1.6947,1.6964,7652,1648427339999,12976.6099,96,5958,10102.5558,0
1648427340000,1.6964,1.6987,1.6955,1.6984,17217,1648427399999,29211.0140,168,9917,16824.9182,0
1648427400000,1.6983,1.7007,1.6983,1.7000,19475,1648427459999,33101.7475,144,14736,25046.0146,0
1648427460000,1.7003,1.7016,1.6994,1.6996,12623,1648427519999,21463.6326,147,5322,9051.2497,0
1648427520000,1.6996,1.7054,1.6981,1.7050,31004,1648427579999,52744.9918,305,21086,35877.7880,0
1648427580000,1.7045,1.7127,1.7038,1.7127,29198,1648427639999,49883.0922,286,22038,37661.5758,0
1648427640000,1.7127,1.7195,1.7005,1.7052,99197,1648427699999,169566.5807,819,35968,61596.6150,0
