open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,3.317,3.326,3.313,3.314,25246.0,1648771259999,83845.7510,281,12001.0,39864.7096,0
1648771260000,3.314,3.315,3.303,3.303,11625.6,1648771319999,38480.0744,164,1650.9,5463.0628,0
1648771320000,3.304,3.325,3.300,3.324,19039.5,1648771379999,63077.6402,210,13900.9,46078.9889,0
1648771380000,3.325,3.333,3.320,3.333,41512.5,1648771439999,138187.5218,409,26171.7,87113.4189,0
1648771440000,3.332,3.338,3.330,3.335,11570.7,1648771499999,38580.0175,183,6547.1,21832.6612,0
1648771500000,3.334,3.343,3.332,3.341,10515.2,1648771559999,35096.3476,186,6806.0,22725.1753,0
1648771560000,3.340,3.353,3.340,3.348,22495.3,1648771619999,75277.0808,300,8034.1,26897.1072,0
1648771620000,3.348,3.350,3.346,3.350,9826.9,1648771679999,32900.2708,120,2548.2,8533.7270,0
1648771680000,3.350,3.351,3.343,3.351,20232.7,1648771739999,67725.9466,232,5147.7,17233.9941,0
1648771740000,3.350,3.359,3.347,3.359,14790.5,1648771799999,49614.5753,239,6824.7,22899.9403,0
1648771800000,3.359,3.361,3.347,3.351,23727.8,1648771859999,79613.4709,237,4503.9,15103.3032,0
1648771860000,3.352,3.368,3.349,3.361,51628.1,1648771919999,173371.5695,404,38491.2,129279.8321,0
1648771920000,3.361,3.364,3.355,3.364,12014.5,1648771979999,40351.6112,164,4915.9,16509.6882,0
1648771980000,3.364,3.365,3.361,3.365,9283.7,1648772039999,31221.2453,105,5641.0,18972.7750,0
1648772040000,3.366,3.373,3.363,3.369,14755.4,1648772099999,49705.4973,244,7031.3,23685.9505,0
1648772100000,3.369,3.370,3.365,3.366,12723.1,1648772159999,42827.9409,104,2803.3,9437.2101,0
1648772160000,3.366,3.366,3.353,3.362,20229.6,1648772219999,67943.0008,214,2968.1,9961.8264,0
1648772220000,3.362,3.374,3.362,3.374,6004.7,1648772279999,20225.6722,129,3454.3,11633.6804,0
1648772280000,3.374,3.387,3.371,3.382,46824.5,1648772339999,158237.4293,519,29189.8,98662.3242,0
1648772340000,3.381,3.400,3.380,3.398,40361.2,1648772399999,136784.0711,446,29559.8,100204.7239,0
