open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,0.07683,0.07729,0.07595,0.07609,15445210,1648771259999,1184918.79485,2957,6823760,523978.60483,0
1648771260000,0.07609,0.07619,0.07500,0.07534,18096294,1648771319999,1365171.57818,3763,8851360,667748.21325,0
1648771320000,0.07535,0.07733,0.07457,0.07687,28772253,1648771379999,2173224.68116,5435,14610004,1105271.37040,0
1648771380000,0.07684,0.07702,0.07578,0.07612,14666935,1648771439999,1120177.57017,3141,6416912,490537.93435,0
1648771440000,0.07614,0.07622,0.07549,0.07568,7334981,1648771499999,556142.17461,1762,3110948,236005.10104,0
1648771500000,0.07568,0.07618,0.07551,0.07580,8913171,1648771559999,675849.86382,1847,4762847,361409.53953,0
1648771560000,0.07582,0.07583,0.07432,0.07448,34388809,1648771619999,2579396.34495,5284,12392461,930167.35488,0
1648771620000,0.07446,0.07482,0.07198,0.07335,89192003,1648771679999,6515861.07301,13029,37630929,2748806.46463,0
1648771680000,0.07333,0.07364,0.07311,0.07342,12163232,1648771739999,893007.93548,2543,6701292,492121.33285,0
1648771740000,0.07341,0.07384,0.07300,0.07380,12865637,1648771799999,944140.25910,2103,7307485,536760.09961,0
1648771800000,0.07384,0.07384,0.07246,0.07250,16216035,1648771859999,1182594.91805,2942,5184920,378371.87878,0
1648771860000,0.07250,0.07312,0.07242,0.07288,12498990,1648771919999,909983.51568,1705,6937142,505355.26512,0
1648771920000,0.07287,0.07321,0.07274,0.07316,5893410,1648771979999,430412.51319,1308,3506392,256139.07971,0
1648771980000,0.07316,0.07320,0.07274,0.07276,6382639,1648772039999,465704.03433,985,2136347,155898.38037,0
1648772040000,0.07276,0.07310,0.07270,0.07290,3030496,1648772099999,220821.29640,578,1422007,103632.43466,0
1648772100000,0.07287,0.07296,0.07151,0.07159,19867174,1648772159999,1431177.42977,3298,5729364,413210.66543,0
1648772160000,0.07159,0.07204,0.07120,0.07192,23968819,1648772219999,1717482.50878,4279,12996219,931993.77516,0
1648772220000,0.07197,0.07259,0.07176,0.07234,11161664,1648772279999,805560.09117,1802,7639815,551489.18178,0
1648772280000,0.07230,0.07238,0.07159,0.07159,8495403,1648772339999,611249.12914,1586,3722880,267917.14320,0
1648772340000,0.07158,0.07222,0.07107,0.07190,15635172,1648772399999,1119081.92881,2581,7955567,570180.52878,0
