open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,0.5209,0.5227,0.5203,0.5207,129411,1648771259999,67498.7944,407,61315,31993.2766,0
1648771260000,0.5205,0.5205,0.5184,0.5187,76284,1648771319999,39623.1318,244,23297,12097.9020,0
1648771320000,0.5185,0.5228,0.5185,0.5227,122326,1648771379999,63648.6260,258,89473,46587.6042,0
1648771380000,0.5229,0.5236,0.5205,0.5218,218987,1648771439999,114263.7637,462,80265,41902.3291,0
1648771440000,0.5217,0.5231,0.5217,0.5231,59280,1648771499999,30986.6259,163,21875,11430.8328,0
1648771500000,0.5230,0.5245,0.5230,0.5240,86250,1648771559999,45153.7422,230,49293,25807.4792,0
1648771560000,0.5239,0.5250,0.5238,0.5242,82561,1648771619999,43302.5419,268,29826,15646.9650,0
1648771620000,0.5240,0.5248,0.5238,0.5247,47726,1648771679999,25027.2731,116,23837,12500.7253,0
1648771680000,0.5246,0.5246,0.5228,0.5232,59252,1648771739999,31001.2618,148,21166,11076.6051,0
1648771740000,0.5231,0.5252,0.5222,0.5252,56722,1648771799999,29705.0154,131,33962,17798.5290,0
1648771800000,0.5251,0.5252,0.5223,0.5229,132460,1648771859999,69277.8640,187,45891,24006.7823,0
1648771860000,0.5227,0.5238,0.5223,0.5229,46193,1648771919999,24158.2358,151,14644,7657.8809,0
1648771920000,0.5229,0.5253,0.5229,0.5253,100240,1648771979999,52563.1174,166,78494,41164.5205,0
1648771980000,0.5253,0.5262,0.5245,0.5246,91014,1648772039999,47806.2431,366,48163,25307.3598,0
1648772040000,0.5245,0.5254,0.5243,0.5251,27819,1648772099999,14599.2383,114,17021,8931.9237,0
1648772100000,0.5250,0.5250,0.5237,0.5240,40032,1648772159999,20994.2889,115,17184,9010.6023,0
1648772160000,0.5239,0.5239,0.5229,0.5235,74147,1648772219999,38814.5356,190,15477,8101.9415,0
1648772220000,0.5234,0.5257,0.5232,0.5256,48896,1648772279999,25635.3046,142,30162,15813.2488,0
1648772280000,0.5257,0.5257,0.5231,0.5231,24627,1648772339999,12910.6876,113,9818,5142.7818,0
1648772340000,0.5229,0.5238,0.5224,0.5231,42380,1648772399999,22169.7326,114,29805,15594.2505,0
1648772400000,0.5232,0.5239,0.5228,0.5234,27210,1648772459999,14243.2219,96,14219,7442.5362,0
1648772460000,0.5234,0.5234,0.5223,0.5228,42715,1648772519999,22326.2303,129,24408,12757.0642,0
1648772520000,0.5227,0.5237,0.5226,0.5232,27274,1648772579999,14269.6951,84,10336,5407.6336,0
1648772580000,0.5233,0.5249,0.5232,0.5248,37116,1648772639999,19443.6772,106,26240,13747.9321,0
1648772640000,0.5248,0.5249,0.5244,0.5249,17350,1648772699999,9105.0164,80,11068,5808.0169,0
1648772700000,0.5249,0.5251,0.5244,0.5248,19977,1648772759999,10485.8149,79,7670,4026.6321,0
1648772760000,0.5249,0.5254,0.5244,0.5246,33935,1648772819999,17811.3854,129,14573,7648.7101,0
1648772820000,0.5246,0.5246,0.5239,0.5239,16178,1648772879999,8482.8645,68,3580,1876.3207,0
1648772880000,0.5240,0.5250,0.5239,0.5247,19817,1648772939999,10394.7291,103,11996,6292.3274,0
1648772940000,0.5245,0.5250,0.5244,0.5250,26331,1648772999999,13815.9872,82,9495,4982.4450,0
1648773000000,0.5249,0.5256,0.5230,0.5230,73559,1648773059999,38575.1517,198,41709,21878.3407,0
