open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,0.29409,0.29417,0.29265,0.29336,1172071,1648598459999,343978.46130,836,281951,82757.82207,0
1648598460000,0.29333,0.29337,0.29222,0.29279,674170,1648598519999,197334.62568,586,333240,97527.41173,0
1648598520000,0.29275,0.29473,0.29231,0.29429,2597090,1648598579999,761986.97567,1579,1480079,434302.51337,0
1648598580000,0.29435,0.30310,0.29435,0.30227,7546169,1648598639999,2268041.31991,7529,4304302,1293402.30714,0
1648598640000,0.30232,0.30437,0.30172,0.30235,5774940,1648598699999,1750923.32430,5341,2526761,766325.04645,0
1648598700000,0.30228,0.30232,0.29756,0.29885,7076548,1648598759999,2119518.76735,5499,3207817,960605.22369,0
1648598760000,0.29873,0.29954,0.29800,0.29848,2474891,1648598819999,739527.16209,1893,1548105,462634.51613,0
1648598820000,0.29847,0.29871,0.29552,0.29603,2642579,1648598879999,784284.45457,2444,978484,290297.78819,0
1648598880000,0.29610,0.29886,0.29608,0.29871,2054879,1648598939999,611943.02600,1766,1226801,365380.16909,0
1648598940000,0.29865,0.29890,0.29689,0.29806,1407810,1648598999999,419472.97386,1161,744404,221798.53323,0
1648599000000,0.29795,0.29975,0.29783,0.29889,1104628,1648599059999,330009.73148,1019,666906,199219.18843,0
1648599060000,0.29896,0.30239,0.29885,0.30233,1512018,1648599119999,454722.80246,1622,878683,264258.61609,0
1648599120000,0.30233,0.30749,0.30224,0.30575,7496587,1648599179999,2287082.10913,7158,4033270,1230693.97555,0
1648599180000,0.30579,0.30722,0.30145,0.30376,8643932,1648599239999,2625959.09414,6215,3911776,1188722.99162,0
1648599240000,0.30379,0.30718,0.30300,0.30685,2925809,1648599299999,892878.54867,2747,1733945,529074.66848,0
1648599300000,0.30683,0.30716,0.30133,0.30161,5152421,1648599359999,1565254.11327,3828,1980446,601553.82244,0
1648599360000,0.30175,0.30334,0.30000,0.30334,4589069,1648599419999,1385999.55569,3701,2228899,673788.53668,0
1648599420000,0.30324,0.31063,0.30251,0.30800,8962270,1648599479999,2755457.42257,8125,5095794,1566581.07218,0
1648599480000,0.30806,0.31050,0.30634,0.30660,9354451,1648599539999,2884881.16190,7638,4685445,1445999.83207,0
1648599540000,0.30665,0.30676,0.30332,0.30471,3353246,1648599599999,1022643.10943,3177,1655987,504898.49003,0
1648599600000,0.30461,0.30576,0.30144,0.30175,3579697,1648599659999,1085061.21246,2956,1561712,473789.87171,0
1648599660000,0.30176,0.30237,0.29896,0.29932,4134804,1648599719999,1242641.38185,3633,1334455,401357.04976,0
1648599720000,0.29940,0.30048,0.29843,0.29945,2838746,1648599779999,849822.15041,2821,1449884,434082.28701,0
1648599780000,0.29952,0.29976,0.29724,0.29850,1772537,1648599839999,528681.60013,1788,654262,195198.40612,0
1648599840000,0.29851,0.29998,0.29851,0.29915,1606471,1648599899999,480924.82487,1105,956152,286213.25344,0
1648599900000,0.29924,0.30130,0.29924,0.30041,1698177,1648599959999,509895.34035,1268,1089419,327089.82979,0
1648599960000,0.30046,0.30064,0.29895,0.29936,1249005,1648600019999,374529.19531,1136,579807,173913.87937,0
1648600020000,0.29936,0.30075,0.29901,0.30035,752363,1648600079999,225641.90193,728,419184,125738.73609,0
1648600080000,0.30036,0.30107,0.29929,0.29994,1911419,1648600139999,573309.13397,1480,831511,249357.40027,0
1648600140000,0.29994,0.30056,0.29945,0.29978,670085,1648600199999,201058.58445,781,269740,80933.83054,0
1648600200000,0.29989,0.29989,0.29712,0.29807,3534327,1648600259999,1053160.04339,2798,1235005,368195.98677,0
1648600260000,0.29819,0.29891,0.29720,0.29880,1977853,1648600319999,589543.57202,1458,1162533,346594.74246,0
1648600320000,0.29881,0.30007,0.29865,0.29926,1699434,1648600379999,508900.70013,1430,761206,227915.79344,0
1648600380000,0.29915,0.29928,0.29586,0.29626,2544493,1648600439999,757603.51965,2404,792759,236234.79361,0
1648600440000,0.29628,0.29837,0.29607,0.29807,1677114,1648600499999,498437.53306,1704,825719,245453.76425,0
1648600500000,0.29813,0.29974,0.29719,0.29834,2673266,1648600559999,798275.91743,2006,1462322,436952.93457,0
1648600560000,0.29835,0.30013,0.29796,0.30012,1022221,1648600619999,305837.31779,989,639962,191498.02526,0
1648600620000,0.30012,0.30159,0.29926,0.30054,1499407,1648600679999,450457.52901,1342,661657,198814.25857,0
1648600680000,0.30060,0.30277,0.30058,0.30216,1836678,1648600739999,554587.36297,1722,1032924,311909.18886,0
1648600740000,0.30227,0.30228,0.30000,0.30123,1293548,1648600799999,389526.29360,1178,605471,182361.17986,0
1648600800000,0.30123,0.30143,0.29860,0.29916,2598153,1648600859999,777895.83987,1821,905172,271050.11984,0
1648600860000,0.29914,0.30073,0.29887,0.30010,1310537,1648600919999,393142.31567,1084,850439,255160.84350,0
1648600920000,0.30011,0.30058,0.29978,0.30045,521886,1648600979999,156674.51864,520,237926,71433.70760,0
1648600980000,0.30044,0.30054,0.29886,0.29934,690129,1648601039999,206784.19687,717,217353,65112.50975,0
1648601040000,0.29938,0.30040,0.29900,0.30003,374291,1648601099999,112158.89692,435,191765,57451.30947,0
1648601100000,0.29999,0.30076,0.29925,0.29925,354622,1648601159999,106440.58942,415,208768,62680.36851,0
1648601160000,0.29922,0.29942,0.29787,0.29832,1460710,1648601219999,435976.17084,1388,515793,153954.87385,0
1648601220000,0.29836,0.29846,0.29765,0.29818,537826,1648601279999,160335.92542,546,257537,76799.89235,0
1648601280000,0.29814,0.29973,0.29800,0.29969,470876,1648601339999,140822.55896,535,312611,93481.58409,0
1648601340000,0.29967,0.29967,0.29871,0.29913,446896,1648601399999,133693.84850,389,151423,45302.63180,0
1648601400000,0.29913,0.29919,0.29794,0.29919,505434,1648601459999,150886.24792,599,274797,82041.39772,0
1648601460000,0.29920,0.30054,0.29883,0.30043,695194,1648601519999,208306.05688,715,489618,146730.03347,0
1648601520000,0.30029,0.30280,0.30029,0.30227,2030099,1648601579999,612502.40876,1719,1089109,328598.17781,0
1648601580000,0.30217,0.30483,0.30190,0.30418,2120328,1648601639999,643591.68306,2373,1356540,411799.49132,0
1648601640000,0.30417,0.30445,0.30182,0.30183,1465135,1648601699999,444210.06908,1505,595187,180551.59152,0
1648601700000,0.30189,0.30380,0.30137,0.30303,931250,1648601759999,282001.48786,1020,464774,140767.40319,0
1648601760000,0.30307,0.30317,0.30163,0.30211,697599,1648601819999,210844.27088,736,240804,72773.24238,0
1648601820000,0.30211,0.30280,0.30157,0.30157,411865,1648601879999,124438.63044,479,191726,57924.11489,0
1648601880000,0.30156,0.30533,0.30150,0.30492,1217455,1648601939999,369769.94459,1389,661622,200919.28339,0
1648601940000,0.30487,0.30627,0.30415,0.30416,2029450,1648601999999,618821.16792,2014,878146,267670.18689,0
1648602000000,0.30416,0.30420,0.30240,0.30380,1588401,1648602059999,481627.05707,1678,806677,244578.46126,0
1648602060000,0.30378,0.30384,0.30261,0.30292,825517,1648602119999,250186.66250,788,241688,73265.10246,0
1648602120000,0.30297,0.30297,0.30031,0.30085,1913991,1648602179999,577140.75025,1615,642042,193668.44186,0
1648602180000,0.30087,0.30168,0.30014,0.30168,819378,1648602239999,246492.47739,875,376239,113239.30787,0
1648602240000,0.30168,0.30523,0.30168,0.30438,1741151,1648602299999,528698.06486,1888,1099394,333627.90142,0
1648602300000,0.30436,0.30750,0.30366,0.30650,3014022,1648602359999,922443.64288,2947,1588753,486490.36514,0
1648602360000,0.30646,0.30665,0.30376,0.30398,2270527,1648602419999,693244.92828,2252,1059613,323670.40904,0
1648602420000,0.30391,0.30435,0.30234,0.30304,1385355,1648602479999,420181.91276,1527,582807,176779.79138,0
1648602480000,0.30301,0.30323,0.30237,0.30296,614462,1648602539999,186022.67708,678,248687,75299.01070,0
1648602540000,0.30288,0.30435,0.30288,0.30366,696344,1648602599999,211459.07333,833,466051,141491.98610,0
1648602600000,0.30363,0.30387,0.30280,0.30342,927837,1648602659999,281307.35468,852,421738,127902.51182,0
1648602660000,0.30336,0.30350,0.30133,0.30228,855003,1648602719999,258158.08708,997,286349,86466.33812,0
1648602720000,0.30226,0.30282,0.30202,0.30253,564599,1648602779999,170736.54980,768,345692,104539.03741,0
1648602780000,0.30252,0.30252,0.30157,0.30183,568431,1648602839999,171601.75461,552,211288,63781.80173,0
1648602840000,0.30194,0.30237,0.30135,0.30175,534733,1648602899999,161366.65241,605,242276,73124.99056,0
1648602900000,0.30182,0.30182,0.30105,0.30117,436752,1648602959999,131636.84587,544,184105,55499.76830,0
1648602960000,0.30115,0.30147,0.30038,0.30073,949180,1648603019999,285521.12053,840,322207,96938.87235,0
1648603020000,0.30069,0.30073,0.30007,0.30066,607703,1648603079999,182544.22810,656,296201,88990.32634,0
1648603080000,0.30065,0.30065,0.29935,0.29979,1047222,1648603139999,314099.43755,722,222038,66585.28591,0
1648603140000,0.29971,0.29972,0.29835,0.29871,1796597,1648603199999,537183.90847,1321,1000647,299293.13559,0
1648603200000,0.29878,0.29887,0.29790,0.29835,833028,1648603259999,248488.85669,908,370014,110390.69261,0
1648603260000,0.29830,0.29861,0.29682,0.29715,1159617,1648603319999,345015.88510,1053,466877,138967.17447,0
1648603320000,0.29720,0.29776,0.29622,0.29696,932701,1648603379999,276893.28396,1039,533535,158431.86871,0
1648603380000,0.29694,0.29890,0.29693,0.29836,1845483,1648603439999,550274.38925,1545,1176194,350708.27526,0
1648603440000,0.29842,0.29898,0.29817,0.29863,1179564,1648603499999,352139.94676,842,734914,219413.49086,0
1648603500000,0.29860,0.29900,0.29776,0.29799,481891,1648603559999,143783.46168,518,179987,53695.99902,0
1648603560000,0.29798,0.29819,0.29703,0.29728,476036,1648603619999,141714.94884,520,164779,49069.14339,0
