open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,149.35,149.88,149.02,149.07,1026.926,1648771259999,153524.58869,523,425.598,63644.15379,0
1648771260000,149.08,149.50,148.88,148.95,738.922,1648771319999,110231.95120,381,438.615,65459.56635,0
1648771320000,148.98,150.00,148.97,150.00,411.959,1648771379999,61606.56309,198,349.502,52271.35629,0
1648771380000,149.97,150.04,149.45,149.68,881.738,1648771439999,132063.70565,485,378.101,56666.57560,0
1648771440000,149.66,149.97,149.61,149.88,259.192,1648771499999,38833.70775,198,158.225,23706.89339,0
1648771500000,149.85,150.06,149.78,149.92,347.589,1648771559999,52120.31321,195,104.239,15630.51639,0
1648771560000,149.91,150.32,149.83,149.93,856.225,1648771619999,128563.13376,490,609.462,91532.78717,0
1648771620000,149.93,150.22,149.86,150.05,251.216,1648771679999,37692.04037,178,126.176,18933.98388,0
1648771680000,149.93,149.93,149.50,149.73,312.384,1648771739999,46761.82150,170,61.283,9175.34374,0
1648771740000,149.74,150.19,149.46,150.19,401.497,1648771799999,60155.57850,182,181.685,27231.82683,0
1648771800000,150.17,150.18,149.35,149.52,435.030,1648771859999,65105.89072,236,107.865,16143.23638,0
1648771860000,149.48,149.86,149.38,149.74,220.509,1648771919999,33001.58235,145,119.762,17925.75316,0
1648771920000,149.74,150.12,149.74,150.12,141.698,1648771979999,21237.27943,105,51.226,7679.42051,0
1648771980000,150.09,150.25,150.01,150.22,194.034,1648772039999,29131.87852,137,125.830,18894.18751,0
1648772040000,150.22,150.32,149.98,150.25,152.576,1648772099999,22919.73489,101,84.668,12722.95550,0
1648772100000,150.27,150.33,149.96,150.20,334.984,1648772159999,50297.54078,391,156.618,23518.04264,0
1648772160000,150.20,150.20,149.86,149.98,158.968,1648772219999,23853.39103,87,37.403,5608.21577,0
1648772220000,150.05,150.55,149.95,150.50,295.305,1648772279999,44415.52717,174,210.173,31609.39843,0
1648772280000,150.49,150.54,149.93,149.96,359.906,1648772339999,54009.35728,153,62.340,9361.92376,0
1648772340000,149.93,150.23,149.83,150.15,209.196,1648772399999,31395.85275,125,133.393,20017.43331,0
1648772400000,150.14,150.33,150.10,150.14,172.512,1648772459999,25911.09372,134,100.851,15148.55029,0
1648772460000,150.15,150.30,150.12,150.22,258.737,1648772519999,38862.94129,133,84.593,12705.49489,0
1648772520000,150.23,150.54,150.23,150.44,223.728,1648772579999,33647.64205,163,118.509,17825.59960,0
1648772580000,150.51,150.76,150.44,150.69,266.961,1648772639999,40219.63231,157,191.068,28784.54023,0
1648772640000,150.69,150.80,150.64,150.77,150.157,1648772699999,22632.30168,112,112.025,16886.42939,0
1648772700000,150.78,150.94,150.67,150.91,193.223,1648772759999,29139.78098,180,102.599,15474.30505,0
1648772760000,150.91,150.98,150.77,150.92,224.083,1648772819999,33803.62547,124,83.382,12581.74752,0
1648772820000,150.91,150.96,150.56,150.66,180.685,1648772879999,27244.11699,91,46.774,7056.59690,0
1648772880000,150.64,150.77,150.64,150.66,59.342,1648772939999,8943.90078,74,19.774,2980.17368,0
1648772940000,150.66,150.77,150.53,150.70,335.942,1648772999999,50608.26134,168,117.306,17674.06519,0
1648773000000,150.74,150.82,150.26,150.37,290.197,1648773059999,43705.06143,133,91.702,13807.50491,0
1648773060000,150.40,150.67,150.29,150.29,180.128,1648773119999,27108.42952,142,105.558,15891.48259,0
1648773120000,150.32,150.32,149.55,149.73,504.163,1648773179999,75572.21129,248,196.218,29410.91141,0
1648773180000,149.65,150.09,149.55,149.83,262.882,1648773239999,39387.41571,175,176.401,26429.04704,0
1648773240000,149.78,150.01,149.72,149.86,200.774,1648773299999,30081.22711,124,124.894,18716.24932,0
1648773300000,149.88,150.45,149.76,150.02,132.713,1648773359999,19917.80255,111,61.060,9166.23408,0
1648773360000,149.94,150.91,149.94,150.90,179.502,1648773419999,27020.30908,130,122.259,18401.99228,0
1648773420000,150.89,150.93,150.70,150.75,222.980,1648773479999,33632.97655,140,82.914,12508.42603,0
1648773480000,150.78,150.98,150.78,150.94,251.323,1648773539999,37927.12248,156,187.712,28329.30058,0
1648773540000,150.87,151.15,150.83,151.03,400.192,1648773599999,60427.91485,212,302.524,45685.14859,0
1648773600000,151.03,151.13,150.97,151.09,129.025,1648773659999,19493.49062,102,36.037,5444.50196,0
1648773660000,151.12,151.29,150.96,151.23,175.771,1648773719999,26560.84608,127,137.898,20836.35506,0
1648773720000,151.23,151.42,151.00,151.30,563.238,1648773779999,85154.37440,275,340.403,51474.37346,0
