open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,0.25801,0.25923,0.25727,0.25917,527870,1648512059999,136390.75953,492,379970,98218.45531,0
1648512060000,0.25915,0.25919,0.25782,0.25894,281449,1648512119999,72774.14562,297,131104,33885.30550,0
1648512120000,0.25886,0.25920,0.25855,0.25896,307594,1648512179999,79632.48561,267,154899,40109.67903,0
1648512180000,0.25880,0.25951,0.25820,0.25951,162768,1648512239999,42125.33666,179,93759,24266.40760,0
1648512240000,0.25951,0.25993,0.25919,0.25937,270739,1648512299999,70297.74093,263,137178,35627.17167,0
1648512300000,0.25936,0.25972,0.25912,0.25966,128660,1648512359999,33381.81328,205,93517,24266.62214,0
1648512360000,0.25972,0.25972,0.25829,0.25882,151986,1648512419999,39342.59276,190,65610,16985.07769,0
1648512420000,0.25884,0.25967,0.25872,0.25872,149979,1648512479999,38883.81663,191,74738,19380.85492,0
1648512480000,0.25874,0.26000,0.25874,0.25993,180244,1648512539999,46762.59351,219,134753,34959.25779,0
1648512540000,0.25978,0.26112,0.25977,0.26071,260712,1648512599999,67906.67507,387,143429,37356.95564,0
1648512600000,0.26074,0.26095,0.26044,0.26083,92139,1648512659999,24025.50611,143,43183,11259.48122,0
1648512660000,0.26086,0.26114,0.26057,0.26113,163196,1648512719999,42562.97640,260,103953,27112.74745,0
1648512720000,0.26118,0.26140,0.26082,0.26093,52971,1648512779999,13826.61081,101,30947,8076.76859,0
1648512780000,0.26096,0.26122,0.26060,0.26088,186363,1648512839999,48627.59805,248,64590,16857.72349,0
1648512840000,0.26091,0.26113,0.26002,0.26064,100031,1648512899999,26056.70076,104,52588,13701.86192,0
1648512900000,0.26061,0.26151,0.26027,0.26147,72399,1648512959999,18877.92046,122,58114,15153.69771,0
1648512960000,0.26148,0.26196,0.26130,0.26196,147593,1648513019999,38604.48048,199,103436,27056.10603,0
1648513020000,0.26191,0.26191,0.26082,0.26128,234768,1648513079999,61358.80583,199,96710,25263.50983,0
1648513080000,0.26129,0.26133,0.26076,0.26101,56815,1648513139999,14831.35976,93,23533,6143.44183,0
1648513140000,0.26102,0.26102,0.26061,0.26079,52902,1648513199999,13796.91951,105,28951,7549.56650,0
1648513200000,0.26080,0.26080,0.26016,0.26016,78404,1648513259999,20420.94666,123,13242,3447.62421,0
1648513260000,0.26016,0.26144,0.26016,0.26123,137232,1648513319999,35825.01092,136,74327,19392.79363,0
1648513320000,0.26135,0.26154,0.26096,0.26124,84256,1648513379999,22011.18927,95,30396,7937.97636,0
1648513380000,0.26125,0.26145,0.26091,0.26109,70034,1648513439999,18289.69462,84,9208,2405.67654,0
1648513440000,0.26112,0.26175,0.26112,0.26142,67219,1648513499999,17572.88214,78,41421,10826.07363,0
1648513500000,0.26142,0.26167,0.26111,0.26167,91466,1648513559999,23905.95451,107,41729,10910.15113,0
1648513560000,0.26175,0.26183,0.26150,0.26164,68245,1648513619999,17855.52846,77,44161,11554.57833,0
1648513620000,0.26170,0.26170,0.26111,0.26136,49974,1648513679999,13065.22424,64,20525,5365.80563,0
1648513680000,0.26140,0.26217,0.26113,0.26189,139545,1648513739999,36513.34517,109,80348,21014.59196,0
1648513740000,0.26193,0.26200,0.26138,0.26156,39379,1648513799999,10303.72900,82,13667,3576.23380,0
1648513800000,0.26149,0.26196,0.26144,0.26144,114170,1648513859999,29875.98769,118,67585,17686.58359,0
1648513860000,0.26149,0.26181,0.26122,0.26169,140861,1648513919999,36838.27350,135,60466,15817.10224,0
1648513920000,0.26169,0.26191,0.26122,0.26186,115276,1648513979999,30150.38231,127,85562,22383.57513,0
1648513980000,0.26184,0.26225,0.26158,0.26207,107281,1648514039999,28092.22226,67,19752,5177.07830,0
1648514040000,0.26200,0.26206,0.26157,0.26168,42242,1648514099999,11056.69400,44,14120,3694.76132,0
1648514100000,0.26160,0.26190,0.26133,0.26172,90322,1648514159999,23632.69260,106,45781,11978.06256,0
1648514160000,0.26171,0.26218,0.26149,0.26182,90828,1648514219999,23775.60707,87,28476,7456.50196,0
1648514220000,0.26189,0.26250,0.26189,0.26239,92305,1648514279999,24201.82555,120,73703,19325.28734,0
1648514280000,0.26246,0.26248,0.26174,0.26222,139223,1648514339999,36488.52960,157,58253,15273.61813,0
1648514340000,0.26210,0.26226,0.26192,0.26218,62332,1648514399999,16338.00403,63,18818,4932.85490,0
1648514400000,0.26219,0.26246,0.26208,0.26219,89236,1648514459999,23397.84569,90,40308,10569.75619,0
1648514460000,0.26230,0.26252,0.26208,0.26212,122497,1648514519999,32137.80189,90,65421,17162.49001,0
1648514520000,0.26213,0.26216,0.26164,0.26188,114893,1648514579999,30101.40389,168,58518,15333.05878,0
1648514580000,0.26193,0.26225,0.26157,0.26198,103719,1648514639999,27163.14782,143,41500,10872.20411,0
1648514640000,0.26211,0.26304,0.26211,0.26266,264037,1648514699999,69341.67749,253,185905,48832.22799,0
1648514700000,0.26274,0.26333,0.26265,0.26320,183698,1648514759999,48322.80968,224,106562,28032.77255,0
1648514760000,0.26321,0.26339,0.26284,0.26338,117201,1648514819999,30838.25025,156,68787,18101.90817,0
1648514820000,0.26337,0.26350,0.26282,0.26299,127891,1648514879999,33663.91551,101,53015,13962.70254,0
1648514880000,0.26298,0.26324,0.26292,0.26296,48888,1648514939999,12861.89159,53,31430,8269.65222,0
1648514940000,0.26302,0.26335,0.26293,0.26293,32981,1648514999999,8679.12765,50,17473,4598.91674,0
1648515000000,0.26304,0.26304,0.26241,0.26243,77022,1648515059999,20237.08747,84,29586,7773.98437,0
1648515060000,0.26243,0.26289,0.26213,0.26264,83294,1648515119999,21862.15311,113,28004,7354.00332,0
1648515120000,0.26255,0.26255,0.26229,0.26229,21523,1648515179999,5647.99000,49,11979,3143.70069,0
1648515180000,0.26228,0.26240,0.26206,0.26240,29685,1648515239999,7783.39244,51,8013,2101.22359,0
1648515240000,0.26242,0.26242,0.26200,0.26214,186493,1648515299999,48905.57745,68,161686,42400.99517,0
1648515300000,0.26225,0.26225,0.26163,0.26177,73844,1648515359999,19336.39752,91,31291,8194.88153,0
1648515360000,0.26179,0.26217,0.26166,0.26205,78219,1648515419999,20486.29992,109,46272,12121.48580,0
1648515420000,0.26205,0.26234,0.26197,0.26225,84436,1648515479999,22137.73139,110,59520,15607.09777,0
1648515480000,0.26218,0.26227,0.26178,0.26203,28495,1648515539999,7467.12369,32,7336,1920.46159,0
1648515540000,0.26208,0.26218,0.26178,0.26213,43500,1648515599999,11398.33133,68,34509,9043.33443,0
1648515600000,0.26202,0.26228,0.26180,0.26225,94359,1648515659999,24730.96838,81,66226,17357.70242,0
1648515660000,0.26230,0.26269,0.26204,0.26236,77558,1648515719999,20342.52177,87,30486,7993.30696,0
1648515720000,0.26237,0.26278,0.26222,0.26238,179293,1648515779999,47070.01879,173,106404,27937.57262,0
1648515780000,0.26239,0.26239,0.26197,0.26229,74670,1648515839999,19577.27487,66,48775,12786.42977,0
1648515840000,0.26226,0.26226,0.26187,0.26214,32548,1648515899999,8530.76174,65,16499,4324.48345,0
1648515900000,0.26213,0.26241,0.26195,0.26241,27407,1648515959999,7185.65400,48,22622,5930.83828,0
1648515960000,0.26242,0.26260,0.26224,0.26260,40995,1648516019999,10755.96326,63,15325,4021.69632,0
1648516020000,0.26260,0.26313,0.26258,0.26304,74103,1648516079999,19479.35832,118,55329,14544.34983,0
1648516080000,0.26314,0.26327,0.26253,0.26298,145172,1648516139999,38170.62979,153,65538,17234.73511,0
1648516140000,0.26303,0.26395,0.26279,0.26382,282059,1648516199999,74354.06252,231,136072,35874.67687,0
1648516200000,0.26380,0.26404,0.26324,0.26389,219433,1648516259999,57859.80785,223,113077,29818.19250,0
1648516260000,0.26388,0.26427,0.26366,0.26425,121653,1648516319999,32113.05307,108,69071,18241.13578,0
1648516320000,0.26422,0.26474,0.26416,0.26450,126726,1648516379999,33518.34532,155,90670,23982.89276,0
1648516380000,0.26442,0.26540,0.26434,0.26530,241802,1648516439999,64060.56568,236,160913,42642.16274,0
1648516440000,0.26528,0.26548,0.26468,0.26483,201708,1648516499999,53457.97283,195,70341,18651.37470,0
1648516500000,0.26480,0.26506,0.26465,0.26501,61651,1648516559999,16328.20746,67,43391,11492.37850,0
1648516560000,0.26501,0.26517,0.26468,0.26495,58500,1648516619999,15493.98483,83,38261,10133.70404,0
1648516620000,0.26496,0.26508,0.26421,0.26446,73388,1648516679999,19420.81327,80,37316,9876.14636,0
1648516680000,0.26445,0.26451,0.26385,0.26416,132840,1648516739999,35090.05911,153,37650,9948.86527,0
1648516740000,0.26424,0.26424,0.26373,0.26391,32952,1648516799999,8698.77409,39,15361,4054.02471,0
1648516800000,0.26404,0.26404,0.26361,0.26387,51493,1648516859999,13583.76380,64,29062,7666.66004,0
1648516860000,0.26390,0.26412,0.26338,0.26371,98732,1648516919999,26026.14037,91,53286,14046.41300,0
1648516920000,0.26368,0.26368,0.26323,0.26323,89323,1648516979999,23528.16114,82,29760,7839.04060,0
1648516980000,0.26334,0.26361,0.26309,0.26340,98871,1648517039999,26029.67514,100,20244,5331.57173,0
1648517040000,0.26343,0.26355,0.26291,0.26299,118381,1648517099999,31156.21760,112,22026,5797.78084,0
1648517100000,0.26303,0.26391,0.26272,0.26365,112950,1648517159999,29748.20985,129,86881,22878.15086,0
1648517160000,0.26359,0.26375,0.26299,0.26340,66669,1648517219999,17561.23614,96,28763,7577.36144,0
1648517220000,0.26343,0.26412,0.26342,0.26364,70624,1648517279999,18629.67279,82,36860,9723.29440,0
1648517280000,0.26352,0.26387,0.26315,0.26387,113772,1648517339999,29977.23344,121,62023,16342.84956,0
1648517340000,0.26378,0.26410,0.26361,0.26410,217193,1648517399999,57331.55226,147,75877,20026.58687,0
1648517400000,0.26408,0.26421,0.26358,0.26368,54890,1648517459999,14484.15480,63,47215,12459.63798,0
1648517460000,0.26367,0.26434,0.26361,0.26434,210180,1648517519999,55496.84523,181,173358,45780.46594,0
1648517520000,0.26431,0.26466,0.26416,0.26466,57598,1648517579999,15227.70345,59,35241,9316.88435,0
1648517580000,0.26453,0.26487,0.26417,0.26470,142344,1648517639999,37666.82113,134,114431,30283.46431,0
1648517640000,0.26478,0.26482,0.26440,0.26446,34588,1648517699999,9149.68557,51,18383,4863.37447,0
1648517700000,0.26445,0.26486,0.26442,0.26481,54547,1648517759999,14435.22052,61,46157,12215.67906,0
1648517760000,0.26475,0.26514,0.26467,0.26493,33773,1648517819999,8946.07882,42,27142,7190.02807,0
1648517820000,0.26491,0.26518,0.26481,0.26492,48458,1648517879999,12838.40875,52,13409,3552.77965,0
1648517880000,0.26500,0.26514,0.26492,0.26493,75463,1648517939999,19996.83229,44,21940,5813.44959,0
1648517940000,0.26496,0.26556,0.26484,0.26543,95522,1648517999999,25339.64170,95,55453,14712.61982,0
1648518000000,0.26538,0.26592,0.26525,0.26554,101213,1648518059999,26880.58162,129,69350,18419.19682,0
1648518060000,0.26553,0.26580,0.26536,0.26549,96288,1648518119999,25566.04417,79,41726,11077.63204,0
1648518120000,0.26533,0.26674,0.26533,0.26666,321867,1648518179999,85722.70557,358,253367,67479.85478,0
1648518180000,0.26666,0.26669,0.26628,0.26641,57494,1648518239999,15318.37071,89,21340,5687.00336,0
1648518240000,0.26639,0.26653,0.26553,0.26566,305693,1648518299999,81299.61993,265,137456,36553.50882,0
1648518300000,0.26557,0.26650,0.26557,0.26650,228334,1648518359999,60759.87495,223,128523,34209.83417,0
1648518360000,0.26654,0.26735,0.26644,0.26672,357067,1648518419999,95296.33034,332,291675,77852.09786,0
1648518420000,0.26683,0.26701,0.26662,0.26690,44351,1648518479999,11830.92717,77,26137,6972.44843,0
1648518480000,0.26689,0.26731,0.26658,0.26658,160476,1648518539999,42837.22726,163,87433,23342.70463,0
1648518540000,0.26658,0.26695,0.26635,0.26687,177714,1648518599999,47383.05509,155,68883,18369.53333,0
1648518600000,0.26689,0.26691,0.26634,0.26659,160348,1648518659999,42735.17489,125,45161,12040.45856,0
1648518660000,0.26648,0.26670,0.26633,0.26649,104501,1648518719999,27850.45012,64,13210,3520.93290,0
1648518720000,0.26650,0.26688,0.26602,0.26677,309978,1648518779999,82539.61259,186,68122,18154.36784,0
1648518780000,0.26683,0.26683,0.26635,0.26658,42083,1648518839999,11215.93557,48,13295,3543.90476,0
1648518840000,0.26666,0.26681,0.26642,0.26646,29708,1648518899999,7918.71549,54,14595,3890.16698,0
1648518900000,0.26644,0.26653,0.26611,0.26650,53653,1648518959999,14289.82812,61,29872,7957.65967,0
1648518960000,0.26655,0.26665,0.26619,0.26637,61602,1648519019999,16410.11303,79,38585,10278.74699,0
1648519020000,0.26646,0.26664,0.26645,0.26650,25654,1648519079999,6836.87905,68,19329,5151.29198,0
1648519080000,0.26650,0.26650,0.26610,0.26650,71582,1648519139999,19062.29937,106,50981,13576.57967,0
1648519140000,0.26648,0.26696,0.26642,0.26684,268182,1648519199999,71552.32314,155,86244,23004.79075,0
1648519200000,0.26686,0.26728,0.26675,0.26690,340561,1648519259999,90944.18982,214,218907,58457.50520,0
1648519260000,0.26694,0.26761,0.26649,0.26650,198926,1648519319999,53147.26081,232,125124,33443.18775,0
1648519320000,0.26649,0.26696,0.26647,0.26651,272582,1648519379999,72686.76063,206,150455,40126.40073,0
