open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,2.815,2.815,2.802,2.803,62612.5,1648684859999,175807.5868,347,18197.3,51036.1828,0
1648684860000,2.805,2.806,2.802,2.802,9267.1,1648684919999,25986.3033,265,5949.2,16684.8198,0
1648684920000,2.803,2.808,2.802,2.803,25719.9,1648684979999,72139.5412,314,19807.9,55556.4359,0
1648684980000,2.802,2.807,2.802,2.803,28178.3,1648685039999,79023.5778,429,21810.3,61165.6369,0
1648685040000,2.804,2.805,2.801,2.805,10952.9,1648685099999,30694.5734,322,6837.8,19165.3807,0
1648685100000,2.804,2.805,2.801,2.801,15484.0,1648685159999,43397.8631,174,7650.6,21444.6861,0
1648685160000,2.803,2.807,2.800,2.806,74496.0,1648685219999,208794.0032,451,34160.6,95819.7448,0
1648685220000,2.807,2.810,2.803,2.810,30193.4,1648685279999,84716.3301,232,22430.4,62943.2097,0
1648685280000,2.810,2.812,2.807,2.807,22930.9,1648685339999,64428.1469,212,10893.4,30610.8924,0
1648685340000,2.807,2.816,2.807,2.816,39907.1,1648685399999,112197.3989,244,33447.9,94053.1178,0
1648685400000,2.815,2.822,2.812,2.821,55923.7,1648685459999,157585.6321,342,33067.1,93235.4966,0
1648685460000,2.821,2.824,2.819,2.824,10595.4,1648685519999,29903.7560,148,7366.6,20792.2321,0
1648685520000,2.824,2.831,2.821,2.831,51063.3,1648685579999,144348.2583,353,36495.1,103179.6496,0
1648685580000,2.830,2.834,2.829,2.832,20020.5,1648685639999,56678.4201,205,8078.5,22875.1425,0
1648685640000,2.831,2.833,2.829,2.831,15660.7,1648685699999,44334.1540,148,5562.1,15748.2817,0
1648685700000,2.830,2.854,2.830,2.831,666217.5,1648685759999,1893454.0913,2329,355678.7,1011006.9560,0
1648685760000,2.831,2.843,2.829,2.841,55962.8,1648685819999,158818.0906,363,44447.4,126117.0263,0
1648685820000,2.841,2.843,2.837,2.839,45167.9,1648685879999,128288.2230,297,19916.9,56589.0185,0
