open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,1.44400,1.44500,1.44400,1.44500,15379,1648425659999,22220.68200,60,11884,17171.89500,0
1648425660000,1.44400,1.44600,1.44300,1.44400,5841,1648425719999,8436.05500,51,1338,1932.98100,0
1648425720000,1.44500,1.44600,1.44100,1.44100,15454,1648425779999,22301.74400,78,3089,4457.91100,0
1648425780000,1.44100,1.44200,1.43800,1.43800,27103,1648425839999,39007.83200,141,5639,8116.68000,0
1648425840000,1.43800,1.43800,1.43200,1.43600,30778,1648425899999,44128.66600,120,5485,7871.27000,0
1648425900000,1.43600,1.43700,1.43500,1.43500,9418,1648425959999,13525.54400,56,5675,8153.13200,0
1648425960000,1.43500,1.43500,1.43400,1.43400,3734,1648426019999,5357.74000,30,2315,3322.02500,0
1648426020000,1.43400,1.43500,1.42700,1.42800,42670,1648426079999,60998.40900,161,2240,3202.88100,0
1648426080000,1.42900,1.43100,1.42900,1.42900,8552,1648426139999,12226.36900,49,4496,6426.10600,0
1648426140000,1.42900,1.43200,1.42900,1.43200,8098,1648426199999,11587.85500,45,8094,11582.13100,0
1648426200000,1.43300,1.43600,1.43200,1.43600,5133,1648426259999,7360.48100,25,5073,7274.56100,0
1648426260000,1.43500,1.43600,1.43500,1.43500,598,1648426319999,858.26700,24,137,196.73200,0
1648426320000,1.43500,1.43600,1.43200,1.43200,8200,1648426379999,11760.24300,84,1825,2617.64900,0
1648426380000,1.43200,1.43400,1.43200,1.43400,5039,1648426439999,7221.36500,47,1615,2314.84600,0
1648426440000,1.43400,1.43400,1.43200,1.43200,3916,1648426499999,5609.67800,37,550,788.24600,0
1648426500000,1.43200,1.43300,1.43100,1.43100,4564,1648426559999,6539.70700,35,2576,3691.31800,0
1648426560000,1.43200,1.43200,1.43000,1.43100,3961,1648426619999,5670.45600,36,1723,2466.91000,0
1648426620000,1.43100,1.43200,1.43000,1.43200,8657,1648426679999,12388.79100,58,3192,4570.49500,0
1648426680000,1.43200,1.43300,1.43100,1.43200,4845,1648426739999,6936.78500,45,2884,4130.02200,0
1648426740000,1.43200,1.43500,1.43200,1.43400,4615,1648426799999,6616.22400,30,3630,5203.16100,0
1648426800000,1.43300,1.43500,1.43300,1.43400,755,1648426859999,1082.62300,17,209,299.79300,0
1648426860000,1.43300,1.43300,1.43100,1.43200,19109,1648426919999,27364.14100,56,883,1264.91300,0
1648426920000,1.43100,1.43200,1.43000,1.43000,7777,1648426979999,11127.68900,41,1115,1596.59200,0
1648426980000,1.43000,1.43100,1.42900,1.43000,4506,1648427039999,6444.72000,33,1156,1654.23600,0
1648427040000,1.42900,1.43100,1.42900,1.43000,4684,1648427099999,6698.26800,35,2708,3872.68000,0
1648427100000,1.43000,1.43200,1.43000,1.43200,3100,1648427159999,4436.26300,33,3049,4363.28600,0
1648427160000,1.43200,1.43300,1.42900,1.42900,8555,1648427219999,12243.15100,83,3409,4881.13200,0
1648427220000,1.43100,1.43200,1.42900,1.43200,2357,1648427279999,3371.21600,42,1192,1705.33200,0
1648427280000,1.43200,1.43200,1.43000,1.43100,1229,1648427339999,1758.90200,23,579,828.79200,0
1648427340000,1.43100,1.43200,1.43000,1.43200,1044,1648427399999,1494.02400,16,832,1190.68800,0
1648427400000,1.43100,1.43200,1.43100,1.43100,993,1648427459999,1421.81000,18,827,1184.26400,0
1648427460000,1.43200,1.43500,1.43200,1.43400,7723,1648427519999,11070.59300,47,6460,9260.48000,0
1648427520000,1.43400,1.43700,1.43400,1.43700,21213,1648427579999,30456.00100,112,11953,17162.43000,0
1648427580000,1.43600,1.44000,1.43600,1.44000,5801,1648427639999,8344.39100,45,3222,4633.64600,0
1648427640000,1.44100,1.44400,1.43800,1.43900,44633,1648427699999,64339.25600,252,15634,22547.74500,0
1648427700000,1.43900,1.44200,1.43800,1.44100,8053,1648427759999,11599.62600,93,1720,2477.43100,0
1648427760000,1.44100,1.44200,1.44000,1.44000,5996,1648427819999,8640.17400,56,3668,5286.40200,0
1648427820000,1.44100,1.44100,1.44000,1.44100,3281,1648427879999,4727.87300,27,1567,2258.04700,0
1648427880000,1.44100,1.44100,1.43800,1.43800,5016,1648427939999,7221.30700,33,499,718.12600,0
1648427940000,1.43700,1.43700,1.43600,1.43700,5659,1648427999999,8129.07200,44,2247,3228.01800,0
1648428000000,1.43700,1.43700,1.43600,1.43700,6587,1648428059999,9462.77200,42,3733,5362.78900,0
1648428060000,1.43600,1.43700,1.43500,1.43700,2463,1648428119999,3536.86400,22,1441,2069.28800,0
1648428120000,1.43600,1.43600,1.43400,1.43400,3002,1648428179999,4308.46000,32,178,255.60800,0
1648428180000,1.43500,1.43600,1.43400,1.43400,3418,1648428239999,4903.64900,28,1475,2116.62300,0
1648428240000,1.43400,1.43500,1.43300,1.43400,3621,1648428299999,5193.62500,35,3015,4324.64100,0
1648428300000,1.43300,1.43300,1.42500,1.42500,19992,1648428359999,28557.08000,82,820,1173.07900,0
1648428360000,1.42600,1.42800,1.42500,1.42700,7649,1648428419999,10915.80900,46,4088,5835.39900,0
1648428420000,1.42700,1.42800,1.42700,1.42700,6968,1648428479999,9944.39800,43,3659,5221.91500,0
1648428480000,1.42700,1.42900,1.42700,1.42900,4698,1648428539999,6706.21100,25,3568,5093.52900,0
1648428540000,1.42900,1.42900,1.42700,1.42800,8119,1648428599999,11593.74700,47,2012,2873.24200,0
1648428600000,1.42900,1.42900,1.42500,1.42600,9892,1648428659999,14103.98300,49,3457,4927.76200,0
1648428660000,1.42700,1.42900,1.42600,1.42800,7355,1648428719999,10498.90100,43,2585,3691.29100,0
1648428720000,1.42800,1.43100,1.42800,1.43100,1546,1648428779999,2210.75000,15,1545,2209.32200,0
1648428780000,1.43100,1.43200,1.43000,1.43000,3809,1648428839999,5449.76500,33,2433,3481.31400,0
1648428840000,1.43100,1.43100,1.43000,1.43000,1885,1648428899999,2696.46200,20,1198,1713.76400,0
1648428900000,1.43000,1.43000,1.42900,1.42900,3999,1648428959999,5715.39700,19,0,0.00000,0
1648428960000,1.42900,1.43000,1.42800,1.42800,7326,1648429019999,10469.08700,32,1213,1734.02100,0
1648429020000,1.43000,1.43100,1.42900,1.43000,8862,1648429079999,12675.09800,41,8134,11633.81400,0
1648429080000,1.43000,1.43100,1.43000,1.43100,427,1648429139999,610.61500,9,23,32.89500,0
1648429140000,1.43100,1.43400,1.43100,1.43400,1767,1648429199999,2530.16200,15,1492,2136.43200,0
1648429200000,1.43400,1.43500,1.43100,1.43100,12528,1648429259999,17951.65700,94,9485,13591.34200,0
1648429260000,1.43100,1.43300,1.43000,1.43000,5036,1648429319999,7209.50500,40,3425,4904.17300,0
1648429320000,1.43100,1.43100,1.42900,1.43000,4555,1648429379999,6514.08100,34,958,1370.28400,0
1648429380000,1.43000,1.43100,1.42900,1.43000,4091,1648429439999,5850.51300,23,3507,5015.04500,0
1648429440000,1.43000,1.43000,1.42900,1.42900,132,1648429499999,188.75000,10,0,0.00000,0
1648429500000,1.43000,1.43200,1.42900,1.43200,5634,1648429559999,8056.73400,28,3812,5452.91700,0
1648429560000,1.43100,1.43200,1.43100,1.43200,243,1648429619999,347.96500,5,0,0.00000,0
1648429620000,1.43200,1.43200,1.43100,1.43100,1810,1648429679999,2591.90100,9,0,0.00000,0
1648429680000,1.43200,1.43300,1.43200,1.43200,1059,1648429739999,1516.62500,17,1039,1487.98500,0
1648429740000,1.43200,1.43200,1.43100,1.43100,856,1648429799999,1225.60000,9,0,0.00000,0
1648429800000,1.43100,1.43400,1.43100,1.43400,2691,1648429859999,3856.08700,21,2216,3176.18200,0
1648429860000,1.43400,1.43500,1.43400,1.43400,1174,1648429919999,1683.94700,19,1037,1487.48900,0
1648429920000,1.43500,1.43600,1.43500,1.43600,1965,1648429979999,2821.20200,21,1717,2465.32200,0
1648429980000,1.43600,1.43700,1.43500,1.43600,755,1648430039999,1084.17600,11,707,1015.28200,0
1648430040000,1.43700,1.43700,1.43500,1.43500,983,1648430099999,1412.14500,16,633,909.62100,0
1648430100000,1.43600,1.43600,1.43600,1.43600,296,1648430159999,425.05600,1,296,425.05600,0
1648430160000,1.43500,1.43500,1.43400,1.43500,1854,1648430219999,2659.26400,19,117,167.89500,0
1648430220000,1.43500,1.43500,1.43300,1.43300,2145,1648430279999,3074.75500,20,141,202.33500,0
1648430280000,1.43300,1.43400,1.43300,1.43300,903,1648430339999,1294.73300,7,734,1052.55600,0
1648430340000,1.43300,1.43400,1.43300,1.43400,4824,1648430399999,6913.08000,36,3214,4605.95000,0
1648430400000,1.43500,1.43500,1.43400,1.43500,1194,1648430459999,1713.30100,13,533,764.85500,0
1648430460000,1.43500,1.43600,1.43500,1.43500,2526,1648430519999,3625.53100,17,754,1082.71100,0
1648430520000,1.43600,1.43600,1.43400,1.43400,4839,1648430579999,6947.28700,34,3601,5170.89700,0
1648430580000,1.43400,1.43600,1.43400,1.43600,1740,1648430639999,2498.06300,15,1723,2473.67200,0
