open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,0.4673,0.4699,0.4665,0.4668,74779,1648771259999,35018.6405,150,46327,21716.2022,0
1648771260000,0.4666,0.4673,0.4650,0.4650,43066,1648771319999,20078.4173,120,11516,5375.1451,0
1648771320000,0.4652,0.4701,0.4647,0.4701,186876,1648771379999,87149.4598,261,136998,63918.5586,0
1648771380000,0.4700,0.4714,0.4684,0.4696,143955,1648771439999,67663.0121,273,59502,28001.0068,0
1648771440000,0.4695,0.4709,0.4691,0.4704,48799,1648771499999,22933.1539,154,27236,12806.8536,0
1648771500000,0.4706,0.4714,0.4704,0.4710,29942,1648771559999,14100.6733,82,22381,10539.2446,0
1648771560000,0.4710,0.4725,0.4709,0.4718,127545,1648771619999,60165.1675,208,80290,37887.2908,0
1648771620000,0.4718,0.4722,0.4710,0.4721,36333,1648771679999,17141.1850,112,22493,10615.7888,0
1648771680000,0.4721,0.4726,0.4706,0.4725,130740,1648771739999,61651.2940,188,42474,20041.4776,0
1648771740000,0.4723,0.4751,0.4717,0.4748,102220,1648771799999,48417.3631,249,62540,29634.2984,0
1648771800000,0.4749,0.4751,0.4723,0.4731,49053,1648771859999,23233.3680,138,12759,6045.8431,0
1648771860000,0.4731,0.4743,0.4721,0.4728,82770,1648771919999,39154.1765,159,25301,11977.0992,0
1648771920000,0.4735,0.4756,0.4734,0.4753,32986,1648771979999,15648.7930,117,24612,11677.4836,0
1648771980000,0.4754,0.4764,0.4747,0.4764,110128,1648772039999,52393.2127,237,52389,24927.0801,0
1648772040000,0.4761,0.4790,0.4758,0.4785,149584,1648772099999,71434.9102,372,109390,52245.2749,0
1648772100000,0.4787,0.4794,0.4775,0.4787,145530,1648772159999,69654.4790,328,38503,18437.0405,0
1648772160000,0.4788,0.4825,0.4777,0.4825,282066,1648772219999,135419.6416,467,187826,90207.1860,0
1648772220000,0.4825,0.4860,0.4824,0.4857,225967,1648772279999,109410.1930,511,101357,49086.4079,0
1648772280000,0.4858,0.4869,0.4831,0.4837,273525,1648772339999,132807.7442,446,124901,60721.6266,0
1648772340000,0.4835,0.4835,0.4817,0.4817,136303,1648772399999,65761.3503,258,69738,33655.2739,0
1648772400000,0.4818,0.4825,0.4815,0.4824,134779,1648772459999,64919.0390,195,52268,25185.5817,0
1648772460000,0.4824,0.4855,0.4824,0.4853,126046,1648772519999,60996.4034,207,44570,21566.7192,0
1648772520000,0.4854,0.4887,0.4853,0.4878,153922,1648772579999,75035.0583,306,89249,43496.3616,0
1648772580000,0.4874,0.4904,0.4873,0.4890,261516,1648772639999,127911.6096,418,121927,59633.3406,0
1648772640000,0.4892,0.4956,0.4892,0.4952,222621,1648772699999,109776.9788,517,168887,83287.4167,0
1648772700000,0.4956,0.4979,0.4947,0.4953,412387,1648772759999,204655.7796,711,199733,99113.9823,0
1648772760000,0.4953,0.4954,0.4920,0.4939,220953,1648772819999,109063.8795,433,58958,29111.4109,0
1648772820000,0.4943,0.4947,0.4901,0.4907,189478,1648772879999,93177.5485,375,39793,19580.5184,0
1648772880000,0.4905,0.4955,0.4903,0.4951,225711,1648772939999,111415.5784,334,106926,52722.4789,0
1648772940000,0.4952,0.4965,0.4942,0.4954,332337,1648772999999,164628.4614,433,163211,80861.7516,0
1648773000000,0.4953,0.4960,0.4900,0.4905,210741,1648773059999,104001.1404,383,60735,30004.9028,0
1648773060000,0.4905,0.4986,0.4893,0.4965,523454,1648773119999,259034.5422,851,374870,185588.9147,0
1648773120000,0.4966,0.4984,0.4920,0.4940,467617,1648773179999,231834.7897,755,185128,91820.8198,0
1648773180000,0.4940,0.4957,0.4921,0.4937,255044,1648773239999,125976.7906,455,161348,79716.7496,0
1648773240000,0.4937,0.4949,0.4933,0.4939,120015,1648773299999,59306.9393,248,86819,42911.5545,0
1648773300000,0.4939,0.4977,0.4933,0.4951,157937,1648773359999,78294.8914,349,74920,37139.6618,0
1648773360000,0.4951,0.4984,0.4943,0.4977,149465,1648773419999,74231.2004,303,94964,47189.0601,0
1648773420000,0.4981,0.4984,0.4947,0.4953,149013,1648773479999,74073.2448,317,50423,25096.9756,0
1648773480000,0.4953,0.4965,0.4940,0.4943,196381,1648773539999,97257.3857,299,62720,31079.2652,0
1648773540000,0.4941,0.4962,0.4941,0.4962,54378,1648773599999,26923.5923,146,39781,19698.0516,0
1648773600000,0.4962,0.4963,0.4951,0.4951,54022,1648773659999,26777.5113,119,7307,3621.6187,0
1648773660000,0.4952,0.4984,0.4948,0.4981,148768,1648773719999,73870.1258,217,111427,55377.2982,0
1648773720000,0.4980,0.5000,0.4971,0.4980,440413,1648773779999,219645.8278,690,238951,119242.6325,0
1648773780000,0.4983,0.5009,0.4983,0.5004,287805,1648773839999,143904.2444,526,168504,84278.5573,0
1648773840000,0.5005,0.5028,0.4993,0.5025,342937,1648773899999,171981.3854,639,196511,98561.4902,0
1648773900000,0.5023,0.5075,0.5013,0.5053,698352,1648773959999,352663.9932,1047,429604,216966.7681,0
1648773960000,0.5053,0.5076,0.5052,0.5066,288367,1648774019999,145999.7800,644,146284,74093.8418,0
1648774020000,0.5064,0.5069,0.4970,0.4985,739761,1648774079999,370795.8431,1053,134446,67442.3394,0
1648774080000,0.4988,0.5017,0.4980,0.4981,332762,1648774139999,166403.1819,642,203327,101733.7002,0
