open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,0.34170,0.34174,0.34096,0.34101,124536,1648425659999,42498.06373,116,16550,5651.53743,0
1648425660000,0.34099,0.34287,0.34074,0.34250,223395,1648425719999,76406.35954,306,156272,53453.85986,0
1648425720000,0.34246,0.34296,0.34229,0.34296,108260,1648425779999,37104.30995,117,69349,23770.50756,0
1648425780000,0.34278,0.34317,0.34209,0.34218,173939,1648425839999,59631.42909,227,95233,32655.98141,0
1648425840000,0.34202,0.34255,0.34121,0.34121,264992,1648425899999,90626.79813,214,152319,52111.42933,0
1648425900000,0.34113,0.34155,0.34086,0.34105,111585,1648425959999,38058.73262,96,53797,18354.92543,0
1648425960000,0.34120,0.34141,0.34092,0.34096,109899,1648426019999,37503.56886,96,35123,11985.39727,0
1648426020000,0.34094,0.34107,0.34023,0.34075,154887,1648426079999,52755.31427,146,58064,19778.05592,0
1648426080000,0.34079,0.34103,0.34028,0.34028,40601,1648426139999,13834.99954,66,13350,4550.77454,0
1648426140000,0.34058,0.34136,0.34055,0.34132,37067,1648426199999,12636.95569,59,21375,7286.59810,0
1648426200000,0.34124,0.34157,0.34105,0.34157,58667,1648426259999,20022.64039,69,17805,6077.52348,0
1648426260000,0.34159,0.34183,0.34135,0.34160,52470,1648426319999,17922.78745,71,11131,3802.23377,0
1648426320000,0.34170,0.34176,0.34108,0.34108,12207,1648426379999,4167.20323,43,9755,3330.16126,0
1648426380000,0.34106,0.34210,0.34106,0.34197,84680,1648426439999,28928.26492,98,66553,22732.94382,0
1648426440000,0.34192,0.34196,0.34154,0.34154,10965,1648426499999,3748.46226,44,7180,2454.84092,0
1648426500000,0.34154,0.34170,0.34131,0.34145,38625,1648426559999,13188.86812,96,10397,3550.69945,0
1648426560000,0.34156,0.34184,0.34127,0.34143,15869,1648426619999,5419.73331,58,4486,1532.35530,0
1648426620000,0.34149,0.34198,0.34149,0.34185,62275,1648426679999,21283.62482,64,50952,17413.60708,0
1648426680000,0.34188,0.34205,0.34166,0.34200,13688,1648426739999,4679.91484,47,11720,4007.18828,0
1648426740000,0.34200,0.34253,0.34200,0.34233,22331,1648426799999,7642.14083,42,19703,6742.80303,0
1648426800000,0.34246,0.34253,0.34220,0.34220,27431,1648426859999,9391.89718,52,7613,2606.62864,0
1648426860000,0.34212,0.34233,0.34184,0.34222,27486,1648426919999,9402.26387,78,15014,5136.55234,0
1648426920000,0.34219,0.34244,0.34204,0.34234,22409,1648426979999,7670.20156,55,17452,5973.92209,0
1648426980000,0.34215,0.34232,0.34215,0.34220,15014,1648427039999,5138.43860,38,3939,1348.17804,0
1648427040000,0.34225,0.34236,0.34165,0.34196,127794,1648427099999,43704.66419,122,62130,21251.43911,0
1648427100000,0.34203,0.34245,0.34174,0.34245,95259,1648427159999,32590.80882,94,50400,17246.02769,0
1648427160000,0.34246,0.34269,0.34214,0.34269,157596,1648427219999,53968.23825,102,80606,27609.00163,0
1648427220000,0.34271,0.34367,0.34248,0.34358,119744,1648427279999,41092.38876,187,97631,33509.63624,0
1648427280000,0.34359,0.34360,0.34290,0.34297,24916,1648427339999,8549.24690,61,10255,3518.21196,0
1648427340000,0.34296,0.34320,0.34264,0.34290,62648,1648427399999,21481.34762,101,37881,12989.63074,0
1648427400000,0.34276,0.34282,0.34208,0.34219,75999,1648427459999,26019.35380,129,23754,8133.21229,0
1648427460000,0.34239,0.34278,0.34239,0.34278,14644,1648427519999,5015.74953,52,11213,3840.79310,0
1648427520000,0.34273,0.34353,0.34255,0.34331,244708,1648427579999,83947.47894,261,66277,22739.89721,0
1648427580000,0.34325,0.34407,0.34325,0.34407,99989,1648427639999,34365.56504,237,67884,23337.54126,0
1648427640000,0.34411,0.34551,0.34358,0.34448,528129,1648427699999,181994.71811,568,259816,89546.30521,0
1648427700000,0.34442,0.34466,0.34397,0.34433,68326,1648427759999,23528.11280,144,32983,11357.14024,0
1648427760000,0.34447,0.34447,0.34372,0.34423,100625,1648427819999,34621.99320,143,45988,15824.75795,0
1648427820000,0.34414,0.34434,0.34294,0.34357,332744,1648427879999,114296.20690,197,30880,10616.38068,0
1648427880000,0.34342,0.34359,0.34258,0.34288,58523,1648427939999,20072.11837,99,14251,4889.30076,0
1648427940000,0.34283,0.34348,0.34279,0.34328,132442,1648427999999,45457.98926,167,79595,27319.64452,0
1648428000000,0.34316,0.34376,0.34295,0.34315,72322,1648428059999,24831.49431,121,38726,13297.90323,0
1648428060000,0.34315,0.34344,0.34300,0.34311,45378,1648428119999,15572.00827,94,24737,8489.61551,0
1648428120000,0.34315,0.34338,0.34253,0.34292,36935,1648428179999,12664.30857,98,28998,9943.21178,0
