open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,133.10,133.10,132.41,132.73,597.639,1648684859999,79296.28300,315,361.132,47904.05658,0
1648684860000,132.77,132.83,132.54,132.61,139.021,1648684919999,18449.52547,112,69.198,9182.38464,0
1648684920000,132.64,132.85,132.52,132.56,203.256,1648684979999,26974.54979,122,65.686,8718.56634,0
1648684980000,132.52,132.84,132.52,132.62,166.254,1648685039999,22053.65674,103,69.888,9267.61550,0
1648685040000,132.61,132.61,132.26,132.34,331.464,1648685099999,43877.97319,179,179.937,23820.95212,0
1648685100000,132.36,132.44,132.18,132.19,297.134,1648685159999,39298.97866,219,120.347,15920.56241,0
1648685160000,132.19,132.30,132.05,132.29,450.899,1648685219999,59590.70051,272,209.387,27680.93094,0
1648685220000,132.29,132.44,132.17,132.44,165.975,1648685279999,21949.35911,135,60.135,7953.66542,0
1648685280000,132.47,132.52,132.31,132.31,220.165,1648685339999,29145.66942,130,80.205,10619.75486,0
1648685340000,132.30,132.59,132.26,132.59,481.658,1648685399999,63773.69871,210,373.833,49500.84148,0
1648685400000,132.61,132.86,132.61,132.82,136.326,1648685459999,18099.77047,103,78.840,10466.26134,0
1648685460000,132.82,133.01,132.73,133.01,281.037,1648685519999,37342.21855,152,223.020,29637.88663,0
1648685520000,133.01,133.25,132.95,133.25,398.273,1648685579999,53016.37139,210,299.513,39873.99350,0
1648685580000,133.26,133.45,133.26,133.34,512.547,1648685639999,68354.76209,315,212.296,28318.59817,0
1648685640000,133.31,133.34,133.12,133.31,120.153,1648685699999,16008.70557,146,45.304,6034.44538,0
1648685700000,133.30,133.42,133.30,133.31,203.274,1648685759999,27110.07423,208,75.581,10081.08961,0
1648685760000,133.31,133.50,133.15,133.50,218.545,1648685819999,29152.34931,199,155.820,20787.49078,0
1648685820000,133.50,133.50,133.26,133.26,74.299,1648685879999,9911.35053,174,4.803,640.91515,0
1648685880000,133.26,133.31,133.13,133.27,185.470,1648685939999,24712.08256,178,118.648,15810.40407,0
1648685940000,133.29,133.35,133.17,133.31,174.037,1648685999999,23192.12171,136,52.017,6933.88149,0
1648686000000,133.30,133.51,133.29,133.50,375.466,1648686059999,50082.33404,188,94.943,12665.85201,0
1648686060000,133.51,133.71,133.51,133.65,284.555,1648686119999,38019.36315,224,156.446,20903.25345,0
1648686120000,133.69,133.75,133.61,133.68,354.949,1648686179999,47446.16247,232,86.499,11566.52735,0
1648686180000,133.68,133.69,133.52,133.62,125.361,1648686239999,16750.98980,136,42.836,5724.42364,0
1648686240000,133.60,133.70,133.52,133.61,96.697,1648686299999,12922.39960,133,59.708,7979.54934,0
