open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,2267.6,2267.8,2260.8,2260.8,0.779,1648684859999,1765.3705,17,0.240,543.5755,0
1648684860000,2261.3,2261.9,2258.0,2258.4,0.388,1648684919999,877.1980,16,0.008,18.0777,0
1648684920000,2259.6,2262.8,2258.0,2258.0,1.817,1648684979999,4109.6078,29,0.507,1146.2769,0
1648684980000,2257.9,2262.0,2257.9,2258.3,0.707,1648685039999,1598.1366,21,0.226,510.7606,0
1648685040000,2259.0,2259.0,2258.0,2258.5,0.116,1648685099999,262.0025,9,0.043,97.1017,0
1648685100000,2257.8,2258.6,2257.4,2258.6,0.296,1648685159999,668.2567,11,0.209,471.8248,0
1648685160000,2258.2,2262.1,2258.2,2261.4,1.209,1648685219999,2732.7084,26,1.162,2626.4814,0
1648685220000,2261.8,2264.8,2261.6,2264.7,1.113,1648685279999,2519.4262,15,1.036,2345.2830,0
1648685280000,2264.7,2266.2,2262.8,2264.3,1.925,1648685339999,4359.7829,19,1.701,3852.8671,0
1648685340000,2263.6,2266.7,2263.6,2266.7,0.576,1648685399999,1304.5898,12,0.544,1232.0647,0
1648685400000,2266.8,2270.3,2266.8,2269.9,2.037,1648685459999,4622.3854,36,0.561,1273.0080,0
1648685460000,2269.4,2271.2,2268.6,2270.7,2.667,1648685519999,6053.2518,35,0.310,703.4633,0
1648685520000,2271.4,2274.8,2271.0,2273.8,3.120,1648685579999,7088.2662,35,1.894,4302.1957,0
1648685580000,2274.6,2276.3,2274.6,2276.1,1.364,1648685639999,3103.7025,25,1.150,2616.7315,0
1648685640000,2276.5,2277.5,2275.0,2277.0,0.685,1648685699999,1559.3706,19,0.520,1183.9117,0
1648685700000,2276.7,2277.0,2274.9,2274.9,3.089,1648685759999,7029.8855,21,1.185,2697.6651,0
1648685760000,2274.7,2277.8,2273.6,2277.8,1.174,1648685819999,2671.5688,27,0.634,1443.4028,0
1648685820000,2277.6,2277.6,2276.3,2276.3,0.467,1648685879999,1063.2201,15,0.063,143.4189,0
1648685880000,2275.9,2276.4,2274.0,2275.2,0.097,1648685939999,220.7601,7,0.091,207.1146,0
1648685940000,2275.1,2276.6,2274.4,2275.9,0.147,1648685999999,334.4771,12,0.110,250.2703,0
1648686000000,2275.3,2276.2,2275.1,2275.2,0.242,1648686059999,550.7402,13,0.013,29.5776,0
1648686060000,2275.5,2277.3,2275.5,2277.3,0.170,1648686119999,386.9107,12,0.095,216.2182,0
1648686120000,2276.8,2278.5,2276.7,2278.4,0.469,1648686179999,1068.3749,15,0.032,72.8784,0
1648686180000,2277.6,2277.7,2276.0,2276.0,4.314,1648686239999,9823.3763,14,0.068,154.8547,0
