open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,0.003334,0.003335,0.003322,0.003324,18293750,1648684859999,60885.364068,138,4960176,16500.793174,0
1648684860000,0.003325,0.003326,0.003321,0.003321,3197597,1648684919999,10623.037312,53,824891,2741.199718,0
1648684920000,0.003322,0.003330,0.003320,0.003320,11132083,1648684979999,37022.900856,122,7380892,24549.056367,0
1648684980000,0.003320,0.003329,0.003317,0.003324,15695879,1648685039999,52141.903473,183,6729228,22365.480381,0
1648685040000,0.003325,0.003325,0.003317,0.003320,9022181,1648685099999,29955.419150,63,1967116,6530.452173,0
1648685100000,0.003320,0.003321,0.003317,0.003320,6745436,1648685159999,22389.465401,72,4930685,16367.889566,0
1648685160000,0.003319,0.003327,0.003318,0.003327,5627943,1648685219999,18692.148357,62,3688544,12254.286733,0
1648685220000,0.003327,0.003331,0.003326,0.003331,5452888,1648685279999,18147.154883,53,3739673,12447.210623,0
1648685280000,0.003332,0.003333,0.003330,0.003330,2357058,1648685339999,7852.482158,34,1122780,3740.888088,0
1648685340000,0.003330,0.003335,0.003330,0.003335,3280195,1648685399999,10931.814668,52,1960541,6534.308348,0
1648685400000,0.003335,0.003344,0.003335,0.003343,5200740,1648685459999,17372.234892,107,3051086,10190.336456,0
1648685460000,0.003344,0.003346,0.003343,0.003346,1935289,1648685519999,6473.803541,40,781029,2613.267537,0
1648685520000,0.003346,0.003354,0.003346,0.003354,5994341,1648685579999,20075.536189,111,3408473,11415.570771,0
1648685580000,0.003353,0.003357,0.003353,0.003355,10058706,1648685639999,33744.566067,113,3081426,10339.374512,0
1648685640000,0.003356,0.003357,0.003354,0.003357,3938891,1648685699999,13215.395925,39,1823481,6118.800196,0
1648685700000,0.003356,0.003359,0.003356,0.003356,7022479,1648685759999,23572.690579,77,4130141,13864.772787,0
1648685760000,0.003356,0.003365,0.003353,0.003364,11819885,1648685819999,39695.037845,144,7377883,24790.799939,0
1648685820000,0.003365,0.003365,0.003361,0.003362,4019101,1648685879999,13514.780227,75,834267,2806.332350,0
1648685880000,0.003361,0.003362,0.003358,0.003361,10057415,1648685939999,33799.474558,104,7212759,24240.989384,0
1648685940000,0.003361,0.003363,0.003360,0.003361,2433324,1648685999999,8179.663608,51,1483494,4987.375583,0
1648686000000,0.003363,0.003364,0.003360,0.003363,3501146,1648686059999,11771.725410,60,1839753,6187.356427,0
1648686060000,0.003363,0.003366,0.003362,0.003365,5636865,1648686119999,18964.258410,58,3313863,11152.585922,0
1648686120000,0.003366,0.003371,0.003364,0.003367,8912433,1648686179999,30009.354414,85,4923030,16576.270741,0
