open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,0.03395,0.03395,0.03382,0.03383,2507558,1648684859999,84994.63062,263,616810,20887.79167,0
1648684860000,0.03384,0.03394,0.03383,0.03387,2276048,1648684919999,77123.79220,312,1521877,51572.70222,0
1648684920000,0.03388,0.03399,0.03387,0.03387,1402517,1648684979999,47592.79494,244,659770,22380.58292,0
1648684980000,0.03387,0.03394,0.03385,0.03386,1114200,1648685039999,37757.23859,112,794924,26934.07198,0
1648685040000,0.03388,0.03392,0.03385,0.03392,466384,1648685099999,15804.02968,68,255421,8656.89002,0
1648685100000,0.03392,0.03393,0.03387,0.03389,1080065,1648685159999,36620.23855,113,681603,23107.11657,0
1648685160000,0.03389,0.03395,0.03382,0.03395,2007648,1648685219999,68019.87233,223,749347,25407.82109,0
1648685220000,0.03395,0.03402,0.03391,0.03401,2018970,1648685279999,68609.01555,240,986489,33527.67408,0
1648685280000,0.03402,0.03408,0.03399,0.03406,844386,1648685339999,28747.92190,140,562145,19142.66989,0
1648685340000,0.03403,0.03413,0.03401,0.03410,1543277,1648685399999,52597.56846,144,1343363,45786.15091,0
1648685400000,0.03411,0.03418,0.03411,0.03415,1190333,1648685459999,40644.83189,129,712184,24319.84669,0
1648685460000,0.03414,0.03419,0.03409,0.03416,981579,1648685519999,33523.92865,142,686767,23459.35849,0
1648685520000,0.03417,0.03431,0.03414,0.03429,1164790,1648685579999,39880.11547,231,853816,29242.01618,0
1648685580000,0.03430,0.03432,0.03425,0.03428,555376,1648685639999,19044.32579,160,134874,4625.72202,0
1648685640000,0.03427,0.03431,0.03417,0.03417,1047220,1648685699999,35836.79079,198,172851,5916.43621,0
1648685700000,0.03417,0.03422,0.03411,0.03418,2480310,1648685759999,84703.04183,259,1233949,42136.18247,0
1648685760000,0.03417,0.03419,0.03412,0.03418,578868,1648685819999,19781.91862,137,391497,13381.74038,0
1648685820000,0.03418,0.03419,0.03412,0.03412,917155,1648685879999,31335.48050,147,620166,21192.35916,0
1648685880000,0.03412,0.03414,0.03407,0.03412,630893,1648685939999,21512.06390,120,80027,2728.86154,0
1648685940000,0.03412,0.03416,0.03410,0.03414,268216,1648685999999,9152.80838,116,98543,3363.17172,0
1648686000000,0.03414,0.03415,0.03410,0.03414,254119,1648686059999,8672.75112,146,71899,2454.11134,0
1648686060000,0.03414,0.03418,0.03412,0.03417,444394,1648686119999,15178.61693,132,338604,11566.32784,0
1648686120000,0.03418,0.03425,0.03417,0.03424,667695,1648686179999,22840.24607,87,409815,14013.37146,0
1648686180000,0.03423,0.03427,0.03423,0.03427,564516,1648686239999,19331.65368,51,272750,9341.50673,0
1648686240000,0.03426,0.03431,0.03426,0.03428,512822,1648686299999,17579.21178,87,380164,13032.54439,0
