open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,0.546,0.547,0.544,0.544,154696.8,1648684859999,84359.6620,147,4016.1,2193.4707,0
1648684860000,0.544,0.544,0.540,0.540,129703.1,1648684919999,70331.9282,178,7223.9,3922.5351,0
1648684920000,0.541,0.542,0.539,0.541,100497.3,1648684979999,54327.3191,267,63391.2,34275.5802,0
1648684980000,0.540,0.541,0.539,0.539,23446.8,1648685039999,12664.1937,77,5651.9,3057.6779,0
1648685040000,0.540,0.540,0.538,0.538,107070.7,1648685099999,57625.3838,173,62908.8,33849.6551,0
1648685100000,0.539,0.539,0.538,0.538,10405.9,1648685159999,5608.6620,32,10287.8,5545.1242,0
1648685160000,0.538,0.539,0.538,0.539,33434.4,1648685219999,18017.8721,53,29623.7,15967.1743,0
1648685220000,0.539,0.540,0.538,0.539,61951.1,1648685279999,33398.5363,90,27736.4,14957.1126,0
1648685280000,0.540,0.540,0.538,0.539,46252.5,1648685339999,24934.4487,88,9204.9,4966.7581,0
1648685340000,0.539,0.540,0.539,0.540,14327.4,1648685399999,7736.0653,19,13596.7,7342.2180,0
1648685400000,0.540,0.541,0.540,0.541,106076.0,1648685459999,57376.8916,181,81383.3,44019.1233,0
1648685460000,0.541,0.541,0.540,0.540,44422.8,1648685519999,24026.8731,60,22827.1,12349.4611,0
1648685520000,0.541,0.542,0.540,0.542,35586.8,1648685579999,19256.4237,181,20860.0,11289.5602,0
1648685580000,0.541,0.542,0.541,0.542,3615.8,1648685639999,1958.2645,35,2116.7,1147.2514,0
1648685640000,0.542,0.545,0.542,0.543,372406.6,1648685699999,202325.5128,800,249743.1,135665.5502,0
1648685700000,0.543,0.544,0.542,0.543,11146.6,1648685759999,6051.0722,49,5183.9,2815.2280,0
1648685760000,0.542,0.544,0.542,0.543,42262.2,1648685819999,22968.5883,101,31034.0,16871.8072,0
1648685820000,0.544,0.544,0.543,0.543,7090.2,1648685879999,3853.5753,24,3596.7,1956.6048,0
1648685880000,0.543,0.543,0.542,0.542,32112.2,1648685939999,17436.7537,92,5376.0,2919.1680,0
1648685940000,0.542,0.543,0.542,0.542,7662.0,1648685999999,4155.1305,17,2326.5,1263.2895,0
1648686000000,0.542,0.543,0.541,0.542,111186.3,1648686059999,60273.4755,199,52057.1,28233.7616,0
1648686060000,0.542,0.544,0.542,0.544,58974.2,1648686119999,32023.1568,109,27540.0,14959.6496,0
1648686120000,0.543,0.544,0.542,0.543,35717.2,1648686179999,19391.0626,93,5736.2,3115.0973,0
1648686180000,0.543,0.546,0.543,0.545,126849.8,1648686239999,69060.5968,213,112072.6,61009.2669,0
1648686240000,0.545,0.545,0.544,0.545,17581.9,1648686299999,9579.2064,38,14652.8,7985.7760,0
1648686300000,0.544,0.545,0.544,0.544,10484.6,1648686359999,5706.3431,31,2720.7,1482.7815,0
1648686360000,0.544,0.545,0.543,0.543,34700.5,1648686419999,18876.6275,89,922.6,502.5506,0
1648686420000,0.544,0.545,0.544,0.544,47955.2,1648686479999,26096.7582,163,29433.7,16021.0622,0
1648686480000,0.545,0.545,0.544,0.544,1480.4,1648686539999,806.5539,18,1216.3,662.8835,0
1648686540000,0.544,0.545,0.544,0.544,29261.0,1648686599999,15918.4620,50,478.0,260.5100,0
1648686600000,0.545,0.545,0.543,0.544,107754.8,1648686659999,58594.0756,145,41493.1,22572.2829,0
1648686660000,0.543,0.545,0.543,0.545,32096.5,1648686719999,17467.4223,110,22375.6,12182.3875,0
1648686720000,0.544,0.545,0.544,0.544,8281.3,1648686779999,4505.6848,26,657.6,358.3920,0
1648686780000,0.544,0.545,0.543,0.545,80428.8,1648686839999,43749.1159,143,23806.6,12965.7817,0
1648686840000,0.544,0.545,0.544,0.544,459.3,1648686899999,250.1186,11,259.4,141.3730,0
1648686900000,0.544,0.546,0.544,0.545,97639.3,1648686959999,53221.5179,110,82028.7,44724.0171,0
