open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,0.143220,0.143230,0.142850,0.142860,447348,1648684859999,63962.403670,167,81929,11719.355790,0
1648684860000,0.142870,0.143010,0.142820,0.142820,418412,1648684919999,59799.374460,161,164990,23580.354610,0
1648684920000,0.142830,0.143040,0.142780,0.142820,238626,1648684979999,34102.009000,198,121367,17346.210460,0
1648684980000,0.142820,0.142940,0.142780,0.142780,194227,1648685039999,27750.227550,136,113454,16210.441060,0
1648685040000,0.142770,0.142780,0.142640,0.142680,159369,1648685099999,22744.697190,103,68790,9818.505470,0
1648685100000,0.142690,0.142690,0.142610,0.142650,215017,1648685159999,30671.347940,93,145201,20712.863650,0
1648685160000,0.142660,0.142700,0.142530,0.142700,467764,1648685219999,66702.546340,193,255523,36433.340090,0
1648685220000,0.142710,0.142790,0.142650,0.142710,258193,1648685279999,36844.859640,122,109490,15625.398010,0
1648685280000,0.142720,0.142790,0.142710,0.142740,178484,1648685339999,25479.668480,101,133354,19036.962280,0
1648685340000,0.142740,0.142790,0.142700,0.142790,114144,1648685399999,16292.086910,93,61572,8788.565870,0
1648685400000,0.142800,0.143050,0.142800,0.143040,361462,1648685459999,51673.218150,198,225627,32253.595790,0
1648685460000,0.143030,0.143100,0.142960,0.143100,170961,1648685519999,24452.021800,117,123477,17661.561520,0
1648685520000,0.143100,0.143280,0.143050,0.143280,175720,1648685579999,25148.128740,126,141937,20313.721840,0
1648685580000,0.143290,0.143520,0.143290,0.143490,437095,1648685639999,62691.194450,196,218933,31401.929600,0
1648685640000,0.143500,0.143510,0.143380,0.143440,204322,1648685699999,29310.446550,84,42421,6084.669670,0
1648685700000,0.143430,0.143440,0.143380,0.143380,92664,1648685759999,13288.773280,74,28446,4079.450250,0
1648685760000,0.143370,0.143530,0.143330,0.143520,352208,1648685819999,50525.962340,187,175672,25205.053840,0
1648685820000,0.143520,0.143580,0.143500,0.143500,95111,1648685879999,13652.639830,73,78547,11275.033880,0
1648685880000,0.143490,0.143490,0.143430,0.143480,192148,1648685939999,27567.496170,84,141653,20323.277560,0
1648685940000,0.143460,0.143540,0.143430,0.143480,114498,1648685999999,16428.240230,71,81556,11701.505630,0
1648686000000,0.143490,0.143600,0.143490,0.143590,172181,1648686059999,24717.999690,103,94127,13511.640510,0
