open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,0.144410,0.144420,0.144070,0.144250,3870460,1648598459999,558147.907210,707,1190545,171666.231670,0
1648598460000,0.144240,0.144250,0.143830,0.143990,2623715,1648598519999,377907.178630,546,1025103,147641.778170,0
1648598520000,0.143990,0.143990,0.143690,0.143700,2386195,1648598579999,343183.149250,505,1050114,151017.960310,0
1648598580000,0.143710,0.143910,0.143630,0.143830,1610490,1648598639999,231570.215080,389,804089,115616.439710,0
1648598640000,0.143830,0.144060,0.143730,0.143880,2309955,1648598699999,332332.725320,444,1443392,207675.245980,0
1648598700000,0.143890,0.143940,0.143560,0.143580,2252726,1648598759999,323707.615590,449,686834,98702.429650,0
1648598760000,0.143580,0.143750,0.143480,0.143510,1288323,1648598819999,184995.625020,372,567726,81539.043870,0
1648598820000,0.143510,0.143630,0.143340,0.143630,1480301,1648598879999,212421.530330,363,852552,122379.756900,0
1648598880000,0.143630,0.143870,0.143630,0.143850,1055958,1648598939999,151783.143620,334,653954,94005.146180,0
1648598940000,0.143850,0.143960,0.143810,0.143940,528437,1648598999999,76035.065680,235,373636,53760.551770,0
1648599000000,0.143940,0.144120,0.143940,0.144110,1061660,1648599059999,152910.299050,288,506877,73009.863850,0
1648599060000,0.144110,0.144180,0.144060,0.144060,841921,1648599119999,121325.654440,240,357634,51542.548980,0
1648599120000,0.144070,0.144100,0.143780,0.143860,1220928,1648599179999,175760.776420,392,408525,58817.650880,0
1648599180000,0.143870,0.143870,0.143590,0.143660,1111330,1648599239999,159674.917320,287,116567,16750.254190,0
1648599240000,0.143660,0.144100,0.143660,0.144100,899418,1648599299999,129369.502530,274,840589,120907.436870,0
1648599300000,0.144120,0.144310,0.144060,0.144090,1403290,1648599359999,202316.970580,430,430741,62119.079540,0
1648599360000,0.144080,0.144080,0.143870,0.143900,713132,1648599419999,102658.707970,288,69681,10029.303440,0
1648599420000,0.143890,0.144060,0.143740,0.143980,594210,1648599479999,85484.242030,323,331184,47654.268460,0
1648599480000,0.143980,0.144070,0.143890,0.144020,485386,1648599539999,69893.483760,268,252632,36382.531190,0
1648599540000,0.144020,0.144090,0.143950,0.143980,787031,1648599599999,113347.061310,225,326923,47089.771160,0
1648599600000,0.143990,0.143990,0.143680,0.143690,1212271,1648599659999,174372.351770,328,50107,7206.229990,0
1648599660000,0.143680,0.143730,0.143540,0.143600,902754,1648599719999,129647.864430,407,486800,69925.508610,0
1648599720000,0.143610,0.143630,0.143530,0.143600,496396,1648599779999,71265.111490,236,249712,35851.540450,0
1648599780000,0.143590,0.143630,0.143560,0.143580,130990,1648599839999,18808.091340,156,65966,9472.738290,0
1648599840000,0.143580,0.143590,0.143470,0.143490,635205,1648599899999,91160.288410,260,89111,12791.368640,0
1648599900000,0.143490,0.143580,0.143340,0.143370,1043851,1648599959999,149745.655520,413,409522,58767.381660,0
1648599960000,0.143370,0.143520,0.143370,0.143470,1436931,1648600019999,206100.983900,245,1328127,190490.320070,0
1648600020000,0.143470,0.143590,0.143470,0.143540,802467,1648600079999,115173.634490,371,529944,76054.729820,0
1648600080000,0.143540,0.143540,0.143250,0.143270,1616985,1648600139999,231771.747990,499,631590,90523.286290,0
1648600140000,0.143270,0.143370,0.143240,0.143250,704843,1648600199999,100999.600080,337,424294,60807.642830,0
1648600200000,0.143250,0.143340,0.142660,0.142880,12883747,1648600259999,1841615.940560,2220,3850928,550366.856390,0
1648600260000,0.142870,0.142970,0.142420,0.142500,5263057,1648600319999,750734.376300,1217,2130310,303912.024690,0
1648600320000,0.142490,0.142570,0.142260,0.142340,2046872,1648600379999,291447.797690,635,731872,104240.450250,0
1648600380000,0.142320,0.142340,0.141750,0.141850,6458872,1648600439999,917010.525780,1631,1824654,259117.582240,0
1648600440000,0.141850,0.142240,0.141840,0.142160,3285652,1648600499999,466731.860990,913,2148375,305200.282480,0
1648600500000,0.142160,0.142440,0.141980,0.142000,2857102,1648600559999,406364.737650,860,1281481,182327.518470,0
1648600560000,0.141990,0.142370,0.141930,0.142370,1508895,1648600619999,214475.348890,600,1165039,165587.594900,0
1648600620000,0.142370,0.142370,0.142050,0.142050,1164836,1648600679999,165656.033270,406,555801,79041.360100,0
1648600680000,0.142050,0.142590,0.142040,0.142590,1210069,1648600739999,172233.683440,447,965228,137377.273580,0
1648600740000,0.142600,0.142680,0.142430,0.142430,1839758,1648600799999,262275.075100,531,855852,122018.749960,0
1648600800000,0.142430,0.142620,0.142430,0.142560,658178,1648600859999,93823.311510,415,529940,75542.086640,0
1648600860000,0.142550,0.142650,0.142440,0.142650,500380,1648600919999,71313.207000,451,362630,51686.058420,0
1648600920000,0.142650,0.142670,0.142520,0.142580,1486111,1648600979999,211863.845580,461,227522,32435.335880,0
1648600980000,0.142580,0.142690,0.142520,0.142530,683375,1648601039999,97439.195160,415,412099,58761.821100,0
1648601040000,0.142520,0.142860,0.142520,0.142830,1776501,1648601099999,253488.989350,723,1332221,190093.505740,0
1648601100000,0.142840,0.142960,0.142700,0.142710,2641066,1648601159999,377212.272650,555,635304,90716.589430,0
1648601160000,0.142720,0.142760,0.142550,0.142600,530183,1648601219999,75621.909550,406,218350,31147.273480,0
1648601220000,0.142590,0.142590,0.142340,0.142550,2611615,1648601279999,371991.484820,508,661340,94211.765860,0
1648601280000,0.142550,0.142660,0.142550,0.142650,587913,1648601339999,83830.216960,250,474084,67599.087440,0
1648601340000,0.142650,0.142690,0.142450,0.142540,503563,1648601399999,71792.653590,298,285530,40708.714380,0
1648601400000,0.142550,0.142670,0.142370,0.142670,735246,1648601459999,104763.372600,294,473551,67475.748430,0
1648601460000,0.142690,0.143030,0.142670,0.142960,1025531,1648601519999,146472.033010,448,591069,84428.180320,0
