open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,0.38163,0.38294,0.38080,0.38294,55671,1648512059999,21259.75517,93,32548,12424.66404,0
1648512060000,0.38291,0.38379,0.38214,0.38307,107172,1648512119999,41037.10723,157,84474,32341.72253,0
1648512120000,0.38296,0.38382,0.38296,0.38327,61562,1648512179999,23598.67375,100,44094,16905.18368,0
1648512180000,0.38304,0.38400,0.38277,0.38400,57572,1648512239999,22063.48161,117,37113,14222.82163,0
1648512240000,0.38405,0.38429,0.38333,0.38364,74825,1648512299999,28725.70952,161,23306,8948.18165,0
1648512300000,0.38373,0.38415,0.38272,0.38384,88877,1648512359999,34071.08749,147,47133,18068.78313,0
1648512360000,0.38382,0.38382,0.38213,0.38257,45916,1648512419999,17575.34567,90,29735,11378.73993,0
1648512420000,0.38247,0.38390,0.38240,0.38244,48203,1648512479999,18481.74279,82,29561,11332.74253,0
1648512480000,0.38242,0.38391,0.38218,0.38377,105569,1648512539999,40467.86412,167,25506,9774.93900,0
1648512540000,0.38377,0.38507,0.38377,0.38457,48539,1648512599999,18661.07394,136,11247,4323.30415,0
1648512600000,0.38470,0.38511,0.38457,0.38459,46552,1648512659999,17912.22781,91,13195,5078.13682,0
1648512660000,0.38493,0.38493,0.38428,0.38467,49932,1648512719999,19199.97891,101,17515,6734.27726,0
1648512720000,0.38469,0.38507,0.38448,0.38465,24793,1648512779999,9538.44172,85,18803,7233.61257,0
1648512780000,0.38465,0.38488,0.38359,0.38418,63779,1648512839999,24504.64898,126,29031,11154.20515,0
1648512840000,0.38435,0.38452,0.38352,0.38452,24915,1648512899999,9568.57956,69,14263,5477.59162,0
1648512900000,0.38456,0.38571,0.38391,0.38561,49718,1648512959999,19141.83913,115,36427,14022.62735,0
1648512960000,0.38555,0.38629,0.38540,0.38609,66870,1648513019999,25800.47610,157,43304,16709.24942,0
1648513020000,0.38621,0.38630,0.38530,0.38585,35128,1648513079999,13555.41634,110,16004,6175.40197,0
1648513080000,0.38578,0.38583,0.38500,0.38500,25641,1648513139999,9880.89357,84,21023,8101.39413,0
1648513140000,0.38502,0.38538,0.38481,0.38506,29856,1648513199999,11496.32087,65,16310,6280.38623,0
1648513200000,0.38503,0.38520,0.38468,0.38492,19734,1648513259999,7597.77062,88,10793,4155.22786,0
1648513260000,0.38485,0.38588,0.38447,0.38568,56650,1648513319999,21819.69985,107,28619,11023.72684,0
1648513320000,0.38580,0.38660,0.38570,0.38654,55846,1648513379999,21574.70654,99,43551,16829.71742,0
1648513380000,0.38645,0.38658,0.38565,0.38578,30937,1648513439999,11944.54539,69,13720,5295.86353,0
1648513440000,0.38582,0.38697,0.38582,0.38675,14791,1648513499999,5716.48472,59,11573,4473.06672,0
1648513500000,0.38688,0.38701,0.38620,0.38644,35933,1648513559999,13896.04294,73,1166,451.06208,0
1648513560000,0.38645,0.38675,0.38622,0.38662,26527,1648513619999,10252.90366,66,11348,4386.54445,0
1648513620000,0.38664,0.38664,0.38597,0.38609,9188,1648513679999,3549.25274,59,5285,2041.00088,0
1648513680000,0.38624,0.38737,0.38611,0.38732,40646,1648513739999,15712.67892,79,34964,13517.29566,0
1648513740000,0.38726,0.38726,0.38661,0.38674,23983,1648513799999,9283.29536,53,7010,2711.31029,0
1648513800000,0.38677,0.38730,0.38677,0.38708,4665,1648513859999,1805.68226,40,2371,917.69234,0
1648513860000,0.38687,0.38751,0.38686,0.38750,62473,1648513919999,24194.82711,107,53333,20656.53889,0
1648513920000,0.38753,0.38789,0.38730,0.38747,60945,1648513979999,23626.65706,83,39949,15486.96938,0
1648513980000,0.38747,0.38785,0.38734,0.38761,25054,1648514039999,9708.68759,60,19059,7385.55471,0
1648514040000,0.38760,0.38786,0.38730,0.38730,42242,1648514099999,16373.49610,60,29887,11586.46392,0
1648514100000,0.38730,0.38756,0.38699,0.38733,35272,1648514159999,13655.93075,53,4252,1646.08762,0
1648514160000,0.38718,0.38791,0.38717,0.38773,14848,1648514219999,5756.48701,48,12198,4729.19293,0
1648514220000,0.38773,0.38817,0.38773,0.38786,56066,1648514279999,21753.58039,80,38218,14827.79727,0
1648514280000,0.38786,0.38803,0.38723,0.38737,55442,1648514339999,21480.41856,81,4967,1925.48954,0
1648514340000,0.38737,0.38785,0.38737,0.38785,28365,1648514399999,10992.11002,46,28340,10982.41477,0
1648514400000,0.38780,0.38816,0.38764,0.38789,38428,1648514459999,14906.32861,70,25265,9800.05179,0
1648514460000,0.38782,0.38784,0.38745,0.38745,13867,1648514519999,5376.83117,45,5543,2149.55840,0
1648514520000,0.38739,0.38746,0.38696,0.38726,21551,1648514579999,8345.92074,65,17166,6648.02377,0
1648514580000,0.38727,0.38767,0.38718,0.38763,6201,1648514639999,2401.77470,41,1637,634.02655,0
1648514640000,0.38763,0.38832,0.38763,0.38832,15135,1648514699999,5874.25290,88,13719,5324.82009,0
