open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,6.267,6.268,6.235,6.239,14915.6,1648684859999,93154.4354,323,6488.6,40514.8415,0
1648684860000,6.239,6.245,6.224,6.235,33856.9,1648684919999,210955.5705,578,21142.4,131759.8763,0
1648684920000,6.235,6.274,6.233,6.240,52466.7,1648684979999,327983.6829,917,36424.8,227670.5804,0
1648684980000,6.239,6.256,6.233,6.256,36541.5,1648685039999,228183.6490,704,22588.9,141069.5693,0
1648685040000,6.253,6.257,6.240,6.254,15276.5,1648685099999,95475.6732,408,11318.9,70748.5614,0
1648685100000,6.254,6.259,6.239,6.243,25544.4,1648685159999,159703.4219,355,11738.7,73396.4674,0
1648685160000,6.243,6.243,6.204,6.231,107857.5,1648685219999,670825.4342,1271,46418.3,288614.9352,0
1648685220000,6.231,6.240,6.225,6.240,14340.6,1648685279999,89340.7202,277,9757.0,60788.8689,0
1648685280000,6.240,6.248,6.234,6.236,7670.5,1648685339999,47864.0844,149,2092.9,13059.8989,0
1648685340000,6.233,6.250,6.231,6.250,7119.3,1648685399999,44416.8346,162,4440.9,27712.2850,0
1648685400000,6.251,6.264,6.250,6.264,12986.8,1648685459999,81284.8291,274,4795.9,30021.1535,0
1648685460000,6.264,6.289,6.263,6.289,29119.6,1648685519999,182738.4812,427,12949.7,81261.5229,0
1648685520000,6.288,6.336,6.286,6.336,59514.8,1648685579999,375356.3634,986,28640.9,180721.0001,0
1648685580000,6.337,6.347,6.322,6.330,34410.5,1648685639999,218042.0188,687,13286.6,84198.2572,0
1648685640000,6.331,6.334,6.306,6.306,35078.0,1648685699999,221502.0486,514,11698.1,73872.5367,0
1648685700000,6.309,6.319,6.304,6.310,15192.4,1648685759999,95887.0299,239,8407.7,53065.9986,0
1648685760000,6.311,6.325,6.303,6.324,25674.5,1648685819999,162248.1927,302,14836.2,93765.8740,0
1648685820000,6.324,6.333,6.310,6.317,27131.0,1648685879999,171536.6496,312,20190.9,127664.3084,0
1648685880000,6.316,6.324,6.293,6.306,32051.1,1648685939999,202076.4013,337,12657.5,79795.3250,0
1648685940000,6.307,6.312,6.297,6.301,8284.5,1648685999999,52234.8660,163,3241.1,20440.4703,0
1648686000000,6.301,6.326,6.300,6.318,29824.5,1648686059999,188195.8857,370,20933.3,132084.3158,0
1648686060000,6.317,6.328,6.311,6.326,6249.6,1648686119999,39489.9749,138,4546.0,28725.6404,0
1648686120000,6.326,6.356,6.326,6.346,19151.1,1648686179999,121517.8374,455,12396.6,78652.9346,0
1648686180000,6.347,6.353,6.337,6.347,20555.9,1648686239999,130479.1348,371,9359.7,59431.4765,0
1648686240000,6.346,6.355,6.341,6.344,16608.8,1648686299999,105419.4259,350,5799.0,36813.0292,0
1648686300000,6.341,6.360,6.330,6.358,23157.9,1648686359999,147030.7355,396,16678.2,105891.1857,0
1648686360000,6.357,6.368,6.353,6.368,18471.2,1648686419999,117500.9140,389,7768.0,49416.7322,0
1648686420000,6.368,6.376,6.357,6.364,31179.6,1648686479999,198490.0607,540,15909.3,101309.8718,0
1648686480000,6.363,6.373,6.355,6.362,38637.8,1648686539999,245892.5940,338,25258.6,160772.0660,0
1648686540000,6.364,6.370,6.357,6.365,15270.8,1648686599999,97199.1838,268,8025.7,51092.9958,0
1648686600000,6.363,6.363,6.348,6.351,25569.3,1648686659999,162513.9878,348,9018.7,57326.0826,0
1648686660000,6.352,6.358,6.343,6.346,15467.3,1648686719999,98226.7398,298,5394.6,34259.4645,0
1648686720000,6.346,6.362,6.346,6.362,13379.9,1648686779999,84978.9768,250,7115.7,45194.1314,0
1648686780000,6.363,6.370,6.355,6.358,21474.0,1648686839999,136583.2874,336,9146.5,58186.0259,0
1648686840000,6.359,6.364,6.352,6.359,12154.1,1648686899999,77265.5586,201,5097.6,32412.8648,0
1648686900000,6.361,6.378,6.361,6.375,17023.2,1648686959999,108473.1787,306,9164.4,58399.5670,0
1648686960000,6.376,6.376,6.363,6.366,14396.1,1648687019999,91690.1886,223,4276.9,27233.3870,0
1648687020000,6.364,6.364,6.347,6.351,12864.0,1648687079999,81744.0354,266,4301.9,27333.0357,0
1648687080000,6.355,6.360,6.349,6.360,8598.2,1648687139999,54632.5558,155,5733.8,36432.9805,0
1648687140000,6.360,6.367,6.356,6.367,6922.0,1648687199999,44028.8308,157,3473.3,22088.8966,0
1648687200000,6.367,6.374,6.364,6.370,10029.2,1648687259999,63870.7200,380,6872.7,43767.7604,0
1648687260000,6.368,6.373,6.364,6.367,15018.6,1648687319999,95644.4307,419,10557.9,67236.3072,0
1648687320000,6.367,6.367,6.351,6.353,18138.1,1648687379999,115329.5253,337,4225.9,26869.6478,0
1648687380000,6.350,6.362,6.344,6.344,13600.1,1648687439999,86370.7180,444,6185.6,39300.1746,0
1648687440000,6.343,6.351,6.334,6.351,16630.5,1648687499999,105462.9273,556,10164.0,64465.2238,0
1648687500000,6.351,6.352,6.337,6.340,10631.4,1648687559999,67428.6838,210,2118.5,13436.9963,0
1648687560000,6.341,6.353,6.338,6.344,13078.6,1648687619999,82994.6004,261,5726.2,36332.9853,0
1648687620000,6.345,6.371,6.345,6.371,19220.8,1648687679999,122239.4447,315,12002.9,76315.6902,0
1648687680000,6.371,6.379,6.360,6.365,19909.0,1648687739999,126858.6174,385,5826.7,37140.3444,0
1648687740000,6.366,6.372,6.362,6.372,8369.8,1648687799999,53293.5828,181,5595.6,35631.2095,0
1648687800000,6.372,6.391,6.366,6.391,24662.6,1648687859999,157390.9222,456,18391.9,117400.2356,0
1648687860000,6.391,6.404,6.384,6.398,39933.6,1648687919999,255361.2616,837,21554.2,137846.8291,0
1648687920000,6.399,6.407,6.390,6.396,29058.6,1648687979999,185983.6529,455,18379.2,117661.5575,0
1648687980000,6.396,6.397,6.383,6.396,19610.7,1648688039999,125329.3807,392,9800.0,62641.1406,0
1648688040000,6.393,6.396,6.369,6.371,13956.5,1648688099999,88976.0704,280,2775.9,17693.8299,0
1648688100000,6.371,6.378,6.357,6.357,16845.2,1648688159999,107229.3825,305,4721.0,30065.2200,0
1648688160000,6.356,6.357,6.289,6.314,132744.0,1648688219999,838313.8604,1736,31417.5,198408.5341,0
1648688220000,6.314,6.317,6.302,6.304,33732.0,1648688279999,212820.5557,529,19135.2,120734.4867,0
1648688280000,6.303,6.308,6.289,6.297,24140.0,1648688339999,152070.1933,509,7072.4,44573.2331,0
1648688340000,6.298,6.308,6.287,6.305,32704.3,1648688399999,205912.6626,404,19037.3,119866.8765,0
1648688400000,6.304,6.320,6.301,6.310,14045.2,1648688459999,88635.2244,334,9576.4,60442.7615,0
1648688460000,6.310,6.332,6.310,6.324,9645.2,1648688519999,60973.1284,207,6544.8,41363.6913,0
1648688520000,6.324,6.335,6.310,6.314,17153.3,1648688579999,108490.4332,293,4738.0,29980.0664,0
1648688580000,6.315,6.324,6.310,6.314,11948.2,1648688639999,75473.4267,222,6569.3,41496.9147,0
1648688640000,6.313,6.314,6.300,6.309,31573.9,1648688699999,199170.8213,263,6259.2,39485.9458,0
1648688700000,6.308,6.338,6.302,6.330,75187.2,1648688759999,475425.0399,790,46761.8,295687.9631,0
1648688760000,6.333,6.342,6.329,6.340,23181.2,1648688819999,146880.6115,328,13611.8,86257.7929,0
1648688820000,6.339,6.341,6.329,6.335,8860.7,1648688879999,56124.4371,168,5193.1,32900.3817,0
1648688880000,6.334,6.363,6.333,6.352,26635.8,1648688939999,169125.7013,435,20451.3,129865.0855,0
1648688940000,6.354,6.355,6.341,6.348,23956.3,1648688999999,152041.0778,292,5790.1,36751.3488,0
1648689000000,6.347,6.361,6.342,6.345,15614.6,1648689059999,99135.4147,247,5795.3,36799.4008,0
1648689060000,6.343,6.353,6.335,6.342,8935.7,1648689119999,56683.5559,186,5034.4,31937.3767,0
