open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,187.020,187.350,186.750,186.870,865.6,1648771259999,161951.6370,444,309.0,57829.6650,0
1648771260000,186.820,186.970,186.310,186.470,847.2,1648771319999,158141.2320,341,496.2,92618.3830,0
1648771320000,186.500,187.460,186.450,187.460,734.6,1648771379999,137322.1750,317,446.7,83535.1550,0
1648771380000,187.470,187.530,186.890,187.240,964.7,1648771439999,180699.9930,428,312.2,58490.5770,0
1648771440000,187.160,187.540,187.140,187.450,570.6,1648771499999,106884.3980,281,313.1,58657.6280,0
1648771500000,187.450,187.590,187.120,187.320,510.8,1648771559999,95700.5670,322,119.5,22397.1910,0
1648771560000,187.320,187.670,187.250,187.460,660.2,1648771619999,123800.8560,381,372.7,69891.6830,0
1648771620000,187.460,187.760,187.440,187.660,377.2,1648771679999,70767.8310,225,185.0,34707.7660,0
1648771680000,187.660,187.660,187.270,187.540,313.0,1648771739999,58679.0290,241,204.8,38393.1960,0
1648771740000,187.480,188.080,187.210,188.020,518.0,1648771799999,97259.5020,193,368.5,69206.1840,0
1648771800000,188.010,188.040,187.190,187.410,387.7,1648771859999,72754.9040,198,229.5,43084.9630,0
1648771860000,187.340,187.770,187.280,187.570,207.7,1648771919999,38954.9260,101,67.3,12615.8030,0
1648771920000,187.640,188.090,187.610,188.090,165.9,1648771979999,31165.3800,105,75.4,14168.0900,0
1648771980000,188.040,188.230,187.970,188.140,357.3,1648772039999,67215.3890,151,221.6,41690.7230,0
1648772040000,188.110,188.370,187.980,188.270,142.5,1648772099999,26827.8820,101,67.2,12652.9850,0
1648772100000,188.200,188.300,187.890,187.980,147.9,1648772159999,27808.7640,106,61.6,11580.5800,0
1648772160000,187.900,187.970,187.660,187.890,102.4,1648772219999,19235.3580,75,64.3,12079.1260,0
1648772220000,187.940,188.530,187.810,188.460,240.4,1648772279999,45288.5590,102,184.2,34709.3130,0
1648772280000,188.450,188.500,187.710,187.750,206.2,1648772339999,38769.2300,124,74.4,13991.5750,0
1648772340000,187.710,187.960,187.560,187.880,186.8,1648772399999,35066.9280,111,99.2,18620.6810,0
1648772400000,187.780,188.040,187.760,187.870,201.5,1648772459999,37860.8170,158,80.1,15050.5870,0
1648772460000,187.920,187.980,187.670,187.980,101.3,1648772519999,19030.8680,76,64.0,12026.0200,0
1648772520000,188.150,188.210,187.890,188.160,120.7,1648772579999,22700.8270,82,35.2,6620.3620,0
1648772580000,188.150,188.450,188.140,188.280,229.3,1648772639999,43162.7470,118,106.2,19989.2780,0
1648772640000,188.250,188.410,188.140,188.380,271.1,1648772699999,51047.1540,99,173.4,32650.0840,0
1648772700000,188.430,188.540,188.300,188.410,116.8,1648772759999,22008.4150,82,38.6,7274.3670,0
1648772760000,188.450,188.560,188.370,188.500,142.5,1648772819999,26849.4220,83,72.6,13678.5960,0
1648772820000,188.540,188.560,188.350,188.560,249.2,1648772879999,46971.6340,89,68.7,12948.7090,0
1648772880000,188.530,188.590,188.380,188.450,119.1,1648772939999,22454.2680,78,52.4,9879.5590,0
1648772940000,188.440,188.610,188.440,188.610,46.9,1648772999999,8843.3290,46,17.5,3299.8930,0
1648773000000,188.610,188.750,187.960,188.060,561.7,1648773059999,105875.8480,210,323.6,61028.3290,0
1648773060000,188.080,188.410,187.910,187.980,189.0,1648773119999,35567.3940,117,73.7,13873.8840,0
1648773120000,188.020,188.040,187.090,187.210,922.9,1648773179999,173007.8340,285,345.7,64820.6430,0
1648773180000,187.190,187.710,187.060,187.400,350.2,1648773239999,65618.1200,129,231.8,43438.1950,0
1648773240000,187.390,187.520,187.310,187.510,93.7,1648773299999,17557.6700,61,40.9,7665.5440,0
1648773300000,187.500,188.170,187.370,187.540,321.1,1648773359999,60260.5980,167,145.0,27212.4130,0
1648773360000,187.520,188.540,187.520,188.530,311.2,1648773419999,58567.1960,110,257.6,48487.9830,0
1648773420000,188.480,188.560,188.330,188.350,180.3,1648773479999,33978.3720,107,51.1,9631.7500,0
1648773480000,188.380,188.610,188.380,188.520,70.4,1648773539999,13269.9710,67,55.5,10461.0950,0
1648773540000,188.500,188.800,188.500,188.760,206.2,1648773599999,38913.9040,93,164.7,31081.1280,0
1648773600000,188.770,188.870,188.700,188.830,89.1,1648773659999,16823.4660,53,51.0,9629.7350,0
1648773660000,188.790,188.860,188.650,188.840,204.8,1648773719999,38659.7630,75,24.0,4531.1750,0
1648773720000,188.840,188.890,188.680,188.830,101.2,1648773779999,19106.9200,77,20.1,3795.2870,0
1648773780000,188.800,188.920,188.730,188.910,83.9,1648773839999,15844.0000,53,49.5,9348.0410,0
