open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,1.75230,1.75240,1.74870,1.75050,55670,1648598459999,97446.03140,314,7975,13962.67550,0
1648598460000,1.75050,1.75080,1.74310,1.74370,50991,1648598519999,89020.43530,315,19675,34340.84110,0
1648598520000,1.74300,1.74460,1.73870,1.73980,105688,1648598579999,184041.94170,370,20196,35189.06490,0
1648598580000,1.73980,1.74480,1.73870,1.74470,58272,1648598639999,101485.75900,242,33646,58617.12670,0
1648598640000,1.74490,1.74980,1.74480,1.74620,74053,1648598699999,129393.27010,250,51599,90140.62520,0
1648598700000,1.74630,1.74750,1.74110,1.74200,49691,1648598759999,86682.71320,282,18361,32025.78260,0
1648598760000,1.74180,1.74470,1.73970,1.74000,36362,1648598819999,63349.02910,251,19297,33627.84610,0
1648598820000,1.74010,1.74020,1.73510,1.73760,78356,1648598879999,136095.80480,313,26883,46714.16710,0
1648598880000,1.73800,1.74250,1.73790,1.74120,79233,1648598939999,137887.17930,316,25772,44849.74290,0
1648598940000,1.74090,1.74460,1.74050,1.74350,32361,1648598999999,56384.63560,184,12221,21294.40750,0
1648599000000,1.74390,1.74530,1.74200,1.74500,25456,1648599059999,44393.81420,185,17461,30455.28240,0
1648599060000,1.74500,1.74830,1.74400,1.74750,39363,1648599119999,68736.27900,183,23577,41195.29810,0
1648599120000,1.74750,1.75050,1.74480,1.74540,29560,1648599179999,51683.91050,167,19589,34263.00970,0
1648599180000,1.74580,1.74600,1.74170,1.74300,13355,1648599239999,23285.13230,115,7909,13789.52000,0
1648599240000,1.74310,1.75000,1.74310,1.74970,16951,1648599299999,29590.83600,122,9935,17338.39470,0
1648599300000,1.74970,1.75170,1.74850,1.74940,17957,1648599359999,31425.84990,133,7761,13578.67720,0
1648599360000,1.74810,1.74810,1.74550,1.74590,12820,1648599419999,22390.57980,110,6843,11950.88710,0
1648599420000,1.74590,1.75240,1.74420,1.75000,36230,1648599479999,63357.98020,188,24719,43248.84680,0
1648599480000,1.75030,1.75240,1.74940,1.75010,26364,1648599539999,46153.51540,241,12644,22135.85790,0
1648599540000,1.75000,1.75080,1.74880,1.74930,19801,1648599599999,34654.91440,92,13956,24427.23590,0
1648599600000,1.74970,1.74970,1.74350,1.74370,6164,1648599659999,10764.89920,79,1171,2045.38380,0
1648599660000,1.74400,1.74580,1.74130,1.74160,18894,1648599719999,32928.46070,140,7090,12364.34010,0
1648599720000,1.74230,1.74260,1.73850,1.73990,46550,1648599779999,81001.64730,227,16582,28859.83400,0
1648599780000,1.73970,1.74130,1.73800,1.73850,37559,1648599839999,65353.69750,141,25479,44337.23130,0
1648599840000,1.73930,1.73940,1.73710,1.73730,9395,1648599899999,16332.95470,66,353,613.77190,0
1648599900000,1.73720,1.73890,1.73640,1.73840,33890,1648599959999,58903.50040,146,29429,51151.80130,0
1648599960000,1.73750,1.73940,1.73750,1.73770,7691,1648600019999,13373.20870,72,6296,10948.26720,0
1648600020000,1.73760,1.74120,1.73760,1.74100,15213,1648600079999,26465.72190,115,12593,21908.48940,0
1648600080000,1.74090,1.74090,1.73610,1.73670,24132,1648600139999,41929.84200,124,12892,22403.16560,0
1648600140000,1.73680,1.73780,1.73350,1.73400,52687,1648600199999,91423.23180,209,6131,10639.12100,0
1648600200000,1.73390,1.73550,1.73100,1.73100,20602,1648600259999,35704.08240,179,7909,13713.37920,0
1648600260000,1.73140,1.73230,1.72550,1.72550,35215,1648600319999,60890.35660,221,12435,21507.00510,0
1648600320000,1.72560,1.72640,1.72200,1.72270,84221,1648600379999,145173.82150,376,21291,36704.09140,0
1648600380000,1.72270,1.72270,1.71500,1.71500,61475,1648600439999,105619.11410,370,27239,46786.28970,0
1648600440000,1.71470,1.71850,1.71360,1.71440,69490,1648600499999,119260.11060,381,36168,62090.92590,0
1648600500000,1.71440,1.71930,1.71400,1.71460,67732,1648600559999,116302.42860,349,32731,56203.77870,0
1648600560000,1.71530,1.71900,1.71330,1.71900,40945,1648600619999,70264.73530,274,27860,47815.87480,0
1648600620000,1.71920,1.71980,1.71520,1.71580,31513,1648600679999,54104.31810,162,11227,19272.14420,0
1648600680000,1.71590,1.72550,1.71580,1.72480,61571,1648600739999,106001.13600,309,47974,82611.52940,0
1648600740000,1.72460,1.72730,1.72300,1.72400,46763,1648600799999,80688.33730,255,23842,41144.88610,0
1648600800000,1.72390,1.72460,1.72270,1.72380,23511,1648600859999,40516.72400,123,5564,9590.97880,0
1648600860000,1.72320,1.72450,1.72170,1.72410,21166,1648600919999,36465.09530,142,6555,11295.19840,0
1648600920000,1.72500,1.72540,1.72320,1.72530,5975,1648600979999,10303.99300,90,4862,8384.24530,0
1648600980000,1.72530,1.72600,1.72330,1.72440,14792,1648601039999,25507.46260,104,6157,10617.52340,0
1648601040000,1.72440,1.73030,1.72410,1.72980,59970,1648601099999,103696.10760,189,54556,94338.17980,0
1648601100000,1.72960,1.72960,1.72500,1.72560,21541,1648601159999,37203.06440,146,4772,8241.78420,0
1648601160000,1.72560,1.72560,1.72120,1.72190,18599,1648601219999,32046.68960,120,10698,18435.43340,0
1648601220000,1.72160,1.72290,1.71960,1.72250,7626,1648601279999,13122.24020,85,5136,8837.59390,0
1648601280000,1.72220,1.72450,1.72170,1.72390,6753,1648601339999,11632.47380,91,3737,6437.64020,0
1648601340000,1.72380,1.72550,1.72150,1.72270,10014,1648601399999,17263.90650,75,6406,11048.45930,0
1648601400000,1.72240,1.72440,1.71890,1.72440,10808,1648601459999,18601.58260,131,7643,13152.82460,0
1648601460000,1.72490,1.72960,1.72490,1.72900,11964,1648601519999,20670.13770,117,8665,14968.78550,0
1648601520000,1.72930,1.73440,1.72930,1.73410,14698,1648601579999,25458.74060,164,9068,15706.88460,0
1648601580000,1.73450,1.73850,1.73450,1.73590,24074,1648601639999,41794.65070,184,9559,16596.08710,0
1648601640000,1.73600,1.73720,1.73440,1.73450,7556,1648601699999,13114.76480,94,3186,5531.09900,0
1648601700000,1.73360,1.73840,1.73310,1.73660,25214,1648601759999,43771.61460,211,12219,21204.32470,0
1648601760000,1.73670,1.73680,1.73230,1.73300,11384,1648601819999,19739.72230,101,6025,10446.03360,0
1648601820000,1.73240,1.73240,1.72820,1.72820,13235,1648601879999,22895.99990,111,2509,4340.28560,0
1648601880000,1.72840,1.73540,1.72840,1.73480,13283,1648601939999,23000.04590,104,8340,14443.13470,0
1648601940000,1.73460,1.73610,1.73280,1.73360,9100,1648601999999,15784.36150,72,2828,4906.30610,0
1648602000000,1.73330,1.73330,1.72950,1.73200,16916,1648602059999,29279.96700,152,8244,14269.43150,0
1648602060000,1.73190,1.73280,1.73020,1.73230,13973,1648602119999,24195.68750,111,6216,10762.31220,0
1648602120000,1.73230,1.73230,1.72550,1.72580,23199,1648602179999,40088.59680,143,6386,11036.08010,0
1648602180000,1.72620,1.72620,1.72060,1.72110,38482,1648602239999,66318.23360,231,16474,28387.92210,0
1648602240000,1.72180,1.72360,1.72010,1.72360,15452,1648602299999,26613.26890,123,12749,21958.90450,0
1648602300000,1.72350,1.72720,1.72350,1.72600,28974,1648602359999,49997.31270,197,11821,20396.96630,0
1648602360000,1.72550,1.72730,1.72460,1.72490,31171,1648602419999,53802.08260,194,13916,24018.38280,0
1648602420000,1.72540,1.72720,1.72080,1.72190,45287,1648602479999,77988.40260,184,10434,17989.68300,0
1648602480000,1.72150,1.72150,1.71770,1.71910,20133,1648602539999,34620.02300,160,12839,22079.17670,0
1648602540000,1.71910,1.72210,1.71900,1.72210,6836,1648602599999,11762.75810,89,4263,7336.07160,0
1648602600000,1.72210,1.72410,1.72040,1.72410,9746,1648602659999,16782.58150,85,3478,5990.19640,0
1648602660000,1.72430,1.72470,1.71930,1.72070,12666,1648602719999,21801.32710,115,6657,11452.58670,0
1648602720000,1.72100,1.72260,1.71780,1.71960,10872,1648602779999,18697.92970,99,3646,6273.96800,0
1648602780000,1.71910,1.72210,1.71830,1.72210,8933,1648602839999,15363.95380,71,5871,10097.04610,0
1648602840000,1.72230,1.72430,1.72180,1.72290,11740,1648602899999,20229.25490,104,6588,11351.66700,0
1648602900000,1.72270,1.72280,1.71960,1.72130,9108,1648602959999,15680.96690,120,4193,7218.53730,0
1648602960000,1.72170,1.72500,1.72100,1.72490,10815,1648603019999,18631.25530,134,6295,10843.91930,0
1648603020000,1.72480,1.72530,1.72330,1.72480,13584,1648603079999,23426.82550,97,2222,3832.04280,0
1648603080000,1.72440,1.72440,1.72030,1.72030,17061,1648603139999,29394.18190,113,6676,11505.28110,0
1648603140000,1.72000,1.72100,1.71570,1.71670,36518,1648603199999,62724.67230,210,17528,30106.35570,0
1648603200000,1.71640,1.71640,1.71000,1.71030,53610,1648603259999,91786.91480,307,9979,17093.19030,0
1648603260000,1.71020,1.71020,1.70270,1.70510,304199,1648603319999,519071.30910,908,108557,185274.68750,0
1648603320000,1.70510,1.70520,1.70080,1.70240,58912,1648603379999,100304.38540,264,16540,28182.18020,0
1648603380000,1.70220,1.70520,1.70160,1.70360,11839,1648603439999,20166.20940,121,9041,15399.99530,0
1648603440000,1.70320,1.70350,1.70060,1.70100,22923,1648603499999,39024.30360,138,16471,28042.82880,0
1648603500000,1.70100,1.70610,1.70000,1.70410,60104,1648603559999,102259.95010,260,22701,38650.74550,0
1648603560000,1.70420,1.70660,1.70340,1.70380,25130,1648603619999,42840.68390,172,10061,17161.37750,0
1648603620000,1.70350,1.70720,1.70350,1.70450,34314,1648603679999,58525.99130,189,18045,30769.26710,0
1648603680000,1.70430,1.70630,1.70140,1.70170,19330,1648603739999,32946.75570,126,12617,21513.23190,0
1648603740000,1.70210,1.70210,1.69590,1.69670,101667,1648603799999,172670.54350,534,27085,45992.80140,0
1648603800000,1.69690,1.69880,1.69470,1.69710,72164,1648603859999,122462.30470,385,47480,80577.12170,0
1648603860000,1.69700,1.70250,1.69300,1.70100,115703,1648603919999,196235.39780,501,41883,71096.44170,0
1648603920000,1.70080,1.70160,1.69870,1.70080,21324,1648603979999,36260.73540,158,12915,21963.30420,0
1648603980000,1.70000,1.70210,1.70000,1.70110,37314,1648604039999,63477.52110,133,28140,47873.77950,0
1648604040000,1.70090,1.70150,1.69750,1.69820,40821,1648604099999,69385.18600,193,32036,54457.71680,0
1648604100000,1.69840,1.70460,1.69810,1.70370,28604,1648604159999,48662.18070,204,20889,35534.68830,0
1648604160000,1.70420,1.70660,1.70420,1.70660,51141,1648604219999,87225.86580,286,35358,60310.51430,0
1648604220000,1.70540,1.70790,1.70500,1.70620,29091,1648604279999,49641.21860,218,15700,26792.62540,0
1648604280000,1.70550,1.70550,1.70000,1.70000,16321,1648604339999,27778.48100,162,7988,13595.35890,0
1648604340000,1.69960,1.69990,1.69650,1.69800,56493,1648604399999,95945.42640,223,18517,31452.18730,0
1648604400000,1.69730,1.69810,1.69330,1.69350,38787,1648604459999,65806.15320,206,23930,40616.41500,0
1648604460000,1.69340,1.69460,1.68530,1.68590,146969,1648604519999,248352.11780,784,27964,47293.38490,0
1648604520000,1.68560,1.68760,1.68040,1.68130,83432,1648604579999,140516.64150,524,51371,86539.56710,0
1648604580000,1.68150,1.68190,1.66660,1.67380,554480,1648604639999,928079.78240,2369,204007,341461.60550,0
1648604640000,1.67440,1.68230,1.66570,1.68190,142183,1648604699999,237694.70180,761,52807,88440.62300,0
1648604700000,1.68220,1.68900,1.68000,1.68730,115468,1648604759999,194689.99050,452,73924,124693.32590,0
1648604760000,1.68730,1.68840,1.67410,1.67970,88951,1648604819999,149324.28710,503,37121,62321.25050,0
1648604820000,1.68030,1.68840,1.68020,1.68830,67286,1648604879999,113350.76840,365,37503,63170.03630,0
1648604880000,1.68810,1.69020,1.68560,1.68800,46988,1648604939999,79315.85950,222,19652,33178.66860,0
1648604940000,1.68780,1.68990,1.68610,1.68650,40018,1648604999999,67527.31340,171,7794,13154.72730,0
