open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,47.445,47.591,47.327,47.368,17666.14,1648771259999,839283.19369,1425,7825.43,371925.14747,0
1648771260000,47.363,47.459,47.280,47.310,13222.98,1648771319999,626444.99944,1147,4129.60,195672.25860,0
1648771320000,47.304,47.548,47.212,47.542,25320.38,1648771379999,1199533.59121,1693,14080.19,667719.37556,0
1648771380000,47.543,47.551,47.430,47.490,17860.17,1648771439999,848339.34979,1238,9144.04,434357.14128,0
1648771440000,47.496,47.594,47.480,47.551,7509.46,1648771499999,357085.59258,917,3286.00,156272.97591,0
1648771500000,47.555,47.649,47.532,47.610,11039.42,1648771559999,525350.99370,1045,7899.42,375944.98854,0
1648771560000,47.610,47.668,47.557,47.572,10533.06,1648771619999,501664.99577,973,5224.58,248860.77954,0
1648771620000,47.580,47.651,47.555,47.573,14192.56,1648771679999,675376.84046,874,4801.42,228524.14621,0
1648771680000,47.571,47.575,47.481,47.545,15660.67,1648771739999,744548.30954,745,3771.24,179239.96881,0
1648771740000,47.534,47.670,47.426,47.666,8600.76,1648771799999,408909.31432,788,5243.76,249404.09975,0
1648771800000,47.672,47.672,47.519,47.535,8946.00,1648771859999,425728.60112,884,4814.73,229113.60910,0
1648771860000,47.538,47.676,47.496,47.631,9772.97,1648771919999,465101.83836,864,4855.02,231008.20365,0
1648771920000,47.631,47.816,47.621,47.777,35397.15,1648771979999,1690081.64458,1682,28001.32,1337157.62248,0
1648771980000,47.776,47.805,47.703,47.723,11003.51,1648772039999,525381.85280,1003,4495.74,214639.42153,0
1648772040000,47.723,47.768,47.675,47.753,4091.37,1648772099999,195271.98294,671,1875.13,89510.56026,0
1648772100000,47.736,47.763,47.625,47.656,5044.48,1648772159999,240545.07440,727,1626.90,77560.72821,0
1648772160000,47.650,47.655,47.594,47.633,4453.15,1648772219999,212023.18663,602,1243.79,59222.27980,0
1648772220000,47.634,47.734,47.593,47.686,6583.33,1648772279999,313739.52347,794,2352.41,112089.41375,0
1648772280000,47.683,47.707,47.510,47.510,9537.37,1648772339999,453769.33210,731,3696.73,175896.66572,0
1648772340000,47.509,47.552,47.479,47.546,9893.12,1648772399999,470058.40931,783,3587.04,170460.81760,0
1648772400000,47.540,47.569,47.493,47.510,5087.54,1648772459999,241763.35085,525,1023.50,48638.10990,0
1648772460000,47.511,47.521,47.471,47.498,5438.62,1648772519999,258269.75220,601,1538.42,73057.78609,0
1648772520000,47.497,47.600,47.497,47.582,4257.29,1648772579999,202432.91107,609,2858.54,135918.35877,0
1648772580000,47.590,47.633,47.551,47.613,4045.73,1648772639999,192571.07222,574,1969.52,93755.90648,0
1648772640000,47.605,47.633,47.582,47.621,2201.64,1648772699999,104811.94929,430,674.45,32109.80146,0
1648772700000,47.619,47.649,47.587,47.612,3186.68,1648772759999,151761.90819,449,1488.84,70915.51534,0
1648772760000,47.613,47.635,47.587,47.587,2791.65,1648772819999,132908.45201,488,527.15,25097.33597,0
1648772820000,47.594,47.617,47.475,47.487,3958.17,1648772879999,188120.60302,599,1271.61,60432.91857,0
1648772880000,47.486,47.529,47.306,47.378,35508.46,1648772939999,1682762.40694,1515,6447.30,305688.29904,0
1648772940000,47.379,47.444,47.379,47.409,5819.59,1648772999999,275937.32394,558,3746.93,177669.05887,0
1648773000000,47.413,47.481,47.299,47.333,14464.56,1648773059999,685352.78405,950,10210.48,483758.84935,0
1648773060000,47.321,47.351,47.220,47.246,7198.47,1648773119999,340415.12591,720,2939.98,139078.68386,0
1648773120000,47.252,47.255,47.046,47.088,24220.35,1648773179999,1141941.83626,1699,8964.81,422718.37893,0
1648773180000,47.084,47.186,47.012,47.096,21466.08,1648773239999,1010764.29511,1405,8779.00,413651.80843,0
1648773240000,47.103,47.138,47.087,47.133,5806.81,1648773299999,273559.68511,545,2119.45,99846.27196,0
1648773300000,47.132,47.256,47.108,47.144,16385.99,1648773359999,773016.80748,1116,11069.12,522126.90507,0
1648773360000,47.145,47.343,47.145,47.315,13374.05,1648773419999,632113.13809,1003,8093.94,382622.66934,0
1648773420000,47.313,47.320,47.256,47.285,8674.17,1648773479999,410273.19995,593,1637.51,77448.44490,0
1648773480000,47.280,47.393,47.277,47.357,10021.17,1648773539999,474365.52699,775,5900.88,279311.77969,0
1648773540000,47.356,47.452,47.356,47.419,5863.31,1648773599999,277957.59931,565,2718.67,128867.91615,0
1648773600000,47.420,47.478,47.420,47.459,2948.01,1648773659999,139897.64195,438,981.07,46556.10796,0
1648773660000,47.463,47.474,47.431,47.471,4307.89,1648773719999,204444.97074,469,3191.84,151483.63358,0
1648773720000,47.470,47.526,47.418,47.516,3615.23,1648773779999,171657.48956,479,1631.29,77458.68632,0
1648773780000,47.513,47.541,47.463,47.538,2098.83,1648773839999,99712.86023,458,1244.54,59129.27055,0
1648773840000,47.531,47.544,47.485,47.505,3281.19,1648773899999,155895.90937,523,991.17,47095.41436,0
