open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,3334.30,3339.02,3331.39,3339.02,494.009,1648512059999,1647359.93948,605,306.643,1022642.02248,0
1648512060000,3339.01,3343.03,3334.30,3342.54,308.890,1648512119999,1031451.05575,750,156.738,523523.16991,0
1648512120000,3342.08,3342.08,3340.72,3341.15,141.368,1648512179999,472360.19697,203,46.425,155118.95268,0
1648512180000,3341.14,3341.54,3337.68,3341.54,171.228,1648512239999,571811.21916,352,58.836,196442.36195,0
1648512240000,3341.53,3342.52,3341.23,3341.30,42.052,1648512299999,140538.73287,153,20.672,69081.32035,0
1648512300000,3341.66,3343.50,3341.66,3343.50,66.932,1648512359999,223736.04949,174,48.739,162921.06976,0
1648512360000,3343.50,3343.53,3335.73,3338.62,306.318,1648512419999,1022282.45006,512,145.641,486036.79308,0
1648512420000,3338.62,3340.52,3335.98,3335.98,128.173,1648512479999,427906.90756,290,37.192,124211.70532,0
1648512480000,3335.93,3342.86,3335.93,3341.79,224.496,1648512539999,749364.13356,414,93.352,311610.60009,0
1648512540000,3341.80,3351.30,3341.80,3349.88,260.665,1648512599999,872741.92562,794,157.823,528321.74864,0
1648512600000,3349.88,3350.64,3347.65,3348.86,226.007,1648512659999,756940.74380,452,149.624,501092.26388,0
1648512660000,3348.86,3350.63,3347.65,3350.63,56.598,1648512719999,189534.90459,196,30.047,100618.65500,0
1648512720000,3350.81,3351.30,3350.07,3350.42,45.717,1648512779999,153176.34462,99,21.594,72351.34455,0
1648512780000,3350.41,3350.41,3347.35,3347.35,104.902,1648512839999,351321.55612,226,45.593,152687.18837,0
1648512840000,3347.23,3347.23,3344.90,3346.66,178.782,1648512899999,598264.45405,189,145.076,485505.26285,0
1648512900000,3346.66,3351.07,3345.66,3351.07,107.728,1648512959999,360752.17424,303,76.373,255775.72321,0
1648512960000,3351.08,3358.62,3349.72,3358.36,254.470,1648513019999,853653.86239,740,162.797,546126.53287,0
1648513020000,3358.12,3358.12,3348.41,3350.19,295.975,1648513079999,992658.16091,682,174.872,586522.83057,0
1648513080000,3350.20,3350.20,3346.85,3348.51,112.669,1648513139999,377198.99041,224,43.931,147102.99401,0
1648513140000,3348.51,3348.51,3346.73,3346.73,13.376,1648513199999,44775.15706,68,4.599,15395.22006,0
1648513200000,3346.74,3346.74,3344.73,3344.98,71.999,1648513259999,240886.08375,196,32.929,110155.07695,0
1648513260000,3344.98,3348.98,3344.64,3348.72,73.820,1648513319999,247078.41940,196,38.366,128401.24265,0
1648513320000,3348.99,3352.66,3348.76,3352.19,112.642,1648513379999,377412.34518,249,71.725,240319.40071,0
1648513380000,3352.12,3352.12,3350.72,3351.01,23.914,1648513439999,80136.76720,79,17.586,58927.52274,0
1648513440000,3351.00,3357.34,3351.00,3357.34,83.465,1648513499999,279942.76683,362,66.673,223600.10097,0
1648513500000,3357.36,3360.38,3356.98,3360.06,169.554,1648513559999,569486.41055,401,120.512,404758.77790,0
1648513560000,3360.06,3360.06,3355.29,3356.65,41.430,1648513619999,139109.71435,243,11.350,38088.21753,0
1648513620000,3356.66,3357.48,3355.70,3356.60,62.077,1648513679999,208357.52049,112,33.628,112862.65709,0
1648513680000,3356.61,3360.69,3356.61,3360.58,45.876,1648513739999,154110.75612,195,32.511,109217.31360,0
1648513740000,3360.58,3360.58,3358.40,3358.40,40.476,1648513799999,135986.42360,97,11.420,38372.53898,0
1648513800000,3358.32,3362.01,3358.32,3362.01,62.887,1648513859999,211334.01349,217,57.541,193363.26169,0
1648513860000,3362.01,3365.55,3361.31,3362.19,165.848,1648513919999,557826.22904,784,68.249,229561.23342,0
1648513920000,3362.32,3362.44,3360.00,3360.01,34.044,1648513979999,114403.74126,182,16.272,54681.61525,0
1648513980000,3360.00,3361.33,3359.20,3361.33,46.917,1648514039999,157636.87811,117,27.187,91346.27799,0
1648514040000,3361.12,3361.12,3357.67,3357.67,66.490,1648514099999,223355.21169,176,18.098,60808.78290,0
1648514100000,3357.65,3361.45,3356.88,3361.45,87.209,1648514159999,292940.79593,343,74.440,250032.84006,0
1648514160000,3361.55,3366.00,3360.61,3363.98,112.671,1648514219999,378968.14042,422,67.142,225787.00111,0
1648514220000,3363.98,3368.34,3363.98,3368.34,174.720,1648514279999,588305.40217,453,144.954,488084.13278,0
1648514280000,3368.33,3368.33,3365.63,3365.79,75.812,1648514339999,255224.94281,412,29.439,99102.29289,0
1648514340000,3365.78,3366.44,3363.86,3363.87,118.245,1648514399999,397961.31700,186,18.209,61267.31568,0
1648514400000,3364.19,3366.33,3364.12,3364.84,113.061,1648514459999,380465.01459,225,72.599,244289.77566,0
1648514460000,3364.84,3365.12,3362.34,3362.80,44.268,1648514519999,148919.75997,146,4.321,14540.62360,0
1648514520000,3362.46,3362.46,3360.96,3361.73,39.433,1648514579999,132554.21494,131,13.387,44996.56797,0
1648514580000,3361.73,3365.71,3361.73,3365.71,51.579,1648514639999,173509.05432,156,38.190,128458.66998,0
1648514640000,3365.71,3367.92,3365.71,3367.91,15.750,1648514699999,53030.18583,114,12.391,41717.68094,0
