open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,3342.32,3342.32,3335.65,3336.47,36.967,1648425659999,123390.05533,61,1.611,5375.54827,0
1648425660000,3335.44,3337.43,3335.44,3336.54,1.585,1648425719999,5288.88186,9,1.115,3720.68245,0
1648425720000,3336.54,3345.73,3336.36,3342.04,18.986,1648425779999,63465.03176,39,17.284,57779.91702,0
1648425780000,3340.49,3340.49,3333.26,3333.26,2.024,1648425839999,6748.98894,20,0.000,0.00000,0
1648425840000,3332.15,3334.19,3329.04,3329.04,9.433,1648425899999,31421.17486,35,3.539,11791.68834,0
1648425900000,3329.49,3331.82,3328.52,3328.52,1.265,1648425959999,4211.93864,5,1.224,4075.46932,0
1648425960000,3329.54,3330.99,3324.91,3324.91,8.168,1648426019999,27190.48110,24,6.460,21510.66473,0
1648426020000,3323.82,3325.02,3322.40,3323.02,8.833,1648426079999,29360.86667,25,8.139,27054.46969,0
1648426080000,3326.25,3327.98,3323.35,3324.56,7.601,1648426139999,25271.92135,26,2.553,8493.76190,0
1648426140000,3324.82,3330.51,3324.82,3330.51,1.035,1648426199999,3444.31938,13,0.208,692.20628,0
1648426200000,3330.50,3330.50,3327.53,3327.53,0.247,1648426259999,822.04048,6,0.171,569.10068,0
1648426260000,3328.69,3330.34,3327.93,3327.93,11.931,1648426319999,39723.24060,23,11.011,36661.29778,0
1648426320000,3327.48,3327.62,3325.93,3327.62,0.261,1648426379999,868.22041,8,0.215,715.22503,0
1648426380000,3327.16,3328.32,3326.76,3327.96,0.577,1648426439999,1919.83847,10,0.206,685.59750,0
1648426440000,3326.75,3326.75,3325.85,3325.88,0.317,1648426499999,1054.52379,5,0.000,0.00000,0
1648426500000,3326.39,3326.39,3325.64,3325.64,0.117,1648426559999,389.16060,5,0.000,0.00000,0
1648426560000,3325.77,3326.89,3324.42,3325.42,9.779,1648426619999,32528.25642,31,8.245,27426.68172,0
1648426620000,3324.94,3330.00,3324.94,3330.00,2.291,1648426679999,7624.70606,15,2.258,7514.98304,0
1648426680000,3329.54,3332.12,3326.23,3327.12,1.663,1648426739999,5536.06619,17,0.496,1652.01930,0
1648426740000,3327.78,3328.63,3327.78,3328.23,0.122,1648426799999,406.07051,3,0.098,326.19299,0
1648426800000,3327.26,3329.18,3326.78,3328.29,11.232,1648426859999,37371.98542,17,0.216,718.94488,0
1648426860000,3327.58,3328.91,3327.58,3328.57,3.322,1648426919999,11057.59537,12,3.128,10411.96153,0
