open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,51.980,51.980,51.910,51.910,291.0,1648425659999,15121.4043,40,133.1,6916.8413,0
1648425660000,51.904,51.961,51.904,51.960,1248.9,1648425719999,64859.0347,64,1168.0,60658.1169,0
1648425720000,51.965,52.024,51.965,52.008,946.8,1648425779999,49245.1076,65,479.4,24930.5326,0
1648425780000,52.005,52.017,51.941,51.941,563.4,1648425839999,29288.5404,46,299.3,15559.7843,0
1648425840000,51.924,51.938,51.899,51.899,892.0,1648425899999,46305.8646,49,117.5,6101.5077,0
1648425900000,51.899,51.924,51.879,51.881,292.3,1648425959999,15170.9755,36,105.7,5485.9061,0
1648425960000,51.878,51.889,51.812,51.812,893.1,1648426019999,46308.4485,84,153.7,7967.4624,0
1648426020000,51.812,51.812,51.711,51.728,1386.0,1648426079999,71743.4958,146,347.5,17984.2300,0
1648426080000,51.728,51.786,51.728,51.747,998.0,1648426139999,51655.1580,56,624.9,32341.1557,0
1648426140000,51.741,51.787,51.736,51.754,806.0,1648426199999,41722.3196,53,379.4,19640.9678,0
1648426200000,51.754,51.758,51.634,51.701,2809.6,1648426259999,145198.4751,135,488.5,25261.2536,0
1648426260000,51.696,51.765,51.696,51.765,1281.6,1648426319999,66306.9292,60,417.9,21613.5455,0
1648426320000,51.765,51.783,51.732,51.783,1875.2,1648426379999,97032.7190,112,854.0,44199.3669,0
1648426380000,51.783,51.819,51.760,51.800,841.0,1648426439999,43558.4861,69,482.7,25005.5211,0
1648426440000,51.785,51.800,51.774,51.776,180.9,1648426499999,9368.3320,24,174.9,9057.6625,0
1648426500000,51.775,51.806,51.749,51.749,114.6,1648426559999,5934.6101,26,37.2,1926.4479,0
1648426560000,51.746,51.796,51.732,51.738,549.5,1648426619999,28445.7245,45,138.9,7187.0771,0
1648426620000,51.738,51.807,51.681,51.807,967.1,1648426679999,50004.2762,51,57.1,2955.2062,0
1648426680000,51.803,51.837,51.765,51.778,367.5,1648426739999,19034.6478,43,299.7,15522.7159,0
1648426740000,51.780,51.818,51.780,51.788,196.8,1648426799999,10194.6051,18,121.6,6298.1150,0
1648426800000,51.796,51.800,51.796,51.800,9.4,1648426859999,486.9172,4,0.0,0.0000,0
1648426860000,51.800,51.821,51.793,51.813,135.8,1648426919999,7035.6337,17,128.5,6657.4709,0
1648426920000,51.813,51.813,51.789,51.798,37.2,1648426979999,1926.9132,12,4.1,212.3769,0
1648426980000,51.802,51.812,51.802,51.812,18.8,1648427039999,974.0196,6,1.5,77.7105,0
1648427040000,51.804,51.804,51.751,51.751,384.4,1648427099999,19902.1514,28,25.8,1335.3027,0
1648427100000,51.767,51.800,51.753,51.794,17.9,1648427159999,926.6535,6,12.3,636.5975,0
1648427160000,51.795,51.810,51.795,51.805,8.0,1648427219999,414.4027,5,5.2,269.3412,0
1648427220000,51.806,51.806,51.786,51.797,298.3,1648427279999,15449.8192,22,286.2,14822.9891,0
1648427280000,51.798,51.815,51.798,51.806,224.1,1648427339999,11609.9935,16,175.3,9081.5886,0
1648427340000,51.802,51.832,51.802,51.832,187.3,1648427399999,9705.0462,14,185.7,9622.1540,0
1648427400000,51.836,51.865,51.836,51.865,223.0,1648427459999,11564.5614,18,194.5,10086.4089,0
1648427460000,51.866,51.954,51.866,51.954,1043.3,1648427519999,54163.1072,102,579.7,30093.5036,0
