open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,0.26299,0.26417,0.26214,0.26412,4999766,1648512059999,1315385.85568,2026,2808033,739173.83281,0
1648512060000,0.26413,0.26439,0.26326,0.26430,6261781,1648512119999,1652453.76519,2401,3431983,905888.05359,0
1648512120000,0.26429,0.26463,0.26403,0.26455,4282390,1648512179999,1132327.47360,1511,2002024,529421.93349,0
1648512180000,0.26455,0.26470,0.26381,0.26470,4032582,1648512239999,1065746.93738,1474,2057416,543809.10984,0
1648512240000,0.26469,0.26491,0.26448,0.26476,3567088,1648512299999,944335.46844,1139,2032997,538254.18650,0
1648512300000,0.26477,0.26551,0.26470,0.26550,3835304,1648512359999,1016420.41298,1457,2731856,724031.43878,0
1648512360000,0.26551,0.26552,0.26382,0.26426,4707818,1648512419999,1244669.79669,1679,1529342,404192.88816,0
1648512420000,0.26423,0.26493,0.26389,0.26389,1791108,1648512479999,473628.35256,1009,622239,164547.84252,0
1648512480000,0.26389,0.26521,0.26386,0.26509,3479831,1648512539999,920485.31694,1377,1895928,501357.01087,0
1648512540000,0.26514,0.26599,0.26509,0.26575,2704413,1648512599999,718214.07691,1316,1537676,408349.79020,0
1648512600000,0.26580,0.26649,0.26575,0.26644,4247678,1648512659999,1130482.69353,1690,2473882,658416.43713,0
1648512660000,0.26645,0.26652,0.26579,0.26645,3956119,1648512719999,1052847.18257,1374,1680938,447366.27973,0
1648512720000,0.26645,0.26672,0.26595,0.26649,2995841,1648512779999,797936.41490,1258,1700051,452794.96336,0
1648512780000,0.26648,0.26665,0.26606,0.26628,2453893,1648512839999,653663.03598,1114,1079916,287700.76581,0
1648512840000,0.26629,0.26632,0.26566,0.26620,2510225,1648512899999,667581.24056,839,960284,255440.07751,0
1648512900000,0.26623,0.26682,0.26585,0.26678,1902139,1648512959999,506707.26733,1031,1224822,326280.33976,0
1648512960000,0.26682,0.26771,0.26669,0.26757,5823268,1648513019999,1555359.18275,2362,3264059,871917.18948,0
1648513020000,0.26756,0.26762,0.26677,0.26725,3817917,1648513079999,1019875.18904,1472,2002537,534963.17079,0
1648513080000,0.26726,0.26732,0.26678,0.26689,1412987,1648513139999,377254.48891,814,656417,175273.36123,0
1648513140000,0.26691,0.26698,0.26654,0.26683,2169650,1648513199999,578759.53495,746,814266,217248.75852,0
1648513200000,0.26680,0.26681,0.26624,0.26626,1316639,1648513259999,350802.47078,678,552921,147307.46470,0
1648513260000,0.26623,0.26675,0.26604,0.26657,2171438,1648513319999,578303.43753,989,967195,257660.64253,0
1648513320000,0.26658,0.26724,0.26628,0.26674,2627532,1648513379999,700939.18420,1223,1608908,429251.87100,0
1648513380000,0.26675,0.26682,0.26652,0.26664,798608,1648513439999,212980.51872,578,432146,115254.54659,0
1648513440000,0.26664,0.26737,0.26643,0.26726,2959539,1648513499999,789797.35652,1217,1720676,459348.73141,0
1648513500000,0.26727,0.26777,0.26720,0.26772,2097235,1648513559999,561065.08249,944,1197256,320324.13030,0
1648513560000,0.26774,0.26778,0.26726,0.26757,1614190,1648513619999,431875.26084,695,816469,218464.21324,0
1648513620000,0.26758,0.26770,0.26722,0.26734,1306409,1648513679999,349308.63034,571,601457,160846.46764,0
1648513680000,0.26733,0.26802,0.26733,0.26767,2049383,1648513739999,548645.64305,853,978956,262088.82327,0
1648513740000,0.26769,0.26780,0.26722,0.26733,1809606,1648513799999,484042.19105,645,528580,141435.68219,0
1648513800000,0.26733,0.26774,0.26728,0.26739,1147798,1648513859999,307047.03700,559,669719,179173.30694,0
1648513860000,0.26742,0.26755,0.26706,0.26724,1634734,1648513919999,437010.82085,736,640911,171379.26136,0
1648513920000,0.26728,0.26735,0.26692,0.26726,2500029,1648513979999,667876.89978,897,1200397,320741.33940,0
1648513980000,0.26724,0.26757,0.26712,0.26744,1051778,1648514039999,281061.66806,509,470818,125818.63725,0
1648514040000,0.26744,0.26754,0.26719,0.26721,1100675,1648514099999,294264.58242,467,362190,96844.67202,0
1648514100000,0.26720,0.26765,0.26713,0.26739,1755379,1648514159999,469304.84029,566,1094021,292522.61531,0
1648514160000,0.26743,0.26751,0.26703,0.26730,2764315,1648514219999,738818.77212,850,1170260,312812.12845,0
1648514220000,0.26726,0.26760,0.26716,0.26755,1079594,1648514279999,288723.99512,438,539682,144323.32281,0
1648514280000,0.26757,0.26764,0.26741,0.26758,1091076,1648514339999,291890.27493,510,573685,153480.63103,0
1648514340000,0.26759,0.26803,0.26745,0.26800,1081731,1648514399999,289728.14762,607,711449,190559.53318,0
1648514400000,0.26799,0.26816,0.26766,0.26774,2303216,1648514459999,617130.97711,996,1153234,309017.82121,0
1648514460000,0.26775,0.26781,0.26730,0.26734,1980827,1648514519999,529965.40903,632,783627,209644.27135,0
1648514520000,0.26732,0.26732,0.26633,0.26644,3898099,1648514579999,1039756.14256,1313,889194,237152.05228,0
1648514580000,0.26644,0.26690,0.26633,0.26690,1747471,1648514639999,465900.71273,803,974196,259732.88048,0
1648514640000,0.26690,0.26755,0.26690,0.26747,1772593,1648514699999,473732.76061,1019,1047870,280010.59876,0
1648514700000,0.26752,0.26839,0.26750,0.26835,3040524,1648514759999,814629.62156,1452,1771283,474669.89050,0
1648514760000,0.26835,0.26847,0.26761,0.26819,3478672,1648514819999,932229.95060,1376,1806348,484072.49298,0
1648514820000,0.26817,0.26826,0.26798,0.26801,1731527,1648514879999,464238.18543,781,688167,184520.05129,0
1648514880000,0.26799,0.26827,0.26791,0.26807,1016699,1648514939999,272560.03017,571,643700,172563.70824,0
1648514940000,0.26806,0.26819,0.26785,0.26806,826711,1648514999999,221567.17557,395,402178,107801.20303,0
1648515000000,0.26807,0.26808,0.26765,0.26765,939653,1648515059999,251666.03429,429,459531,123078.98212,0
1648515060000,0.26765,0.26777,0.26721,0.26754,3988165,1648515119999,1066824.61807,1190,1441550,385696.86145,0
1648515120000,0.26753,0.26758,0.26703,0.26722,2476853,1648515179999,661907.97020,814,1228258,328315.44214,0
1648515180000,0.26721,0.26756,0.26698,0.26756,983247,1648515239999,262770.35079,544,702226,187688.27397,0
1648515240000,0.26755,0.26755,0.26711,0.26733,1097121,1648515299999,293189.58884,412,501762,134100.85785,0
1648515300000,0.26734,0.26734,0.26672,0.26685,2128708,1648515359999,568304.82553,729,401034,107060.69458,0
