open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,23.9750,23.9810,23.8950,23.9410,2502,1648598459999,59898.1790,140,575,13772.8150,0
1648598460000,23.9420,23.9420,23.8180,23.8390,1319,1648598519999,31473.6780,110,160,3825.2730,0
1648598520000,23.8380,23.8530,23.8080,23.8160,1841,1648598579999,43871.4210,115,530,12634.2380,0
1648598580000,23.8180,23.8340,23.8100,23.8210,927,1648598639999,22080.6000,62,309,7360.6160,0
1648598640000,23.8290,23.8720,23.8260,23.8690,621,1648598699999,14816.1190,43,500,11929.8890,0
1648598700000,23.8650,23.8650,23.8080,23.8100,349,1648598759999,8317.0020,56,145,3455.8100,0
1648598760000,23.8100,23.8360,23.8050,23.8050,429,1648598819999,10214.7260,46,147,3500.2950,0
1648598820000,23.8070,23.8070,23.7520,23.7930,918,1648598879999,21826.6040,122,286,6800.5190,0
1648598880000,23.8020,23.8800,23.8020,23.8800,673,1648598939999,16055.1630,59,596,14219.0300,0
1648598940000,23.8820,23.9340,23.8730,23.9150,452,1648598999999,10803.9800,73,276,6597.3420,0
1648599000000,23.9190,23.9610,23.9190,23.9430,251,1648599059999,6009.2440,57,152,3639.4800,0
1648599060000,23.9450,24.0160,23.9450,23.9970,861,1648599119999,20657.3850,97,736,17658.2300,0
1648599120000,23.9930,24.0120,23.9260,23.9260,1346,1648599179999,32252.7750,97,100,2399.6960,0
1648599180000,23.9270,23.9280,23.8710,23.8860,924,1648599239999,22079.2010,108,473,11300.9890,0
1648599240000,23.8890,23.9690,23.8890,23.9690,614,1648599299999,14692.6800,71,577,13807.5490,0
1648599300000,23.9630,23.9660,23.9250,23.9450,1381,1648599359999,33067.8420,128,695,16645.5910,0
1648599360000,23.9320,23.9320,23.8860,23.8910,878,1648599419999,20987.3310,86,470,11234.7150,0
1648599420000,23.8850,23.9390,23.8580,23.9260,466,1648599479999,11129.1520,69,218,5208.3480,0
1648599480000,23.9230,23.9540,23.9010,23.9360,750,1648599539999,17951.7900,70,569,13621.0020,0
1648599540000,23.9310,23.9450,23.9300,23.9420,413,1648599599999,9887.2470,47,164,3926.1970,0
1648599600000,23.9420,23.9420,23.8710,23.8710,926,1648599659999,22132.4050,129,309,7386.4600,0
1648599660000,23.8690,23.8940,23.8520,23.8630,741,1648599719999,17691.6350,66,324,7736.7740,0
1648599720000,23.8660,23.8830,23.8480,23.8790,587,1648599779999,14008.2930,103,308,7352.2190,0
1648599780000,23.8630,23.8770,23.8320,23.8370,451,1648599839999,10756.7840,62,161,3841.8390,0
1648599840000,23.8610,23.8610,23.8340,23.8400,498,1648599899999,11874.4830,55,235,5604.1220,0
1648599900000,23.8390,23.8440,23.8080,23.8150,551,1648599959999,13123.0920,51,23,547.8700,0
1648599960000,23.8130,23.8240,23.7930,23.7950,587,1648600019999,13977.4660,58,59,1405.0580,0
1648600020000,23.7950,23.8430,23.7950,23.8200,300,1648600079999,7144.0650,66,267,6358.2040,0
1648600080000,23.8200,23.8200,23.7260,23.7560,6011,1648600139999,142874.1320,290,931,22121.7580,0
1648600140000,23.7500,23.7500,23.7170,23.7220,366,1648600199999,8685.9500,73,94,2231.4630,0
1648600200000,23.7220,23.7290,23.6560,23.6730,1948,1648600259999,46128.1890,189,621,14704.6070,0
1648600260000,23.6740,23.6880,23.6000,23.6190,998,1648600319999,23589.1020,135,470,11112.0610,0
1648600320000,23.6130,23.6310,23.6090,23.6100,418,1648600379999,9872.4610,60,156,3684.3560,0
1648600380000,23.6070,23.6070,23.4540,23.4720,2347,1648600439999,55224.0190,248,534,12562.5150,0
1648600440000,23.4710,23.5130,23.4230,23.4850,3392,1648600499999,79585.0670,237,1422,33391.8060,0
1648600500000,23.4770,23.5450,23.4680,23.5120,975,1648600559999,22919.8730,153,717,16854.9200,0
1648600560000,23.5100,23.5650,23.5070,23.5650,647,1648600619999,15231.9070,74,537,12641.8730,0
1648600620000,23.5680,23.5680,23.5050,23.5070,1342,1648600679999,31580.9180,122,225,5291.5880,0
1648600680000,23.5030,23.6370,23.4860,23.6370,1418,1648600739999,33401.4590,97,937,22095.2540,0
1648600740000,23.6330,23.6450,23.5840,23.5840,445,1648600799999,10509.8060,70,282,6660.7820,0
1648600800000,23.5840,23.6160,23.5840,23.6000,372,1648600859999,8780.3690,57,212,5003.7720,0
1648600860000,23.5830,23.6020,23.5670,23.5990,479,1648600919999,11296.8210,67,398,9386.8680,0
1648600920000,23.6060,23.6060,23.5680,23.5860,555,1648600979999,13086.1610,83,201,4740.2600,0
1648600980000,23.5870,23.6360,23.5780,23.6100,664,1648601039999,15675.0620,80,358,8452.0470,0
1648601040000,23.5980,23.6700,23.5930,23.6570,595,1648601099999,14060.7100,91,444,10489.0990,0
1648601100000,23.6550,23.6630,23.5970,23.5970,1616,1648601159999,38188.2320,116,307,7258.4900,0
1648601160000,23.5970,23.6080,23.5690,23.5790,791,1648601219999,18660.1060,77,704,16608.2330,0
1648601220000,23.5710,23.5770,23.5420,23.5650,307,1648601279999,7233.3500,49,179,4217.3220,0
1648601280000,23.5630,23.5960,23.5540,23.5950,272,1648601339999,6410.7810,64,116,2734.4250,0
1648601340000,23.5930,23.6060,23.5580,23.5640,617,1648601399999,14557.6660,61,501,11822.1010,0
1648601400000,23.5780,23.5780,23.5190,23.5670,943,1648601459999,22200.2210,91,312,7346.8130,0
1648601460000,23.5740,23.6630,23.5740,23.6400,1329,1648601519999,31386.1520,98,1158,27349.7640,0
1648601520000,23.6470,23.7070,23.6440,23.7020,1860,1648601579999,44040.4230,150,1110,26291.3070,0
1648601580000,23.7050,23.7390,23.6850,23.7320,1050,1648601639999,24906.3080,92,808,19167.8930,0
1648601640000,23.7230,23.7300,23.6930,23.6970,189,1648601699999,4482.5100,38,7,166.0780,0
1648601700000,23.6830,23.7660,23.6830,23.7300,626,1648601759999,14857.2160,83,412,9779.0520,0
1648601760000,23.7300,23.7350,23.6720,23.6740,582,1648601819999,13793.6150,68,17,402.7750,0
1648601820000,23.6740,23.6740,23.6160,23.6160,622,1648601879999,14705.2500,67,52,1229.7150,0
1648601880000,23.6160,23.7180,23.6060,23.7150,1154,1648601939999,27291.4230,96,768,18169.1280,0
1648601940000,23.7130,23.7200,23.6540,23.6570,1130,1648601999999,26761.3430,74,93,2205.0260,0
1648602000000,23.6510,23.6720,23.6240,23.6720,1625,1648602059999,38427.3520,102,740,17503.5630,0
1648602060000,23.6730,23.6840,23.6450,23.6840,222,1648602119999,5253.6490,64,53,1254.5660,0
1648602120000,23.6860,23.6880,23.6150,23.6150,1225,1648602179999,28977.9610,105,645,15260.8140,0
1648602180000,23.6110,23.6110,23.5470,23.5660,1599,1648602239999,37726.6720,110,357,8419.7230,0
1648602240000,23.5710,23.5840,23.5260,23.5720,970,1648602299999,22847.9950,90,315,7425.9260,0
1648602300000,23.5840,23.6420,23.5810,23.6390,478,1648602359999,11288.5940,73,281,6634.4760,0
1648602360000,23.6400,23.6630,23.6240,23.6510,395,1648602419999,9341.1130,64,330,7804.3420,0
1648602420000,23.6610,23.7190,23.6560,23.6900,1644,1648602479999,38943.6880,121,1253,29680.1350,0
1648602480000,23.6880,23.6880,23.6080,23.6280,1047,1648602539999,24750.0120,111,254,6003.7670,0
1648602540000,23.6250,23.6750,23.6250,23.6700,489,1648602599999,11567.4510,45,391,9249.0310,0
1648602600000,23.6750,23.6930,23.6640,23.6840,696,1648602659999,16483.8240,65,381,9023.1590,0
1648602660000,23.6940,23.6940,23.6020,23.6260,388,1648602719999,9169.5520,49,212,5009.0880,0
1648602720000,23.6390,23.6670,23.6010,23.6310,422,1648602779999,9972.7870,69,266,6287.4990,0
1648602780000,23.6240,23.6770,23.6030,23.6760,447,1648602839999,10566.8440,41,295,6974.3110,0
1648602840000,23.6780,23.6820,23.6610,23.6720,245,1648602899999,5799.4710,42,57,1349.2640,0
1648602900000,23.6730,23.6810,23.6300,23.6620,477,1648602959999,11283.8120,75,329,7782.9030,0
1648602960000,23.6620,23.7300,23.6530,23.7300,1121,1648603019999,26566.9600,131,795,18848.2970,0
1648603020000,23.7320,23.7710,23.7030,23.7600,1208,1648603079999,28675.2350,125,719,17069.4660,0
1648603080000,23.7610,23.7610,23.6820,23.6820,1841,1648603139999,43705.8880,115,292,6928.2790,0
1648603140000,23.6800,23.7040,23.6510,23.6710,609,1648603199999,14416.7790,62,435,10298.7630,0
1648603200000,23.6500,23.6500,23.5600,23.5600,859,1648603259999,20272.5570,127,273,6443.5020,0
1648603260000,23.5600,23.5600,23.5180,23.5220,417,1648603319999,9817.1790,67,186,4378.6080,0
1648603320000,23.5210,23.5210,23.4730,23.4920,2388,1648603379999,56110.0040,197,658,15462.2490,0
1648603380000,23.4950,23.5110,23.4770,23.4810,229,1648603439999,5380.5140,53,153,3595.0400,0
1648603440000,23.4800,23.5010,23.4720,23.4850,456,1648603499999,10711.7690,59,371,8715.3520,0
1648603500000,23.4840,23.5240,23.4690,23.5060,214,1648603559999,5026.6390,58,95,2231.6010,0
1648603560000,23.5140,23.5270,23.4580,23.4640,366,1648603619999,8598.8700,55,127,2986.3330,0
1648603620000,23.4570,23.5080,23.4570,23.4690,793,1648603679999,18624.2780,102,326,7653.2420,0
1648603680000,23.4610,23.4890,23.4130,23.4130,1899,1648603739999,44517.4190,161,953,22353.5080,0
1648603740000,23.4120,23.4120,23.3070,23.3440,6541,1648603799999,152767.4990,476,1368,31917.5350,0
1648603800000,23.3300,23.3580,23.3150,23.3500,604,1648603859999,14091.9770,66,230,5365.5950,0
1648603860000,23.3430,23.4250,23.3430,23.3800,1377,1648603919999,32216.4870,163,782,18296.0100,0
1648603920000,23.3760,23.4030,23.3620,23.4030,677,1648603979999,15826.6060,94,410,9585.1680,0
1648603980000,23.3920,23.4280,23.3910,23.4090,894,1648604039999,20926.7130,110,645,15099.6370,0
1648604040000,23.4000,23.4010,23.3010,23.3060,1681,1648604099999,39235.7130,158,328,7654.3180,0
1648604100000,23.3160,23.3860,23.3080,23.3760,373,1648604159999,8708.5680,61,132,3082.2860,0
1648604160000,23.3800,23.5360,23.3800,23.4470,4696,1648604219999,110163.8380,331,3657,85792.9540,0
1648604220000,23.4470,23.4930,23.4430,23.4480,649,1648604279999,15224.5800,99,446,10462.3750,0
1648604280000,23.4350,23.4350,23.3770,23.3830,1186,1648604339999,27755.8120,76,238,5568.1140,0
1648604340000,23.3800,23.3840,23.3010,23.3240,927,1648604399999,21640.0140,147,233,5442.7540,0
1648604400000,23.3330,23.3330,23.2590,23.2590,2095,1648604459999,48781.9430,253,270,6289.5670,0
1648604460000,23.2600,23.2740,23.2300,23.2380,4857,1648604519999,112914.3060,311,1124,26138.5900,0
1648604520000,23.2350,23.2420,23.1650,23.1720,4198,1648604579999,97422.4720,424,1933,44856.7900,0
1648604580000,23.1800,23.1900,23.0020,23.1190,10727,1648604639999,247670.2380,938,3322,76667.9090,0
1648604640000,23.1300,23.2080,23.0000,23.1880,5194,1648604699999,119891.4450,439,1940,44840.5550,0
1648604700000,23.2020,23.3560,23.1540,23.3480,5401,1648604759999,125717.0590,415,4458,103808.4030,0
1648604760000,23.3360,23.3670,23.1230,23.1880,3309,1648604819999,76812.9370,390,1322,30704.2120,0
1648604820000,23.1940,23.3090,23.1930,23.3020,2185,1648604879999,50830.0000,223,1186,27585.2800,0
1648604880000,23.2920,23.3360,23.2710,23.3160,1225,1648604939999,28554.1270,151,483,11263.4260,0
1648604940000,23.3090,23.3150,23.2540,23.2600,1522,1648604999999,35418.1010,128,332,7730.6480,0
1648605000000,23.2590,23.2990,23.2070,23.2310,980,1648605059999,22785.0580,137,230,5350.8490,0
1648605060000,23.2170,23.2730,23.1810,23.1940,784,1648605119999,18204.5210,107,170,3948.4620,0
1648605120000,23.1970,23.3140,23.1860,23.2550,1977,1648605179999,45986.6860,187,1542,35863.2450,0
1648605180000,23.2550,23.2670,23.2460,23.2550,306,1648605239999,7116.3890,67,59,1372.2950,0
1648605240000,23.2500,23.2530,23.1830,23.2050,857,1648605299999,19894.6730,106,123,2856.9390,0
1648605300000,23.2040,23.2950,23.2040,23.2910,450,1648605359999,10463.5650,94,217,5045.8400,0
1648605360000,23.2800,23.3060,23.2670,23.2920,1139,1648605419999,26523.6280,104,492,11462.2760,0
1648605420000,23.2860,23.3090,23.2520,23.2900,685,1648605479999,15948.1080,111,355,8265.3030,0
1648605480000,23.2880,23.3250,23.2760,23.2760,833,1648605539999,19408.9880,73,283,6595.7690,0
1648605540000,23.2760,23.2950,23.2430,23.2950,835,1648605599999,19424.8630,97,364,8467.3440,0
1648605600000,23.2890,23.2890,23.2090,23.2790,1474,1648605659999,34257.8760,204,752,17480.1540,0
1648605660000,23.2750,23.4100,23.2750,23.4050,1666,1648605719999,38908.3060,198,1135,26497.9630,0
1648605720000,23.3990,23.4210,23.3450,23.4010,1959,1648605779999,45813.6730,153,1073,25102.2190,0
1648605780000,23.3880,23.4140,23.3760,23.3760,432,1648605839999,10107.0530,62,253,5920.1950,0
1648605840000,23.3640,23.3810,23.3390,23.3430,220,1648605899999,5138.1780,38,38,887.6770,0
1648605900000,23.3540,23.4260,23.3490,23.4000,582,1648605959999,13614.9150,110,365,8538.4160,0
1648605960000,23.3970,23.4400,23.3900,23.4400,303,1648606019999,7093.5990,62,124,2903.0710,0
1648606020000,23.4300,23.4410,23.4160,23.4330,263,1648606079999,6163.0150,45,53,1241.6510,0
1648606080000,23.4270,23.4460,23.3980,23.4270,1336,1648606139999,31293.2360,133,235,5506.3100,0
1648606140000,23.4310,23.4370,23.4050,23.4260,433,1648606199999,10142.2000,65,215,5036.2360,0
