open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,20.99,21.08,20.90,20.94,13258.64,1648771259999,278449.0583,618,6386.16,134256.1218,0
1648771260000,20.93,20.96,20.83,20.83,13072.82,1648771319999,273235.0328,459,3761.53,78656.7542,0
1648771320000,20.84,21.02,20.82,21.02,11678.00,1648771379999,244182.8426,425,9248.82,193494.4820,0
1648771380000,21.02,21.04,20.94,20.99,11259.11,1648771439999,236170.7873,421,5973.53,125314.8858,0
1648771440000,20.99,21.05,20.98,21.03,8136.53,1648771499999,170956.5343,304,5939.97,124811.9588,0
1648771500000,21.04,21.09,21.01,21.05,8432.84,1648771559999,177500.2131,332,3852.14,81081.9153,0
1648771560000,21.05,21.14,21.05,21.08,23228.26,1648771619999,490123.9986,813,10304.27,217399.7284,0
1648771620000,21.07,21.12,21.06,21.09,4869.06,1648771679999,102684.5835,211,1959.78,41335.6751,0
1648771680000,21.08,21.09,21.03,21.06,5089.35,1648771739999,107176.2617,252,2951.42,62153.6921,0
1648771740000,21.06,21.23,21.02,21.23,19771.60,1648771799999,417910.7323,913,12652.65,267355.6359,0
1648771800000,21.23,21.23,21.08,21.12,8190.01,1648771859999,173070.7562,431,3448.33,72833.6586,0
1648771860000,21.12,21.18,21.11,21.16,3035.10,1648771919999,64179.9105,187,1739.43,36792.0745,0
1648771920000,21.15,21.21,21.13,21.19,6651.30,1648771979999,140890.6708,233,3818.56,80890.7762,0
1648771980000,21.18,21.20,21.14,21.17,5091.00,1648772039999,107726.3028,231,1540.53,32612.5357,0
1648772040000,21.16,21.18,21.13,21.17,2594.34,1648772099999,54890.6632,185,900.91,19067.1457,0
1648772100000,21.16,21.17,21.09,21.13,12104.75,1648772159999,255692.7280,429,3532.17,74626.0966,0
1648772160000,21.12,21.12,21.06,21.12,6253.15,1648772219999,131875.0421,300,2868.26,60496.2088,0
1648772220000,21.12,21.21,21.11,21.19,4327.85,1648772279999,91594.9718,214,2814.95,59597.1788,0
1648772280000,21.18,21.19,21.08,21.09,4935.06,1648772339999,104288.3467,268,1940.36,41009.8828,0
1648772340000,21.08,21.14,21.07,21.12,4921.39,1648772399999,103842.2441,240,2249.36,47473.9258,0
1648772400000,21.13,21.14,21.10,21.13,2139.56,1648772459999,45186.9290,157,1082.56,22867.6527,0
1648772460000,21.13,21.14,21.11,21.14,1368.62,1648772519999,28912.3141,102,265.57,5611.4963,0
1648772520000,21.13,21.16,21.13,21.14,2539.04,1648772579999,53688.4469,133,1546.35,32703.9903,0
1648772580000,21.15,21.20,21.15,21.18,3138.99,1648772639999,66482.2888,137,1595.49,33796.5421,0
1648772640000,21.19,21.20,21.16,21.18,4597.96,1648772699999,97385.8748,169,1368.40,28997.1469,0
1648772700000,21.19,21.19,21.17,21.18,2056.18,1648772759999,43554.9258,122,1065.76,22578.1368,0
1648772760000,21.18,21.20,21.17,21.19,1608.11,1648772819999,34074.1964,110,1463.85,31019.5726,0
1648772820000,21.19,21.20,21.15,21.17,4912.46,1648772879999,104003.7264,220,794.02,16810.3634,0
