open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,0.9577,0.9587,0.9571,0.9583,37906,1648425659999,36314.4290,95,24063,23058.6794,0
1648425660000,0.9582,0.9596,0.9578,0.9583,35045,1648425719999,33589.3691,159,12269,11762.2021,0
1648425720000,0.9584,0.9589,0.9578,0.9589,32161,1648425779999,30815.7567,114,11541,11061.0758,0
1648425780000,0.9588,0.9588,0.9532,0.9533,116434,1648425839999,111371.9149,222,17778,16989.7072,0
1648425840000,0.9533,0.9549,0.9507,0.9508,80258,1648425899999,76486.0989,240,20593,19645.5452,0
1648425900000,0.9508,0.9519,0.9489,0.9509,57890,1648425959999,55030.2762,238,10611,10086.0180,0
1648425960000,0.9509,0.9527,0.9492,0.9493,22862,1648426019999,21740.7984,157,8550,8132.4840,0
1648426020000,0.9495,0.9502,0.9484,0.9490,41677,1648426079999,39565.8848,117,9526,9043.4262,0
1648426080000,0.9494,0.9501,0.9463,0.9465,39916,1648426139999,37837.5848,191,13273,12584.5357,0
1648426140000,0.9465,0.9491,0.9458,0.9488,41546,1648426199999,39358.4672,173,31186,29548.2726,0
1648426200000,0.9487,0.9505,0.9484,0.9501,33143,1648426259999,31447.4319,114,8365,7941.2664,0
1648426260000,0.9505,0.9520,0.9505,0.9515,20961,1648426319999,19947.8072,110,14775,14060.9402,0
1648426320000,0.9514,0.9520,0.9486,0.9487,109473,1648426379999,104056.7244,211,14132,13441.2570,0
1648426380000,0.9487,0.9496,0.9477,0.9488,68721,1648426439999,65176.2896,176,21104,20017.5633,0
1648426440000,0.9490,0.9496,0.9490,0.9495,2969,1648426499999,2817.8889,27,2574,2442.8328,0
1648426500000,0.9495,0.9510,0.9490,0.9492,14518,1648426559999,13790.3240,82,13272,12606.6298,0
1648426560000,0.9496,0.9502,0.9480,0.9484,33209,1648426619999,31499.7847,119,9682,9187.4923,0
1648426620000,0.9486,0.9496,0.9485,0.9493,13259,1648426679999,12584.1119,66,11153,10585.5816,0
1648426680000,0.9492,0.9500,0.9472,0.9481,18976,1648426739999,17995.9565,136,10406,9870.1113,0
1648426740000,0.9479,0.9497,0.9476,0.9482,32950,1648426799999,31260.2906,119,15682,14878.6637,0
1648426800000,0.9481,0.9486,0.9473,0.9482,24233,1648426859999,22970.2768,89,6609,6264.3280,0
1648426860000,0.9481,0.9489,0.9473,0.9477,14716,1648426919999,13951.4629,89,4066,3855.4640,0
1648426920000,0.9477,0.9484,0.9474,0.9481,14020,1648426979999,13285.3363,70,2339,2216.7663,0
1648426980000,0.9480,0.9480,0.9456,0.9456,45290,1648427039999,42864.0248,189,9453,8946.2532,0
1648427040000,0.9457,0.9465,0.9449,0.9453,49220,1648427099999,46530.6447,154,7504,7095.1285,0
1648427100000,0.9455,0.9456,0.9428,0.9454,85810,1648427159999,80987.9196,270,22363,21112.9075,0
1648427160000,0.9453,0.9462,0.9446,0.9460,14550,1648427219999,13759.4193,68,7390,6987.6540,0
1648427220000,0.9459,0.9459,0.9443,0.9443,11821,1648427279999,11170.5177,70,1179,1114.2303,0
1648427280000,0.9446,0.9450,0.9436,0.9449,18366,1648427339999,17340.1107,119,3854,3638.7998,0
1648427340000,0.9449,0.9457,0.9444,0.9450,32350,1648427399999,30582.7754,120,14335,13552.7197,0
1648427400000,0.9449,0.9454,0.9446,0.9454,22905,1648427459999,21645.8685,109,5085,4806.6755,0
1648427460000,0.9452,0.9468,0.9450,0.9463,21442,1648427519999,20283.4238,128,15883,15026.2343,0
1648427520000,0.9463,0.9495,0.9459,0.9485,71343,1648427579999,67619.9896,371,32042,30372.3960,0
1648427580000,0.9486,0.9517,0.9482,0.9516,35245,1648427639999,33462.2016,214,19273,18305.7869,0
1648427640000,0.9516,0.9539,0.9489,0.9508,209102,1648427699999,198869.0372,629,87621,83384.2766,0
1648427700000,0.9506,0.9540,0.9496,0.9523,84848,1648427759999,80794.8018,341,55148,52527.1229,0
1648427760000,0.9522,0.9545,0.9517,0.9545,50062,1648427819999,47729.5916,224,19107,18218.1204,0
1648427820000,0.9546,0.9556,0.9536,0.9543,36781,1648427879999,35111.3390,187,12099,11550.9448,0
1648427880000,0.9544,0.9546,0.9520,0.9521,49989,1648427939999,47680.1795,98,9063,8637.7220,0
1648427940000,0.9526,0.9537,0.9515,0.9523,30338,1648427999999,28903.5421,151,18552,17673.9256,0
1648428000000,0.9521,0.9528,0.9509,0.9524,19154,1648428059999,18234.5091,119,10837,10317.2362,0
1648428060000,0.9525,0.9527,0.9515,0.9522,15747,1648428119999,14992.8375,87,5915,5631.5094,0
1648428120000,0.9524,0.9529,0.9514,0.9515,28123,1648428179999,26781.3051,106,18113,17252.8198,0
1648428180000,0.9515,0.9520,0.9503,0.9503,39566,1648428239999,37633.0175,105,18742,17829.8565,0
1648428240000,0.9504,0.9504,0.9480,0.9480,42809,1648428299999,40632.9853,161,7984,7579.0820,0
1648428300000,0.9481,0.9491,0.9433,0.9433,69263,1648428359999,65522.2423,180,33893,32084.8547,0
1648428360000,0.9431,0.9441,0.9413,0.9431,63420,1648428419999,59782.7695,210,21824,20587.4680,0
1648428420000,0.9431,0.9445,0.9431,0.9440,9928,1648428479999,9371.3836,77,3365,3176.7168,0
1648428480000,0.9436,0.9448,0.9430,0.9443,28181,1648428539999,26599.6684,124,14868,14034.5346,0
1648428540000,0.9443,0.9449,0.9433,0.9439,34250,1648428599999,32329.6006,103,6869,6483.1194,0
1648428600000,0.9439,0.9442,0.9414,0.9422,16389,1648428659999,15440.3039,92,3198,3014.6393,0
1648428660000,0.9424,0.9438,0.9424,0.9438,6795,1648428719999,6407.2582,36,3655,3447.2096,0
1648428720000,0.9438,0.9454,0.9438,0.9451,21134,1648428779999,19967.4199,124,13276,12545.2793,0
1648428780000,0.9451,0.9459,0.9443,0.9458,12023,1648428839999,11366.1408,85,9923,9381.5961,0
1648428840000,0.9458,0.9463,0.9447,0.9451,13653,1648428899999,12910.7345,79,7628,7213.9962,0
1648428900000,0.9451,0.9458,0.9436,0.9438,21572,1648428959999,20373.8294,61,5771,5456.8762,0
1648428960000,0.9438,0.9450,0.9387,0.9409,226485,1648429019999,213109.9780,652,50178,47197.9645,0
