open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,4.5674,4.5686,4.5471,4.5528,13588.8,1648684859999,61899.23201,285,6257.2,28509.96412,0
1648684860000,4.5516,4.5530,4.5400,4.5429,7531.5,1648684919999,34240.22150,197,1124.3,5111.41583,0
1648684920000,4.5442,4.5488,4.5407,4.5445,8141.5,1648684979999,36993.33043,185,3584.1,16285.84540,0
1648684980000,4.5432,4.5655,4.5426,4.5576,8439.3,1648685039999,38446.41698,166,5738.7,26142.14582,0
1648685040000,4.5583,4.5607,4.5506,4.5590,7558.3,1648685099999,34451.36228,224,3553.5,16197.02247,0
1648685100000,4.5570,4.5669,4.5534,4.5648,12784.6,1648685159999,58311.83992,219,2940.8,13414.25381,0
1648685160000,4.5647,4.5647,4.5564,4.5601,7335.3,1648685219999,33449.50751,159,3650.8,16645.39455,0
1648685220000,4.5613,4.5622,4.5530,4.5618,7439.3,1648685279999,33902.06346,132,2220.2,10118.12930,0
1648685280000,4.5625,4.5717,4.5593,4.5685,6473.8,1648685339999,29550.43919,132,5029.0,22956.17498,0
1648685340000,4.5674,4.5838,4.5650,4.5831,16063.3,1648685399999,73504.60471,443,11008.4,50375.47490,0
1648685400000,4.5825,4.5910,4.5782,4.5858,7508.4,1648685459999,34432.73029,229,3988.1,18291.69352,0
1648685460000,4.5858,4.5858,4.5763,4.5824,7747.7,1648685519999,35482.27982,228,3832.0,17549.86842,0
1648685520000,4.5829,4.5860,4.5771,4.5833,6739.0,1648685579999,30870.97519,210,2295.0,10516.95307,0
1648685580000,4.5848,4.5902,4.5842,4.5898,6017.7,1648685639999,27602.83435,156,3422.6,15696.51947,0
1648685640000,4.5891,4.5896,4.5826,4.5834,2764.3,1648685699999,12675.40599,103,673.7,3089.94637,0
1648685700000,4.5834,4.5864,4.5800,4.5820,5916.5,1648685759999,27109.76697,165,1230.5,5640.32125,0
1648685760000,4.5822,4.5867,4.5796,4.5856,5712.5,1648685819999,26185.11276,137,3130.9,14352.61977,0
1648685820000,4.5853,4.5867,4.5769,4.5799,8943.2,1648685879999,40964.69554,203,2441.0,11184.40022,0
1648685880000,4.5790,4.5829,4.5769,4.5829,6176.7,1648685939999,28285.58589,136,2980.6,13650.70230,0
1648685940000,4.5813,4.5841,4.5769,4.5824,2138.2,1648685999999,9793.54958,97,1389.0,6362.14274,0
1648686000000,4.5817,4.5833,4.5777,4.5810,4389.2,1648686059999,20105.02624,145,1562.9,7159.85004,0
1648686060000,4.5809,4.5816,4.5771,4.5808,3029.0,1648686119999,13870.06016,99,1644.8,7531.87204,0
1648686120000,4.5808,4.5850,4.5783,4.5818,5272.1,1648686179999,24154.21640,137,2300.6,10540.14041,0
1648686180000,4.5815,4.5815,4.5761,4.5788,1617.1,1648686239999,7403.79822,62,581.2,2660.77696,0
1648686240000,4.5785,4.5795,4.5765,4.5775,7620.0,1648686299999,34883.19162,102,2964.2,13571.03335,0
1648686300000,4.5775,4.5807,4.5768,4.5790,2404.6,1648686359999,11010.52686,83,1333.0,6103.91951,0
1648686360000,4.5790,4.5790,4.5733,4.5740,3537.4,1648686419999,16184.52374,84,415.2,1899.02143,0
1648686420000,4.5752,4.5764,4.5732,4.5739,2797.5,1648686479999,12798.34412,69,1559.3,7133.90552,0
1648686480000,4.5747,4.5853,4.5746,4.5825,7317.9,1648686539999,33518.17608,107,4655.2,21323.59920,0
1648686540000,4.5825,4.5850,4.5797,4.5829,3154.5,1648686599999,14455.55395,96,1254.5,5748.43196,0
1648686600000,4.5825,4.5875,4.5814,4.5852,9443.5,1648686659999,43286.85342,190,5199.0,23832.54039,0
1648686660000,4.5847,4.5930,4.5822,4.5907,6240.7,1648686719999,28638.43767,149,4856.9,22291.76608,0
1648686720000,4.5924,4.5943,4.5885,4.5914,4703.7,1648686779999,21593.73394,175,1722.6,7908.64174,0
1648686780000,4.5933,4.6009,4.5911,4.5916,30152.8,1648686839999,138612.61931,453,18378.5,84498.19643,0
1648686840000,4.5916,4.6036,4.5916,4.6016,9620.0,1648686899999,44249.36282,184,6620.6,30450.35286,0
1648686900000,4.6027,4.6042,4.5994,4.6042,1367.2,1648686959999,6292.59797,64,761.9,3506.33274,0
1648686960000,4.6038,4.6071,4.5996,4.6025,9964.3,1648687019999,45876.31972,221,6556.4,30190.32474,0
1648687020000,4.6015,4.6017,4.5953,4.5984,3789.4,1648687079999,17427.46086,97,1108.8,5098.18786,0
1648687080000,4.5990,4.5990,4.5938,4.5973,3019.7,1648687139999,13878.90672,55,869.4,3995.45191,0
1648687140000,4.5976,4.5976,4.5918,4.5922,4872.5,1648687199999,22381.16896,131,1008.8,4633.75734,0
1648687200000,4.5923,4.5976,4.5900,4.5969,3551.6,1648687259999,16313.10486,84,1586.8,7287.72397,0
1648687260000,4.5986,4.5986,4.5901,4.5951,5108.2,1648687319999,23460.08494,94,1296.3,5956.03320,0
1648687320000,4.5950,4.5950,4.5896,4.5907,5657.2,1648687379999,25976.93402,107,2746.5,12612.77921,0
1648687380000,4.5906,4.5924,4.5873,4.5896,1984.6,1648687439999,9108.93243,61,630.7,2894.69036,0
1648687440000,4.5907,4.5940,4.5900,4.5921,7172.0,1648687499999,32931.55681,119,1964.9,9023.79778,0
1648687500000,4.5943,4.5946,4.5910,4.5944,2026.4,1648687559999,9306.39606,57,1279.8,5877.69750,0
1648687560000,4.5936,4.5980,4.5931,4.5946,1915.0,1648687619999,8799.06770,55,1135.7,5218.70152,0
1648687620000,4.5932,4.5974,4.5930,4.5972,989.8,1648687679999,4548.66270,40,450.9,2072.21062,0
1648687680000,4.5963,4.5977,4.5908,4.5924,2454.6,1648687739999,11277.29818,63,1109.3,5098.30873,0
1648687740000,4.5915,4.5950,4.5906,4.5940,8050.2,1648687799999,36974.29617,132,5134.3,23584.65150,0
1648687800000,4.5944,4.5983,4.5924,4.5970,2368.1,1648687859999,10883.34650,56,965.9,4439.23889,0
1648687860000,4.5969,4.5969,4.5928,4.5954,1338.6,1648687919999,6150.15728,57,505.3,2321.56947,0
1648687920000,4.5956,4.5967,4.5914,4.5941,1638.1,1648687979999,7527.18455,54,889.0,4085.06255,0
1648687980000,4.5926,4.5957,4.5904,4.5948,3035.4,1648688039999,13938.97274,107,1214.0,5575.80997,0
1648688040000,4.5944,4.5964,4.5879,4.5879,2605.2,1648688099999,11961.95476,77,712.2,3271.43341,0
1648688100000,4.5884,4.5902,4.5834,4.5846,1649.6,1648688159999,7565.10287,56,201.6,925.03875,0
1648688160000,4.5825,4.5825,4.5743,4.5757,10523.9,1648688219999,48183.80132,149,1747.3,7998.57483,0
1648688220000,4.5787,4.5837,4.5772,4.5772,4827.4,1648688279999,22113.09765,111,1910.5,8752.14051,0
1648688280000,4.5770,4.5843,4.5759,4.5807,6428.4,1648688339999,29439.27827,120,1922.4,8807.20520,0
1648688340000,4.5834,4.5835,4.5783,4.5783,3726.3,1648688399999,17072.27025,102,939.0,4302.64329,0
1648688400000,4.5774,4.5823,4.5770,4.5803,2589.5,1648688459999,11858.12458,63,1213.0,5555.43353,0
1648688460000,4.5781,4.5895,4.5777,4.5879,3834.4,1648688519999,17572.03205,87,2305.2,10561.67295,0
1648688520000,4.5880,4.5987,4.5880,4.5888,8600.0,1648688579999,39508.34309,172,5273.2,24230.25585,0
1648688580000,4.5894,4.5948,4.5864,4.5933,4395.9,1648688639999,20182.57833,117,2441.7,11210.54224,0
1648688640000,4.5936,4.5981,4.5936,4.5949,8473.3,1648688699999,38938.43459,164,2356.5,10830.15918,0
1648688700000,4.5964,4.6066,4.5953,4.5992,7339.1,1648688759999,33757.66917,167,3595.9,16543.13826,0
1648688760000,4.5984,4.5998,4.5941,4.5964,9206.8,1648688819999,42323.44729,112,1184.0,5443.83648,0
1648688820000,4.5969,4.5989,4.5933,4.5952,9671.8,1648688879999,44450.88064,121,3132.7,14399.43537,0
1648688880000,4.5952,4.5967,4.5919,4.5942,4518.0,1648688939999,20755.32988,123,2186.6,10045.64192,0
1648688940000,4.5932,4.5956,4.5923,4.5954,2381.7,1648688999999,10942.01380,60,1900.6,8731.69532,0
1648689000000,4.5948,4.5980,4.5936,4.5966,5168.0,1648689059999,23754.99272,81,3857.2,17730.77922,0
1648689060000,4.5962,4.5997,4.5958,4.5958,6467.8,1648689119999,29739.47277,111,1039.9,4782.07749,0
1648689120000,4.5960,4.6029,4.5960,4.5976,2428.6,1648689179999,11168.66976,102,951.9,4377.41327,0
1648689180000,4.5983,4.6034,4.5956,4.6032,2241.2,1648689239999,10306.77781,70,1555.6,7154.11149,0
1648689240000,4.6034,4.6044,4.6025,4.6030,1090.2,1648689299999,5018.54837,45,293.2,1349.82792,0
1648689300000,4.6031,4.6064,4.6011,4.6052,1850.0,1648689359999,8517.48386,62,628.2,2892.47867,0
1648689360000,4.6041,4.6080,4.6041,4.6051,4148.3,1648689419999,19108.22123,102,1597.3,7358.73500,0
1648689420000,4.6064,4.6080,4.6052,4.6076,1918.5,1648689479999,8837.05426,72,406.7,1873.59141,0
1648689480000,4.6078,4.6100,4.6028,4.6053,11592.5,1648689539999,53396.09532,224,1417.0,6528.78012,0
1648689540000,4.6055,4.6104,4.6053,4.6063,3733.1,1648689599999,17200.85216,102,1076.1,4959.50314,0
1648689600000,4.6063,4.6133,4.6053,4.6133,3280.4,1648689659999,15119.69419,131,2605.7,12011.56452,0
1648689660000,4.6129,4.6140,4.6094,4.6106,8359.5,1648689719999,38555.01486,312,3983.7,18374.44567,0
1648689720000,4.6104,4.6138,4.6096,4.6102,4912.1,1648689779999,22651.70752,126,3382.3,15598.33755,0
1648689780000,4.6104,4.6140,4.6104,4.6112,4232.7,1648689839999,19522.44893,121,1504.0,6937.97457,0
1648689840000,4.6125,4.6134,4.6107,4.6117,2483.4,1648689899999,11453.94648,57,856.9,3952.26030,0
1648689900000,4.6117,4.6117,4.6036,4.6063,4734.3,1648689959999,21814.22014,119,659.9,3040.48858,0
1648689960000,4.6065,4.6113,4.6021,4.6102,7262.0,1648690019999,33444.93318,160,4489.0,20675.72232,0
1648690020000,4.6088,4.6092,4.6033,4.6065,4812.8,1648690079999,22168.54951,131,1858.8,8563.44598,0
1648690080000,4.6067,4.6131,4.6054,4.6126,3119.1,1648690139999,14374.56041,109,2123.2,9785.95247,0
1648690140000,4.6126,4.6140,4.6095,4.6136,5674.8,1648690199999,26176.48719,107,2854.0,13166.60264,0
1648690200000,4.6135,4.6163,4.6097,4.6121,9290.5,1648690259999,42860.10640,167,3868.9,17851.63402,0
1648690260000,4.6129,4.6137,4.6092,4.6117,4268.7,1648690319999,19685.28176,109,2636.9,12160.31610,0
1648690320000,4.6125,4.6125,4.6082,4.6092,4261.4,1648690379999,19643.39566,66,2995.4,13806.74521,0
1648690380000,4.6089,4.6120,4.6076,4.6114,4144.8,1648690439999,19106.75010,97,1251.7,5770.49246,0
1648690440000,4.6109,4.6121,4.6095,4.6095,2221.4,1648690499999,10242.66343,59,403.6,1861.02615,0
1648690500000,4.6099,4.6101,4.6010,4.6030,6448.6,1648690559999,29697.42086,111,365.1,1681.80731,0
1648690560000,4.6035,4.6035,4.5929,4.5938,12454.8,1648690619999,57277.96623,132,1835.5,8442.78960,0
1648690620000,4.5950,4.5966,4.5900,4.5920,6795.2,1648690679999,31203.24966,101,863.6,3967.22442,0
1648690680000,4.5937,4.5953,4.5900,4.5951,6202.0,1648690739999,28481.88656,97,4022.0,18473.15487,0
1648690740000,4.5963,4.6028,4.5962,4.6000,6068.8,1648690799999,27915.72994,99,4884.4,22466.31297,0
1648690800000,4.5994,4.6079,4.5959,4.6023,5353.0,1648690859999,24642.21148,85,4354.8,20045.54058,0
1648690860000,4.6038,4.6050,4.6009,4.6022,2876.8,1648690919999,13242.89108,59,411.1,1892.55846,0
1648690920000,4.6022,4.6039,4.5994,4.6023,4362.1,1648690979999,20073.80857,114,686.4,3158.64403,0
1648690980000,4.6036,4.6103,4.6036,4.6094,6202.4,1648691039999,28585.49313,78,1790.5,8249.06215,0
1648691040000,4.6093,4.6112,4.6057,4.6068,4246.3,1648691099999,19569.29957,126,1590.9,7332.21578,0
1648691100000,4.6065,4.6245,4.6050,4.6219,67185.1,1648691159999,310343.96791,647,19627.9,90671.94325,0
1648691160000,4.6205,4.6232,4.6095,4.6229,32356.6,1648691219999,149428.48602,358,6502.0,30022.48138,0
1648691220000,4.6225,4.6225,4.5993,4.6012,52364.4,1648691279999,241248.94544,1077,16120.8,74240.72157,0
1648691280000,4.6016,4.6130,4.6004,4.6126,11888.7,1648691339999,54759.88482,300,4125.3,19010.45844,0
1648691340000,4.6125,4.6166,4.6032,4.6087,32476.4,1648691399999,149700.11634,429,6932.1,31966.84440,0
1648691400000,4.6087,4.6144,4.6083,4.6107,6994.0,1648691459999,32249.88571,227,3131.7,14443.09702,0
1648691460000,4.6104,4.6134,4.6068,4.6068,5076.4,1648691519999,23405.25604,177,1544.8,7123.92173,0
1648691520000,4.6070,4.6151,4.6070,4.6129,1923.2,1648691579999,8868.74141,72,1237.8,5707.04592,0
1648691580000,4.6125,4.6157,4.6105,4.6157,1423.5,1648691639999,6566.59731,65,699.2,3225.81785,0
1648691640000,4.6156,4.6199,4.6149,4.6196,3651.3,1648691699999,16863.01074,85,2852.7,13175.25849,0
1648691700000,4.6194,4.6235,4.6194,4.6228,1424.7,1648691759999,6584.29164,81,1024.1,4732.84103,0
1648691760000,4.6215,4.6237,4.6185,4.6220,4891.2,1648691819999,22599.60736,120,1224.9,5659.94053,0
1648691820000,4.6199,4.6211,4.6169,4.6185,3999.4,1648691879999,18470.64193,126,1798.2,8305.58680,0
1648691880000,4.6209,4.6225,4.6183,4.6193,2004.1,1648691939999,9258.95547,78,835.0,3858.12767,0
1648691940000,4.6193,4.6216,4.6167,4.6182,3948.2,1648691999999,18239.77521,109,1167.7,5394.66893,0
1648692000000,4.6188,4.6246,4.6185,4.6192,4328.1,1648692059999,20003.41722,148,1753.6,8104.32586,0
1648692060000,4.6194,4.6216,4.6189,4.6189,2228.0,1648692119999,10292.70141,78,1466.0,6772.73136,0
1648692120000,4.6190,4.6204,4.6131,4.6153,7325.2,1648692179999,33812.98890,149,3935.3,18163.70156,0
1648692180000,4.6161,4.6161,4.5989,4.6074,25733.2,1648692239999,118508.01061,312,8248.5,38009.82152,0
1648692240000,4.6075,4.6100,4.6021,4.6036,2969.0,1648692299999,13675.76172,93,682.0,3142.81925,0
1648692300000,4.6045,4.6076,4.6038,4.6051,3923.2,1648692359999,18068.70707,141,1421.8,6549.00373,0
1648692360000,4.6054,4.6071,4.6023,4.6035,6538.8,1648692419999,30103.04499,137,715.9,3296.87383,0
1648692420000,4.6032,4.6033,4.5988,4.5989,3980.1,1648692479999,18316.11291,84,1279.2,5886.71521,0
1648692480000,4.5980,4.6010,4.5965,4.5977,2051.7,1648692539999,9436.82682,96,955.9,4397.14485,0
1648692540000,4.5993,4.6036,4.5961,4.5974,2660.1,1648692599999,12234.00587,73,1250.0,5749.97602,0
1648692600000,4.5966,4.6004,4.5947,4.5995,4670.2,1648692659999,21466.52929,104,447.3,2057.33913,0
1648692660000,4.5980,4.5993,4.5945,4.5960,5847.4,1648692719999,26877.93429,111,2550.2,11722.55186,0
1648692720000,4.5968,4.5991,4.5952,4.5957,3360.6,1648692779999,15451.21473,103,1321.1,6074.50488,0
1648692780000,4.5951,4.6011,4.5951,4.6004,3160.0,1648692839999,14529.79528,96,1762.6,8105.03261,0
1648692840000,4.6007,4.6066,4.6002,4.6066,8626.1,1648692899999,39703.10234,231,4253.3,19576.74613,0
1648692900000,4.6066,4.6121,4.6066,4.6104,4343.2,1648692959999,20015.14710,152,1685.8,7769.81277,0
1648692960000,4.6104,4.6161,4.6104,4.6155,1588.2,1648693019999,7326.94700,124,399.2,1840.79254,0
1648693020000,4.6137,4.6148,4.6101,4.6133,2147.1,1648693079999,9902.59303,95,1065.0,4911.98458,0
1648693080000,4.6133,4.6137,4.6115,4.6118,1897.8,1648693139999,8754.31223,92,1105.6,5100.11701,0
1648693140000,4.6115,4.6118,4.6055,4.6086,5391.2,1648693199999,24852.54609,126,1560.4,7189.62539,0
1648693200000,4.6087,4.6097,4.6050,4.6080,3431.4,1648693259999,15810.83772,117,1633.8,7528.13923,0
1648693260000,4.6089,4.6111,4.6065,4.6098,3108.9,1648693319999,14328.80482,125,1700.2,7835.96557,0
1648693320000,4.6098,4.6174,4.6090,4.6157,7229.3,1648693379999,33351.31415,186,5364.2,24747.47544,0
1648693380000,4.6157,4.6162,4.6128,4.6128,2726.0,1648693439999,12579.56647,102,681.9,3147.27169,0
1648693440000,4.6130,4.6145,4.6103,4.6116,2224.7,1648693499999,10262.74717,114,1210.8,5586.04782,0
1648693500000,4.6116,4.6124,4.6049,4.6049,4785.9,1648693559999,22057.49164,174,613.4,2828.68560,0
1648693560000,4.6046,4.6110,4.6042,4.6110,2052.3,1648693619999,9454.17926,120,989.1,4556.54735,0
1648693620000,4.6102,4.6120,4.6071,4.6073,2145.7,1648693679999,9891.78082,121,788.5,3635.89460,0
1648693680000,4.6078,4.6101,4.6044,4.6101,3234.6,1648693739999,14904.06613,103,2487.9,11463.63719,0
1648693740000,4.6102,4.6167,4.6096,4.6107,7648.4,1648693799999,35283.39601,174,4733.4,21838.63374,0
1648693800000,4.6108,4.6149,4.6037,4.6044,4118.8,1648693859999,18981.81137,136,2436.5,11226.34710,0
1648693860000,4.6043,4.6071,4.6006,4.6025,5690.0,1648693919999,26193.52643,172,1819.4,8378.78131,0
1648693920000,4.6017,4.6054,4.6004,4.6022,9662.7,1648693979999,44478.95826,162,6510.2,29971.86639,0
1648693980000,4.6021,4.6024,4.5952,4.5971,10168.5,1648694039999,46773.34188,137,572.1,2629.97170,0
1648694040000,4.5968,4.6022,4.5921,4.5933,12141.2,1648694099999,55799.81794,216,1894.2,8707.72108,0
1648694100000,4.5941,4.5967,4.5900,4.5925,3286.7,1648694159999,15089.89788,130,1730.0,7943.59953,0
1648694160000,4.5914,4.5960,4.5914,4.5927,2778.2,1648694219999,12761.07431,102,842.5,3870.17119,0
1648694220000,4.5933,4.5964,4.5923,4.5949,2953.5,1648694279999,13567.89118,117,1369.9,6293.90487,0
