open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,1.2117,1.2125,1.2114,1.2114,3913.5,1648684859999,4741.80169,55,3409.3,4130.86750,0
1648684860000,1.2113,1.2114,1.2086,1.2087,36666.4,1648684919999,44370.05867,89,229.5,278.01630,0
1648684920000,1.2087,1.2097,1.2081,1.2081,40367.1,1648684979999,48793.05510,96,6430.4,7775.35937,0
1648684980000,1.2082,1.2091,1.2081,1.2087,9641.3,1648685039999,11651.57829,67,5455.3,6593.49467,0
1648685040000,1.2085,1.2089,1.2080,1.2080,2358.2,1648685099999,2850.27715,25,60.3,72.88450,0
1648685100000,1.2081,1.2082,1.2080,1.2080,795.6,1648685159999,961.17260,25,85.8,103.65498,0
1648685160000,1.2080,1.2081,1.2079,1.2081,760.4,1648685219999,918.58265,38,280.3,338.62486,0
1648685220000,1.2081,1.2093,1.2080,1.2093,2393.6,1648685279999,2893.50238,37,1921.6,2323.04733,0
1648685280000,1.2094,1.2109,1.2093,1.2106,30519.0,1648685339999,36930.26674,151,24529.5,29685.02476,0
1648685340000,1.2104,1.2105,1.2096,1.2105,3628.8,1648685399999,4391.93169,37,2894.6,3503.51618,0
1648685400000,1.2105,1.2116,1.2105,1.2115,30095.1,1648685459999,36442.57220,217,10062.0,12184.49752,0
1648685460000,1.2115,1.2122,1.2109,1.2119,7770.6,1648685519999,9416.22601,54,2643.9,3203.17524,0
1648685520000,1.2119,1.2127,1.2115,1.2127,7059.9,1648685579999,8557.04523,67,2288.0,2773.79566,0
1648685580000,1.2129,1.2141,1.2129,1.2140,17608.2,1648685639999,21364.09834,91,11608.7,14084.74721,0
1648685640000,1.2137,1.2139,1.2134,1.2139,3578.8,1648685699999,4343.41774,22,1931.7,2344.70960,0
1648685700000,1.2139,1.2139,1.2133,1.2134,2142.4,1648685759999,2600.35204,47,667.8,810.57970,0
1648685760000,1.2130,1.2137,1.2130,1.2135,3311.0,1648685819999,4017.80177,47,1233.1,1496.39243,0
1648685820000,1.2134,1.2140,1.2131,1.2140,11952.6,1648685879999,14504.73191,40,10569.3,12826.17577,0
1648685880000,1.2137,1.2142,1.2132,1.2140,20432.5,1648685939999,24802.20093,68,18047.5,21908.34651,0
1648685940000,1.2139,1.2141,1.2133,1.2141,6311.8,1648685999999,7661.76732,30,5575.8,6768.51633,0
1648686000000,1.2136,1.2141,1.2130,1.2136,6686.3,1648686059999,8114.63928,77,2789.4,3385.83403,0
1648686060000,1.2134,1.2142,1.2130,1.2142,11011.4,1648686119999,13366.01351,73,8303.5,10080.36967,0
1648686120000,1.2139,1.2151,1.2138,1.2149,8069.6,1648686179999,9798.75558,48,6432.8,7811.69561,0
1648686180000,1.2149,1.2153,1.2139,1.2142,13661.2,1648686239999,16593.13869,64,4305.7,5231.95806,0
1648686240000,1.2143,1.2146,1.2141,1.2142,9310.5,1648686299999,11306.49590,31,332.8,404.13326,0
1648686300000,1.2142,1.2145,1.2135,1.2145,5698.4,1648686359999,6917.52911,36,1498.8,1819.63154,0
1648686360000,1.2143,1.2147,1.2140,1.2147,4261.1,1648686419999,5175.09890,25,4135.1,5022.10163,0
1648686420000,1.2148,1.2163,1.2144,1.2161,13889.3,1648686479999,16884.10048,73,13144.4,15978.73540,0
1648686480000,1.2162,1.2175,1.2157,1.2170,28837.2,1648686539999,35089.08623,143,12011.9,14615.23921,0
1648686540000,1.2166,1.2184,1.2166,1.2176,22595.9,1648686599999,27514.10482,62,18691.7,22759.89763,0
1648686600000,1.2178,1.2179,1.2174,1.2174,1563.6,1648686659999,1904.20432,14,661.2,805.27548,0
1648686660000,1.2174,1.2180,1.2160,1.2180,16321.7,1648686719999,19858.24101,70,3900.5,4749.02810,0
1648686720000,1.2175,1.2182,1.2175,1.2182,4804.3,1648686779999,5850.87577,30,4689.1,5710.61031,0
1648686780000,1.2180,1.2183,1.2180,1.2180,3467.4,1648686839999,4223.70946,42,1976.9,2408.25696,0
1648686840000,1.2180,1.2184,1.2180,1.2184,1503.8,1648686899999,1831.95257,19,1228.0,1496.01267,0
1648686900000,1.2184,1.2191,1.2182,1.2188,15605.4,1648686959999,19015.52986,44,9204.8,11216.18373,0
1648686960000,1.2189,1.2195,1.2186,1.2194,19473.3,1648687019999,23740.15700,116,10693.2,13037.56442,0
1648687020000,1.2192,1.2192,1.2185,1.2185,634.4,1648687079999,773.03203,8,589.5,718.31632,0
1648687080000,1.2182,1.2192,1.2182,1.2187,7688.5,1648687139999,9370.55180,36,4655.0,5673.40350,0
1648687140000,1.2192,1.2199,1.2189,1.2195,6709.5,1648687199999,8182.75199,42,3538.1,4315.48122,0
1648687200000,1.2197,1.2199,1.2194,1.2196,7090.1,1648687259999,8648.48705,24,2158.6,2633.05570,0
1648687260000,1.2197,1.2200,1.2185,1.2194,35151.5,1648687319999,42846.60579,65,5312.6,6477.96858,0
1648687320000,1.2194,1.2194,1.2178,1.2178,11231.6,1648687379999,13684.31821,54,4003.2,4878.69757,0
1648687380000,1.2182,1.2193,1.2179,1.2193,22688.9,1648687439999,27653.64340,64,20223.1,24649.71909,0
1648687440000,1.2190,1.2204,1.2190,1.2200,27591.7,1648687499999,33664.09198,92,23221.0,28331.95539,0
1648687500000,1.2203,1.2217,1.2197,1.2210,116692.2,1648687559999,142489.13267,268,96632.0,118005.57790,0
1648687560000,1.2209,1.2211,1.2203,1.2205,6896.6,1648687619999,8417.09507,55,486.5,593.91172,0
1648687620000,1.2204,1.2210,1.2201,1.2209,4126.9,1648687679999,5036.56523,22,2235.4,2728.69550,0
1648687680000,1.2209,1.2213,1.2205,1.2206,13257.5,1648687739999,16184.77752,60,6121.0,7473.67927,0
1648687740000,1.2207,1.2211,1.2204,1.2210,6157.0,1648687799999,7515.31924,43,1748.7,2134.94283,0
1648687800000,1.2208,1.2208,1.2204,1.2205,7530.8,1648687859999,9191.89993,38,831.6,1014.96780,0
1648687860000,1.2207,1.2207,1.2203,1.2207,3754.8,1648687919999,4582.92278,32,1901.8,2321.47852,0
1648687920000,1.2205,1.2205,1.2175,1.2175,26194.5,1648687979999,31940.24959,92,4440.7,5413.48310,0
1648687980000,1.2177,1.2181,1.2176,1.2179,5315.6,1648688039999,6473.49999,35,2269.4,2764.06001,0
1648688040000,1.2180,1.2182,1.2179,1.2179,1339.6,1648688099999,1631.66409,17,800.9,975.56827,0
1648688100000,1.2180,1.2182,1.2167,1.2167,2815.8,1648688159999,3427.77650,39,54.1,65.89676,0
1648688160000,1.2166,1.2166,1.2144,1.2144,8810.6,1648688219999,10710.84428,53,86.1,104.64510,0
1648688220000,1.2145,1.2154,1.2145,1.2148,993.1,1648688279999,1206.71449,16,575.5,699.30901,0
1648688280000,1.2148,1.2161,1.2147,1.2161,7380.4,1648688339999,8967.09463,81,4164.4,5060.17380,0
1648688340000,1.2158,1.2158,1.2148,1.2152,5396.6,1648688399999,6559.65796,32,499.8,607.33401,0
1648688400000,1.2149,1.2149,1.2141,1.2141,2356.6,1648688459999,2862.47216,23,434.6,527.99442,0
1648688460000,1.2141,1.2155,1.2141,1.2155,7833.7,1648688519999,9517.70901,89,4493.6,5459.25160,0
1648688520000,1.2155,1.2160,1.2151,1.2152,11436.6,1648688579999,13901.80259,51,5519.5,6709.92801,0
1648688580000,1.2152,1.2152,1.2137,1.2142,8143.6,1648688639999,9890.75020,41,909.4,1104.32054,0
1648688640000,1.2142,1.2142,1.2128,1.2136,16943.4,1648688699999,20559.55523,49,1328.2,1611.62307,0
1648688700000,1.2137,1.2160,1.2137,1.2159,6472.2,1648688759999,7863.30683,50,4815.8,5850.70132,0
1648688760000,1.2156,1.2162,1.2156,1.2160,1876.3,1648688819999,2281.63020,16,1876.3,2281.63020,0
1648688820000,1.2159,1.2161,1.2149,1.2152,20294.5,1648688879999,24661.63054,55,729.0,886.44637,0
1648688880000,1.2151,1.2161,1.2151,1.2158,2328.6,1648688939999,2830.33030,17,2021.9,2457.55455,0
1648688940000,1.2158,1.2160,1.2148,1.2150,4502.7,1648688999999,5471.43335,34,372.4,452.79018,0
1648689000000,1.2152,1.2161,1.2150,1.2156,11880.1,1648689059999,14443.47617,40,8253.1,10034.82390,0
1648689060000,1.2156,1.2161,1.2156,1.2161,1483.6,1648689119999,1803.80486,15,1374.8,1671.53302,0
1648689120000,1.2165,1.2176,1.2165,1.2175,2689.0,1648689179999,3272.69629,34,676.5,823.49254,0
1648689180000,1.2174,1.2178,1.2167,1.2178,8277.5,1648689239999,10076.86269,69,5247.0,6387.79332,0
1648689240000,1.2177,1.2182,1.2177,1.2180,2850.7,1648689299999,3472.19562,29,2092.3,2548.56685,0
1648689300000,1.2181,1.2187,1.2181,1.2185,2088.1,1648689359999,2543.74269,30,465.6,567.19165,0
1648689360000,1.2186,1.2194,1.2186,1.2190,16407.5,1648689419999,20002.73530,86,9813.6,11964.85222,0
1648689420000,1.2188,1.2189,1.2186,1.2189,2176.8,1648689479999,2652.93503,23,1275.3,1554.35031,0
1648689480000,1.2189,1.2196,1.2188,1.2196,14403.2,1648689539999,17560.72521,135,5287.2,6446.83499,0
1648689540000,1.2195,1.2201,1.2195,1.2201,2649.7,1648689599999,3232.29225,18,1338.4,1632.56788,0
1648689600000,1.2202,1.2211,1.2202,1.2211,7741.6,1648689659999,9449.91660,65,3500.5,4272.58531,0
1648689660000,1.2208,1.2221,1.2208,1.2215,12426.0,1648689719999,15178.46616,80,4478.9,5470.91163,0
1648689720000,1.2216,1.2229,1.2215,1.2227,15939.4,1648689779999,19486.02599,49,929.5,1136.11180,0
1648689780000,1.2221,1.2230,1.2218,1.2227,9057.1,1648689839999,11071.99842,64,8251.9,10088.00384,0
1648689840000,1.2226,1.2229,1.2213,1.2213,5346.3,1648689899999,6534.96533,45,2839.3,3471.47105,0
1648689900000,1.2211,1.2219,1.2210,1.2214,8889.5,1648689959999,10858.53683,32,6202.9,7577.09230,0
1648689960000,1.2214,1.2223,1.2211,1.2222,13456.3,1648690019999,16435.41854,36,3117.9,3808.92843,0
