open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,16.970,16.977,16.944,16.961,19202.60,1648598459999,325763.29212,636,10029.27,170196.27677,0
1648598460000,16.961,16.961,16.902,16.917,33428.90,1648598519999,565967.55654,855,9621.19,162858.33115,0
1648598520000,16.916,16.919,16.897,16.904,14331.36,1648598579999,242334.72737,515,8179.68,138317.24682,0
1648598580000,16.904,16.906,16.889,16.897,12470.78,1648598639999,210715.99519,458,6626.49,111969.00774,0
1648598640000,16.898,16.922,16.895,16.896,8612.80,1648598699999,145632.11015,280,6940.48,117348.69009,0
1648598700000,16.896,16.901,16.864,16.864,18389.12,1648598759999,310424.00680,581,5345.67,90251.56187,0
1648598760000,16.865,16.888,16.864,16.867,5036.34,1648598819999,84992.40592,341,2557.29,43157.31868,0
1648598820000,16.868,16.878,16.854,16.875,8437.69,1648598879999,142311.19994,348,3915.68,66053.19576,0
1648598880000,16.876,16.905,16.876,16.905,7289.82,1648598939999,123157.08854,332,4030.67,68084.49216,0
1648598940000,16.906,16.916,16.899,16.908,11955.74,1648598999999,202131.24611,420,3700.31,62559.12551,0
1648599000000,16.912,16.930,16.909,16.927,23796.77,1648599059999,402545.21706,369,19927.29,337075.00938,0
1648599060000,16.928,16.943,16.928,16.937,4091.57,1648599119999,69302.26976,296,2609.19,44194.45280,0
1648599120000,16.936,16.936,16.890,16.897,7843.57,1648599179999,132621.58775,270,983.27,16618.54286,0
1648599180000,16.896,16.896,16.867,16.874,5956.51,1648599239999,100520.90341,318,2795.63,47171.55867,0
1648599240000,16.874,16.924,16.874,16.923,5147.40,1648599299999,86956.16903,286,3526.22,59571.29332,0
1648599300000,16.924,16.968,16.920,16.941,17243.25,1648599359999,292241.75204,461,11799.82,200029.69030,0
1648599360000,16.940,16.940,16.898,16.900,6113.89,1648599419999,103432.09433,289,2333.70,39487.73855,0
1648599420000,16.898,16.923,16.878,16.911,9234.96,1648599479999,156030.46462,331,3113.20,52619.96993,0
1648599480000,16.911,16.922,16.901,16.915,4352.65,1648599539999,73608.31332,202,2588.54,43779.74667,0
1648599540000,16.913,16.923,16.902,16.909,6942.90,1648599599999,117433.91970,242,4188.98,70861.44330,0
1648599600000,16.908,16.909,16.870,16.870,6768.06,1648599659999,114286.83656,279,1582.63,26720.21297,0
1648599660000,16.869,16.875,16.840,16.852,15759.13,1648599719999,265573.88583,473,5342.29,90024.79315,0
1648599720000,16.853,16.856,16.830,16.839,11146.30,1648599779999,187688.94981,359,1797.88,30279.50662,0
1648599780000,16.839,16.845,16.807,16.830,20500.87,1648599839999,344850.69911,576,6603.91,111122.77572,0
1648599840000,16.831,16.838,16.822,16.825,4051.50,1648599899999,68190.38367,230,1383.86,23293.42097,0
1648599900000,16.825,16.844,16.824,16.835,11156.75,1648599959999,187801.43969,290,8710.67,146627.78411,0
1648599960000,16.832,16.846,16.829,16.844,2077.60,1648600019999,34986.92101,208,1765.89,29739.31076,0
1648600020000,16.840,16.854,16.838,16.854,4807.80,1648600079999,80983.38810,209,4090.72,68903.87807,0
1648600080000,16.854,16.857,16.812,16.812,10471.93,1648600139999,176300.97362,342,4254.79,71639.94025,0
1648600140000,16.812,16.817,16.807,16.809,4590.60,1648600199999,77173.74981,252,1352.36,22737.00726,0
1648600200000,16.809,16.821,16.789,16.795,12151.08,1648600259999,204163.71582,510,3562.19,59869.68256,0
1648600260000,16.796,16.802,16.761,16.762,17430.77,1648600319999,292428.03348,599,4956.40,83174.84781,0
1648600320000,16.762,16.766,16.742,16.743,13669.37,1648600379999,229013.31624,536,6178.29,103517.85411,0
1648600380000,16.743,16.744,16.690,16.690,20006.47,1648600439999,334366.13196,727,5545.87,92699.56570,0
1648600440000,16.691,16.718,16.684,16.698,16848.56,1648600499999,281309.97336,707,8619.05,143926.14704,0
1648600500000,16.697,16.734,16.694,16.695,20578.44,1648600559999,343917.58010,630,14005.49,234055.08211,0
1648600560000,16.695,16.726,16.683,16.726,14565.13,1648600619999,243290.87810,610,7903.31,132046.13499,0
1648600620000,16.724,16.724,16.687,16.687,5279.54,1648600679999,88171.01139,280,1730.29,28898.19813,0
1648600680000,16.686,16.756,16.685,16.756,48079.23,1648600739999,803599.41655,658,14753.12,246736.28963,0
1648600740000,16.753,16.769,16.736,16.738,17893.60,1648600799999,299793.37771,507,14633.58,245188.04445,0
1648600800000,16.739,16.763,16.739,16.754,3772.53,1648600859999,63216.64196,264,2404.43,40292.37254,0
1648600860000,16.751,16.765,16.740,16.765,2303.79,1648600919999,38598.44165,187,1419.03,23775.76414,0
1648600920000,16.767,16.775,16.750,16.775,9751.77,1648600979999,163428.80988,308,2950.00,49454.63109,0
1648600980000,16.775,16.782,16.758,16.769,5689.35,1648601039999,95406.32448,268,2671.48,44801.27416,0
1648601040000,16.769,16.815,16.769,16.812,14434.38,1648601099999,242542.51788,537,10862.22,182525.11339,0
1648601100000,16.812,16.812,16.772,16.772,10166.68,1648601159999,170707.71196,329,3807.29,63933.45608,0
1648601160000,16.772,16.776,16.737,16.749,11546.19,1648601219999,193397.89178,388,3301.19,55283.14923,0
1648601220000,16.746,16.757,16.728,16.752,4058.77,1648601279999,67940.91318,235,787.21,13179.29145,0
1648601280000,16.753,16.776,16.749,16.762,11307.58,1648601339999,189489.54051,317,4382.44,73447.85914,0
1648601340000,16.761,16.769,16.737,16.752,7143.53,1648601399999,119649.29817,283,2801.97,46923.64521,0
1648601400000,16.753,16.758,16.722,16.758,5494.37,1648601459999,91944.09633,271,1455.99,24369.64417,0
1648601460000,16.761,16.813,16.761,16.803,10929.69,1648601519999,183520.93986,320,9194.09,154382.78817,0
1648601520000,16.808,16.858,16.808,16.858,8076.13,1648601579999,135972.55574,352,5901.65,99379.67797,0
1648601580000,16.859,16.897,16.859,16.888,21601.44,1648601639999,364682.19498,605,17319.06,292403.85710,0
