open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,28.790,28.811,28.617,28.793,2726.7,1648512059999,78333.2108,255,1438.3,41308.6875,0
1648512060000,28.795,28.795,28.676,28.754,858.7,1648512119999,24679.7367,137,655.2,18829.4210,0
1648512120000,28.746,28.750,28.689,28.706,1098.3,1648512179999,31537.8827,136,486.9,13977.1496,0
1648512180000,28.706,28.754,28.677,28.754,611.7,1648512239999,17556.7902,112,506.5,14537.0270,0
1648512240000,28.766,28.826,28.757,28.763,692.8,1648512299999,19951.8119,115,613.5,17668.1887,0
1648512300000,28.762,28.763,28.718,28.724,829.4,1648512359999,23830.4032,104,294.6,8465.0077,0
1648512360000,28.724,28.730,28.579,28.628,1893.4,1648512419999,54195.1291,220,435.8,12475.8905,0
1648512420000,28.628,28.704,28.622,28.630,1208.6,1648512479999,34643.4549,192,1010.3,28959.7918,0
1648512480000,28.620,28.802,28.610,28.802,1351.6,1648512539999,38853.8067,285,1083.0,31130.1515,0
1648512540000,28.814,28.880,28.793,28.833,1349.1,1648512599999,38908.8321,253,1077.0,31059.4623,0
1648512600000,28.839,28.843,28.810,28.830,563.6,1648512659999,16249.2898,156,408.2,11769.8465,0
1648512660000,28.825,28.876,28.800,28.876,1147.5,1648512719999,33079.2484,182,1054.6,30401.6006,0
1648512720000,28.853,28.860,28.826,28.850,110.8,1648512779999,3194.8710,34,80.9,2332.5434,0
1648512780000,28.847,28.847,28.784,28.790,196.2,1648512839999,5651.8902,58,89.4,2575.6053,0
1648512840000,28.790,28.790,28.751,28.779,438.9,1648512899999,12626.2845,62,211.5,6085.4200,0
1648512900000,28.776,28.845,28.737,28.845,915.4,1648512959999,26342.8066,112,613.9,17673.1518,0
1648512960000,28.844,28.927,28.844,28.907,573.3,1648513019999,16552.3763,204,482.7,13936.6441,0
1648513020000,28.913,28.913,28.806,28.853,1572.9,1648513079999,45396.6378,190,1091.0,31495.6916,0
1648513080000,28.854,28.854,28.807,28.830,91.4,1648513139999,2634.7753,44,37.7,1086.6544,0
1648513140000,28.825,28.825,28.805,28.806,67.6,1648513199999,1947.3372,29,56.5,1627.5584,0
1648513200000,28.806,28.807,28.799,28.802,103.9,1648513259999,2992.6656,40,28.8,829.4709,0
1648513260000,28.807,28.869,28.807,28.859,98.7,1648513319999,2847.3261,31,83.3,2402.9902,0
1648513320000,28.864,28.884,28.848,28.874,244.3,1648513379999,7049.8867,58,130.0,3751.3816,0
1648513380000,28.875,28.878,28.858,28.862,300.4,1648513439999,8671.8173,63,241.1,6960.0368,0
1648513440000,28.881,28.932,28.881,28.930,162.7,1648513499999,4702.6434,60,125.1,3615.6102,0
1648513500000,28.931,28.953,28.905,28.926,314.6,1648513559999,9099.5085,65,78.8,2280.3571,0
1648513560000,28.925,28.939,28.878,28.926,278.2,1648513619999,8045.7463,57,239.2,6918.3055,0
1648513620000,28.932,28.932,28.887,28.902,88.1,1648513679999,2546.9606,42,42.9,1240.3785,0
1648513680000,28.901,28.956,28.899,28.956,120.9,1648513739999,3497.0610,54,85.6,2476.0617,0
1648513740000,28.948,28.955,28.908,28.918,105.5,1648513799999,3052.5897,53,35.2,1018.5491,0
1648513800000,28.923,28.948,28.922,28.940,175.8,1648513859999,5086.4813,32,103.6,2996.6273,0
1648513860000,28.947,28.967,28.851,28.902,2406.4,1648513919999,69523.1475,224,313.0,9043.0220,0
1648513920000,28.910,28.910,28.825,28.838,558.4,1648513979999,16113.7337,62,29.4,849.2448,0
1648513980000,28.832,28.870,28.811,28.870,639.8,1648514039999,18447.9759,79,174.7,5039.0839,0
1648514040000,28.873,28.909,28.860,28.874,563.0,1648514099999,16268.5119,58,500.2,14454.7833,0
1648514100000,28.873,28.915,28.873,28.891,139.9,1648514159999,4042.2020,37,85.5,2470.7089,0
1648514160000,28.891,28.923,28.877,28.896,235.2,1648514219999,6798.5833,68,76.3,2205.8805,0
1648514220000,28.907,28.925,28.893,28.922,243.7,1648514279999,7047.2784,64,62.5,1807.2804,0
1648514280000,28.921,28.921,28.887,28.899,145.0,1648514339999,4190.6916,43,16.2,468.2129,0
1648514340000,28.906,28.931,28.900,28.931,150.5,1648514399999,4351.4812,36,44.7,1292.7619,0
1648514400000,28.926,28.955,28.908,28.937,707.0,1648514459999,20460.5287,68,583.4,16884.8105,0
1648514460000,28.941,28.943,28.911,28.923,146.4,1648514519999,4234.9262,29,6.8,196.7508,0
1648514520000,28.912,28.921,28.857,28.864,601.6,1648514579999,17377.4457,78,183.1,5292.7199,0
1648514580000,28.868,28.907,28.864,28.888,162.9,1648514639999,4704.3007,27,108.1,3121.6203,0
1648514640000,28.888,28.984,28.888,28.973,624.2,1648514699999,18075.5462,68,582.7,16874.8445,0
1648514700000,28.977,29.006,28.954,29.006,533.5,1648514759999,15462.8388,95,144.2,4180.1491,0
1648514760000,29.005,29.005,28.949,28.975,320.9,1648514819999,9299.0912,65,98.4,2851.0951,0
1648514820000,28.972,28.982,28.939,28.952,182.3,1648514879999,5279.7516,32,19.3,559.1404,0
