open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,1.68170,1.68210,1.67540,1.67610,322213,1648684859999,540689.11670,1033,43777,73531.62870,0
1648684860000,1.67660,1.67910,1.67630,1.67790,155425,1648684919999,260795.39560,542,72637,121863.56990,0
1648684920000,1.67820,1.68020,1.67740,1.67800,135064,1648684979999,226702.89970,500,96881,162610.34980,0
1648684980000,1.67780,1.68050,1.67690,1.67920,137523,1648685039999,230862.69290,451,96936,162770.55310,0
1648685040000,1.67930,1.67960,1.67750,1.67880,66053,1648685099999,110890.30370,398,47284,79386.86740,0
1648685100000,1.67880,1.67910,1.67760,1.67810,63553,1648685159999,106640.97360,321,14236,23887.77180,0
1648685160000,1.67810,1.67890,1.67760,1.67850,84099,1648685219999,141129.29730,428,45831,76912.17160,0
1648685220000,1.67850,1.68070,1.67800,1.68070,203108,1648685279999,341051.01310,603,82135,137951.62180,0
1648685280000,1.68080,1.68130,1.67930,1.68010,104257,1648685339999,175183.06770,443,28677,48201.80420,0
1648685340000,1.68010,1.68260,1.67990,1.68260,101825,1648685399999,171151.83490,399,65518,110125.62540,0
1648685400000,1.68260,1.68590,1.68260,1.68550,170515,1648685459999,287199.76450,534,113955,191927.77340,0
1648685460000,1.68520,1.68650,1.68450,1.68650,52913,1648685519999,89172.22010,320,33394,56280.95510,0
1648685520000,1.68640,1.68850,1.68560,1.68850,193222,1648685579999,326001.92990,404,142943,241177.84980,0
1648685580000,1.68850,1.68910,1.68760,1.68890,180135,1648685639999,304162.06070,450,117699,198752.18440,0
1648685640000,1.68880,1.68930,1.68710,1.68830,171760,1648685699999,289973.81520,355,39907,67374.72690,0
1648685700000,1.68830,1.68930,1.68790,1.68900,63218,1648685759999,106746.15050,250,28596,48287.67580,0
1648685760000,1.68890,1.68980,1.68790,1.68960,73608,1648685819999,124336.02980,256,52906,89369.40960,0
1648685820000,1.68960,1.68970,1.68870,1.68870,30833,1648685879999,52083.92740,148,10133,17119.79660,0
1648685880000,1.68870,1.68970,1.68820,1.68920,104511,1648685939999,176494.08770,229,42029,70981.28300,0
1648685940000,1.68920,1.69010,1.68840,1.68950,69007,1648685999999,116580.64130,187,31219,52748.01280,0
1648686000000,1.68960,1.69000,1.68870,1.68950,25727,1648686059999,43464.11050,194,15719,26558.41800,0
1648686060000,1.68950,1.69020,1.68910,1.68980,114872,1648686119999,194100.00260,282,58305,98522.56670,0
