open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,1.9511,2.0200,1.9489,1.9965,469174,1648425659999,929847.7266,2706,276969,548677.7610,0
1648425660000,1.9959,2.0015,1.9627,1.9780,365449,1648425719999,722247.9945,2717,181350,358318.6422,0
1648425720000,1.9780,2.0218,1.9757,1.9984,339369,1648425779999,678902.3039,2255,172127,344072.5695,0
1648425780000,1.9981,2.0217,1.9969,2.0210,236307,1648425839999,474496.5819,1508,145161,291571.5433,0
1648425840000,2.0210,2.0691,2.0173,2.0557,585259,1648425899999,1196238.6562,3872,352223,720014.0039,0
1648425900000,2.0554,2.1178,2.0530,2.0849,762656,1648425959999,1593599.3840,5308,412410,861617.5806,0
1648425960000,2.0873,2.0900,2.0445,2.0499,569284,1648426019999,1176178.0297,3967,246381,508923.2728,0
1648426020000,2.0513,2.0580,2.0265,2.0455,357106,1648426079999,729781.8978,1943,126576,258805.3501,0
1648426080000,2.0449,2.0533,2.0384,2.0391,136055,1648426139999,278380.4147,930,66884,136934.6032,0
1648426140000,2.0404,2.0404,2.0220,2.0369,236410,1648426199999,480104.7629,1371,102041,207322.5337,0
1648426200000,2.0373,2.0415,2.0276,2.0323,145880,1648426259999,296675.8052,828,61550,125167.3354,0
1648426260000,2.0318,2.0445,2.0245,2.0340,165579,1648426319999,336943.0658,867,87241,177650.2227,0
1648426320000,2.0341,2.0344,2.0190,2.0190,88695,1648426379999,179928.7002,731,45222,91767.0497,0
1648426380000,2.0190,2.0222,2.0122,2.0222,133939,1648426439999,270034.9871,864,62720,126482.6060,0
1648426440000,2.0222,2.0375,2.0209,2.0289,128258,1648426499999,260235.9902,769,76353,154940.6059,0
1648426500000,2.0289,2.0349,2.0184,2.0231,75524,1648426559999,152933.7643,424,31403,63593.8553,0
1648426560000,2.0228,2.0254,2.0141,2.0157,88369,1648426619999,178489.6159,538,31230,63106.9642,0
1648426620000,2.0148,2.0246,2.0135,2.0202,46957,1648426679999,94799.1087,337,23851,48173.3862,0
1648426680000,2.0209,2.0209,2.0153,2.0164,44893,1648426739999,90554.0998,397,26310,53071.5722,0
